"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,26.31,23.43,68.17,3.14,0,20.71,23.84
1984,16,68.91,50,75,0,0,0,0
1985,16,18.78,43.78,75,37.35,0,0,37.35
1986,16,50,50,75,0,0,0,0
1987,16,39.11,39.11,75,0,0,0,0
1988,16,32.37,32.68,75,0,0,0,0
1989,16,26.22,33.26,75,3.53,0,0,3.53
1990,16,32.91,50,75,0,0,0,0
1991,16,34.29,50,75,0,0,0,0
1992,16,24.26,24.18,59.07,12.45,0,48.26,60.71
1993,16,55.5,50,75,0,0,0,0
1994,16,57.23,50,75,0,0,0,0
1995,16,27.7,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,73.74,50,75,0,0,0,0
1998,16,50,50,75,0,0,0,0
1999,16,33.04,50,75,0,0,0,0
2000,16,41.72,43.08,75,0,0,0,0
2001,16,73.86,48.33,73.33,0,0,5.05,5.05
2002,16,28.99,50,75,0,0,0,0
2003,16,41.36,44.72,75,0,0,0,0
2004,16,25,50,75,9.09,0,0,9.09
2005,16,17.14,42.14,75,44.83,0,0,44.83
2006,16,35.17,50,75,0,0,0,0
2007,16,44.95,44.95,75,0,0,0,0
2008,16,75,50,75,0,0,0,0
2009,16,29.15,20.59,66.44,0,0,25.95,25.95
2010,16,35.86,50,75,0,0,0,0
2011,16,36.37,40.31,75,0,0,0,0
2012,16,25,50,75,9.09,0,0,9.09
2013,16,23.76,31.32,75,14.75,0,0,14.75
2014,16,38.81,50,75,0,0,0,0
2015,16,53.39,27.32,52.32,0,0,68.74,68.74
2016,16,61.25,50,75,0,0,0,0
2017,16,3.17,25,75,100,0,0,100
2018,16,59.22,34.22,75,0,0,0,0
2019,16,66.13,50,75,0,0,0,0
