"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,4.94,0.9,37,100,0,0,100
1984,16,0.36,0.36,0,100,0,100,200
1985,16,0,20.68,45.68,100,0,0,100
1986,16,19.03,30.99,53.9,0,0,0,0
1987,16,1.09,2.08,7.55,100,0,91.2,191.2
1988,16,0,2.69,52.69,100,0,0,100
1989,16,0.34,8.48,35.84,100,0,0,100
1990,16,0,10.25,51.22,100,0,0,100
1991,16,14.91,7.8,51.53,0,0,0,0
1992,16,0,0,50,100,0,0,100
1993,16,5.33,5.18,44.05,0,0,0,0
1994,16,0,7.36,45.92,100,0,0,100
1995,16,2.82,2.31,27.31,100,0,23.07,123.07
1996,16,36.96,23.96,37.51,0,0,0,0
1997,16,20.33,35.06,75,0,0,0,0
1998,16,0,25,75,100,0,0,100
1999,16,0,1.82,51.82,100,0,0,100
2000,16,0,5.24,47.78,100,0,0,100
2001,16,7.88,7.88,38.41,0,0,0,0
2002,16,6.86,0,29.87,0,0,14.25,14.25
2003,16,9.07,12.73,37.66,0,0,0,0
2004,16,4.9,4.9,29.71,100,0,14.79,114.79
2005,16,0,0,40.5,100,0,0,100
2006,16,0,25,50,100,0,0,100
2007,16,5.34,25,75,0,0,0,0
2008,16,2.18,13.76,53.05,100,0,0,100
2009,16,0,5.12,38.24,100,0,0,100
2010,16,0,0,50,100,0,0,100
2011,16,0,16.2,62.97,100,0,0,100
2012,16,5.47,12.14,56.67,0,0,0,0
2013,16,0,0.86,50.86,100,0,0,100
2014,16,0,0,25,100,0,31.03,131.03
2015,16,0,7.36,23.58,100,0,35.95,135.95
2016,16,12.18,24.8,62.6,0,0,0,0
2017,16,0,25,34.05,100,0,0,100
2018,16,21.01,19.04,33.6,0,0,1.4,1.4
2019,16,4.41,6.95,26.96,100,0,24.27,124.27
