"","MIXEDET"
"1983",26.8670751723474
"1984",9.51538432253633
"1985",21.7679105414969
"1986",22.0993733993509
"1987",48.8755077409053
"1988",19.712370874337
"1989",5.87802050049335
"1990",-14.6674177393459
"1991",27.414788919122
"1992",45.847883403525
"1993",9.51202754778591
"1994",16.5016531230707
"1995",43.2865523764734
"1996",16.129610588234
"1997",20.6090773026622
"1998",8.18192420168605
"1999",24.0740893900205
"2000",4.3
"2001",9.4
"2002",1.3
"2003",29
"2004",2.8
"2005",29.1
"2006",19.5
"2007",57.2
"2008",41.3
"2009",27.3
"2010",47.2
"2011",14.7
"2012",30.4
"2013",2.5
"2014",15.3
