"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,40.77,37.51,75,0,0,0,0
1984,16,9.55,27.7,68.15,91.4,0,25.38,116.78
1985,16,34.76,50,75,0,0,0,0
1986,16,50,50,75,0,0,0,0
1987,16,75,50,75,0,0,0,0
1988,16,59.45,34.45,75,0,0,0,0
1989,16,68.97,43.97,75,0,0,0,0
1990,16,12.94,22.59,59.66,72.58,0,56.83,129.41
1991,16,46.4,50,75,0,0,0,0
1992,16,31.36,42.92,68.69,0,0,23.38,23.38
1993,16,62.59,50,75,0,0,0,0
1994,16,50,50,75,0,0,0,0
1995,16,35.69,50,75,0,0,0,0
1996,16,75,50,75,0,0,0,0
1997,16,75,50,75,0,0,0,0
1998,16,74.92,50,75,0,0,0,0
1999,16,29.14,50,75,0,0,0,0
2000,16,25.27,50,75,4.05,0,0,4.05
2001,16,29,50,75,0,0,0,0
2002,16,9.95,29.99,75,89.14,0,0,89.14
2003,16,48.98,50,75,0,0,0,0
2004,16,21.23,46.23,75,26.48,0,0,26.48
2005,16,43.89,43.89,75,0,0,0,0
2006,16,25,50,75,5.56,0,0,5.56
2007,16,36.12,45.82,75,0,0,0,0
2008,16,34.42,45.67,75,0,0,0,0
2009,16,67.73,50,75,0,0,0,0
2010,16,72.89,47.89,75,0,0,0,0
2011,16,50,50,75,0,0,0,0
2012,16,37.64,50,75,0,0,0,0
2013,16,25.38,44.43,74.37,3.45,0,2.32,5.77
2014,16,25,50,75,5.56,0,0,5.56
2015,16,25,25,75,5.56,0,0,5.56
2016,16,53.89,50,75,0,0,0,0
2017,16,52.36,50,75,0,0,0,0
2018,16,69.44,50,75,0,0,0,0
2019,16,75,50,75,0,0,0,0
