Time,HainET30Y Evapotranspiration
Jul 1983,31.12061
Jul 1984,17.69922
Jul 1985,27.23955
Jul 1986,27.26882
Jul 1987,32.86508
Jul 1988,20.70454
Jul 1989,33.33862
Jul 1990,10.36788
Jul 1991,26.28988
Jul 1992,26.34534
Jul 1993,34.50916
Jul 1994,23.3197
Jul 1995,27.54513
Jul 1996,27.42182
Jul 1997,32.10563
Jul 1998,26.20989
Jul 1999,28.21583
Jul 2000,50.14217
Jul 2001,25.77263
Jul 2002,36.42439
Jul 2003,28.56898
Jul 2004,41.16245
Jul 2005,25.40275
Jul 2006,23.37628
Jul 2007,19.02149
Jul 2008,28.19341
Jul 2009,14.87097
Jul 2010,36.85118
Jul 2011,18.45577
Jul 2012,36.36476
Jul 2013,17.25554
