"","MIXEDVEGg"
"1981",0.17479525576805
"1982",0.151042338045977
"1983",0.139284346957845
"1984",0.145070467152076
"1985",0.163681634421096
"1986",0.198360542722643
"1987",0.155738723935586
"1988",0.157607417335764
"1989",0.156989580051561
"1990",0.15625043139189
"1991",0.149330959319837
"1992",0.152242009315813
"1993",0.156201150114409
"1994",0.174598154158974
"1995",0.166854248851199
"1996",0.195826610828591
"1997",0.187906449163588
"1998",0.164492789677907
"1999",0.170106460652225
"2000",0.1558487
"2001",0.1781078
"2002",0.1715014
"2003",0.1626704
"2004",0.160461
"2005",0.1859064
"2006",0.1408547
"2007",0.1821532
"2008",0.1230847
"2009",0.1174622
"2010",0.1610547
"2011",0.1277763
"2012",0.1348118
"2013",0.1407094
"2014",0.1406741
"2015",0.1320768
"2016",0.1530531
"2017",0.1462584
"2018",0.1331806
"2019",0.1862769
