Year,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.403225806451613,0.403225806451613,0.403225806451613,0.403225806451613,0,0,0,0.403225806451613,0,0,0,0.403225806451613,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,12.5,1.04545454545454,1.04545454545454,0,1.04545454545454,0,0,1.04545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,26.3,3.45,3.47571428571429,20.9,0,0,3.45,0,0,0,0.0257142857142857,0,0,0,0,0,0,0,18.2,15.5,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,15.5
8,3.25428571428571,0,7.27714285714286,18.2,4.02285714285714,0,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,15.5,0,60.7,0,0,0,0,24.9,0,0,18.2,70,0,0,0,0,26.3
9,0,0,2.30857142857143,0,0,0,0,0,0,0,13.5,2.30857142857143,18.2,85,0,28.9,0,0,0,15.9,0,0,0,0,15.5,0,20.9,0,0,0,0,0,0,0,0,0,18.2
10,4.43714285714286,0,7.91764705882353,3.7,11.7,8.6,2.9,3.9,19.3,4.4,10.1,4.11764705882353,8.55478991596639,13.2,38.7,0,0,43.2,10.9,17.2,0,20.4,0,7,4.1,20.4,6.8,11.4,0,5.4,3.9,6.5,0,6.5,0,6.3,5
11,9.3,6.7,4.4,10.6,10.9454545454545,9.1,17.3,0,12,9.5,10.1287878787879,11.5,17.8,10.2,9.5,10.3454545454545,8,32.5,0,3.1,2.7,12.3,10.9454545454545,17.4,20.5,28.4,4.6,10,0,10.6,6.8,17.2,0,4.3,10.9,0,15.2
12,11.3,3.4,28.2,6,8.47714285714286,0,5.97714285714286,31.6,2.8,25.9,37.7,9.8,8.1,30.8,13.1,14.6,9.7,16,4.9,0,7,16.6,14.9,4.4,8.9,17.9,10,14.4,6.2,0,10.7,37,0,10.9,27.8,3.8,9.5
13,21.6,4.4,9.77575757575757,9.4,15.8,10.8,0,5.2,48.5757575757576,14.5,19.7471861471861,38.1,26.1,35.3,14,15.3757575757576,2.9,20.7,8.4,0,0,0,29,26.7,10.8,56.1,0,55.2,8.4,15.1,7.4,42.7,54.9,51.4,30.2,9.97142857142857,12.1
14,29.4,32,24.8,19.2944444444445,64.7,4.6,34.8,0,21.1,14.3,28.2,11.4,2.3,45.8,40.7,34.5,0,3.5,11,6.8,0,0,5.3,15.9,0,33.3,0,4.2,33.4,7.6,27.2,49.1,7,33.7,61.9,0,6.1
15,30.4,27.4,42.2,22.3171428571428,100.4,4.2,13.3171428571428,5.6,12.4,0,32.9,0,33.1,78.8,69.3,29.2,13.3,12.2,16,6.2,14.3,0,31.5,38.3,32.4,15.3,0,16.3,78.2,19.3,26.8,80.2,59.2,17.7,24.9,41.9,40.3
16,42.7,12.6,6.2,25.4571428571429,26.1,46.3,27.9654761904762,0,0,19.7,42,40.6,22.5,79,130.2,37.6,10,37.7,21.4,10.9,12.7,0,21.7,21.1,22.5,44.9,52.9,26.1,33,18.4,5.6,10.9,11.8,20.5,9.8,43,40.9
17,14.2,44.4,45.4,53.5,77,32.2,21.7,17.1,50.1,10.5,27.9,19,9,88.9,49.5,17.2,0,11.1,36.2,53.5,11.9,31.4,31.4,27.3,85.6,74.9,72.8,56,74.4,29.3,29.2,21.8,58.1,37.9,8.5,60.9,71.7
