"","MIXEDET"
"1983",7.80098543162324
"1984",-10.4389418348015
"1985",52.0458088980204
"1986",2.30545558388106
"1987",68.0638975223513
"1988",15.7469767422416
"1989",19.9256860392661
"1990",7.75746502594404
"1991",48.5380548208797
"1992",29.9434925245562
"1993",30.7984246318102
"1994",23.6921239070602
"1995",35.1964711458191
"1996",14.2168217891159
"1997",37.7383817370083
"1998",19.8597957698919
"1999",32.4862941585341
"2000",7.5
"2001",12.8
"2002",2.3
"2003",34.8
"2004",4.2
"2005",33.4
"2006",23
"2007",59.7
"2008",47.5
"2009",29.6
"2010",50.5
"2011",15.4
"2012",37.6
"2013",8.6
"2014",21.1
