"","MIXEDET"
"1983",7.49192956793174
"1984",15.0860495438521
"1985",42.96849949025
"1986",33.1649966025493
"1987",13.6048195815566
"1988",40.1950921465661
"1989",48.1501695287327
"1990",26.0745990676056
"1991",23.5833606054145
"1992",41.1628294350611
"1993",59.1351299873673
"1994",64.9664208123755
"1995",73.2344874606275
"1996",32.5443446987694
"1997",28.649981167585
"1998",59.6131592796356
"1999",63.6937554119909
"2000",24
"2001",36.7
"2002",19.3
"2003",43.8
"2004",28.2
"2005",44.6
"2006",62.3
"2007",70
"2008",69.9
"2009",36.4
"2010",67.6
"2011",36.5
"2012",32.4
"2013",56.9
"2014",53.7
