"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,13.51,24.39,71.96,46.8,0,0,46.8
1984,16,50,50,71.15,0,0,0,0
1985,16,29.23,27.43,72.94,0,0,0,0
1986,16,45.45,50,75,0,0,0,0
1987,16,75,34.2,46.47,0,0,72.16,72.16
1988,16,65.72,50,75,0,0,0,0
1989,16,32.71,32.71,75,0,0,0,0
1990,16,25,41.49,66.49,0,0,13.25,13.25
1991,16,39.26,50,75,0,0,0,0
1992,16,2.83,8.24,58.24,100,0,37.54,137.54
1993,16,26.15,17.8,67.8,0,0,9.42,9.42
1994,16,57.86,50,75,0,0,0,0
1995,16,21.25,24.71,59.64,0,0,33.41,33.41
1996,16,67.06,42.06,75,0,0,0,0
1997,16,59.53,50,75,0,0,0,0
1998,16,31.4,50,75,0,0,0,0
1999,16,15.76,40.76,75,32.73,0,0,32.73
2000,16,19.59,36.6,75,8.79,0,0,8.79
2001,16,54.99,50,75,0,0,0,0
2002,16,41.04,50,75,0,0,0,0
2003,16,21.47,33.15,75,0,0,0,0
2004,16,17.87,19.39,54.67,19.55,0,48.03,67.59
2005,16,28.82,50,75,0,0,0,0
2006,16,42.66,50,75,0,0,0,0
2007,16,47.76,41.9,75,0,0,0,0
2008,16,48.98,33.34,75,0,0,0,0
2009,16,59.69,34.69,75,0,0,0,0
2010,16,14.28,20.68,68.19,42.03,0,8.27,50.3
2011,16,62.37,50,75,0,0,0,0
2012,16,32.42,45.49,75,0,0,0,0
2013,16,19.13,36.38,75,11.68,0,0,11.68
2014,16,25,50,72.6,0,0,0,0
2015,16,36.48,50,75,0,0,0,0
2016,16,20.56,38.04,75,2.77,0,0,2.77
2017,16,23.56,43.14,75,0,0,0,0
2018,16,55.97,35.44,75,0,0,0,0
2019,16,75,38.34,63.34,0,0,22.53,22.53
