"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,3.4,1.31,35.35,100,0,17.96,117.96
1984,16,0.3,0.3,0,100,0,100,200
1985,16,0,19.57,54.61,100,0,0,100
1986,16,2.92,16.67,38.75,100,0,8.79,108.79
1987,16,0.89,2,12.4,100,0,79.99,179.99
1988,16,0,0,50,100,0,0,100
1989,16,0.71,11.85,61.85,100,0,0,100
1990,16,0,0,45.7,100,0,0,100
1991,16,12.98,30.33,51.2,0,0,0,0
1992,16,0,0,29.84,100,0,32.87,132.87
1993,16,0.1,0,45.93,100,0,0,100
1994,16,0,0,50,100,0,0,100
1995,16,3.03,1.98,51.98,100,0,0,100
1996,16,24.91,25,43.32,0,0,0,0
1997,16,24.06,39.24,50,0,0,0,0
1998,16,0,20.2,70.2,100,0,0,100
1999,16,1.32,11.16,59.84,100,0,0,100
2000,16,2.31,15.06,62.75,100,0,0,100
2001,16,5.94,5.94,50,0,0,0,0
2002,16,0,24.55,56.99,100,0,0,100
2003,16,8.89,15.08,46.19,0,0,0,0
2004,16,4.77,4.77,41.74,100,0,0.7,100.7
2005,16,0,9.13,49.11,100,0,0,100
2006,16,0,25,50,100,0,0,100
2007,16,6.39,25,75,0,0,0,0
2008,16,6.75,8.86,57.35,0,0,0,0
2009,16,0,21.44,50.66,100,0,0,100
2010,16,0,0,50,100,0,0,100
2011,16,0,4.84,54.18,100,0,0,100
2012,16,0,0,50,100,0,0,100
2013,16,0,0,50,100,0,0,100
2014,16,0,0,25,100,0,45.95,145.95
2015,16,0,0,7.24,100,0,93.95,193.95
2016,16,0,0,50,100,0,0,100
2017,16,0,22.46,53.13,100,0,0,100
2018,16,19.71,35.66,66.82,0,0,0,0
2019,16,4.66,11.18,40.73,100,0,3.42,103.42
