"","MIXEDET"
"1983",19.6669284701695
"1984",29.8592485982576
"1985",46.3483223927294
"1986",36.3944411252844
"1987",14.3851138414865
"1988",60.5569943838665
"1989",64.2359190361395
"1990",15.931312503279
"1991",25.4256840916951
"1992",38.3199844040293
"1993",47.4786371136948
"1994",62.4159443494028
"1995",59.3430663009959
"1996",47.5102728919412
"1997",29.6445682070776
"1998",60.1733789368507
"1999",69.7560143465743
"2000",26.4
"2001",45
"2002",40.8
"2003",35.9
"2004",17.7
"2005",52.5
"2006",53.2
"2007",70
"2008",66.2
"2009",32.3
"2010",70.6
"2011",50.2
"2012",43.1
"2013",39.2
"2014",56.3
