"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,27.03,2.58,39.77,0,0,17.94,17.94
1984,16,7.79,6.2,51.04,0,0,0,0
1985,16,0.19,25.19,75,100,0,0,100
1986,16,39.33,39.26,61.38,0,0,0,0
1987,16,30.82,30.5,35.85,0,0,39.75,39.75
1988,16,3.67,25,75,100,0,0,100
1989,16,1.85,15.77,48.65,100,0,0,100
1990,16,0,11.25,61.25,100,0,0,100
1991,16,0,0,39.08,100,0,21.77,121.77
1992,16,7.75,10.79,38.03,0,0,27.6,27.6
1993,16,30.02,25,75,0,0,0,0
1994,16,25,50,75,0,0,0,0
1995,16,0,25,75,100,0,0,100
1996,16,34.77,19.06,34.29,0,0,48.4,48.4
1997,16,44.64,42.29,57.11,0,0,0,0
1998,16,20.73,25,75,0,0,0,0
1999,16,2.01,27.01,75,100,0,0,100
2000,16,27.49,28.57,53.57,0,0,0,0
2001,16,9,0,44.41,0,0,0,0
2002,16,4.64,9.14,43.05,100,0,0,100
2003,16,15.42,27.42,55.8,0,0,0,0
2004,16,8.16,8.16,48.45,0,0,0,0
2005,16,11.53,27.29,47.7,0,0,0,0
2006,16,28.66,31.25,31.25,0,0,65.29,65.29
2007,16,7.82,32.82,75,0,0,0,0
2008,16,0,20.53,70.53,100,0,0,100
2009,16,7.24,25,75,0,0,0,0
2010,16,19.37,22.62,51.16,0,0,0,0
2011,16,25,5.19,36.72,0,0,34.87,34.87
2012,16,30.08,43.14,53.85,0,0,0,0
2013,16,4.22,16.26,62.04,100,0,0,100
2014,16,0,25,75,100,0,0,100
2015,16,0,18.12,63.45,100,0,0,100
2016,16,12.59,17.98,63.04,0,0,0,0
2017,16,0,25,56.52,100,0,0,100
2018,16,4.81,25,75,100,0,0,100
2019,16,12.28,24,31.21,0,0,65.51,65.51
