"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,27.36,1.5,40.66,0,0,12.77,12.77
1984,16,10.69,12.81,35.63,0,0,27.55,27.55
1985,16,9.98,28.31,75,0,0,0,0
1986,16,50,50,75,0,0,0,0
1987,16,56.16,13.55,14.3,0,0,90.3,90.3
1988,16,0.5,25,75,100,0,0,100
1989,16,0.35,0,38.19,100,0,20.04,120.04
1990,16,0,0,46.8,100,0,0,100
1991,16,8.8,25,53.33,0,0,0,0
1992,16,0,0,50,100,0,0,100
1993,16,41.07,50,75,0,0,0,0
1994,16,18.14,34.34,75,0,0,0,0
1995,16,0,25,75,100,0,0,100
1996,16,30.44,23.44,66.22,0,0,0,0
1997,16,24.47,29.77,70.45,0,0,0,0
1998,16,30.68,50,75,0,0,0,0
1999,16,1.26,26.26,75,100,0,0,100
2000,16,25,35.53,60.53,0,0,0,0
2001,16,0,0,45.31,100,0,0,100
2002,16,4.06,0,19.35,100,0,75.44,175.44
2003,16,13.86,12.71,34.34,0,0,31.37,31.37
2004,16,2.42,2.87,44.82,100,0,0.54,100.54
2005,16,0,11.63,52.94,100,0,0,100
2006,16,28.53,27.13,33.2,0,0,34.71,34.71
2007,16,3.6,25,75,100,0,0,100
2008,16,3.33,7.56,57.56,100,0,0,100
2009,16,0,6.3,56.3,100,0,0,100
2010,16,0,25,75,100,0,0,100
2011,16,27.68,27.68,75,0,0,0,0
2012,16,11.79,35.29,64.94,0,0,0,0
2013,16,0.4,16.7,66.7,100,0,0,100
2014,16,6.74,12.45,54.11,0,0,0,0
2015,16,19.35,21.93,66.84,0,0,0,0
2016,16,11.34,12.15,58.32,0,0,0,0
2017,16,3.81,28.81,54.8,100,0,0,100
2018,16,14.48,25,68.34,0,0,0,0
2019,16,0,8.96,33.8,100,0,32.95,132.95
