"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.84",,"0.31"
"Abara","1","1","1","1","1","0.32",,"0.44"
"Abarwuha","1","1","1","1","1","0.78",,"0.22"
"Abaselima","1","1","1","1","1","0.65",,"0.44"
"Abina","1","1","1","1","1","0.78",,"0.31"
"AbrahaAtsbaha","0.11","1","1","1","0.11","0.59",,"0.59"
"Abrekuy","1","1","1","1","1","0.89",,"0.44"
"AdekeAla","0.35","1","1","1","0.35","0.38",,"0.25"
"Adekiney","0.41","1","1","1","0.41","0.84",,"0.66"
"AderSeg","1","1","1","1","1","0.92",,"0.31"
"Adibearj","1","1","1","1","1","0.89",,"0.72"
"AdiHa","0.22","1","1","1","0.22","0.89",,"0.44"
"AdiKisandid","0.14","1","1","1","0.14","0.43",,"0.59"
"Adisalem","1","1","1","1","1","0.84",,"0.53"
"AdisAlemS","0.35","1","1","1","0.35","0.54",,"0.25"
"AdisAlemW","0.59","1","1","1","0.59","0.49",,"0.69"
"Adiselam","1","1","1","1","1","0.84",,"0.56"
"Adishimbirkti","0.22","1","1","1","0.22","0.41",,"0.5"
"AdisKigni","0.59","1","1","1","0.59","0.57",,"0.69"
"Adiyikoro","0.62","1","1","1","0.62","0.78",,"0.69"
"Adizata","0.62","1","1","1","0.62","0.62",,"0.69"
"Adreb","1","1","1","1","1","0.84",,"0.56"
"AgazenMeda","1","1","1","1","1","0.84",,"0.22"
"Agazi","0.03","1","1","1","0.03","0.51",,"0.62"
"Agbe","1","1","1","1","1","0.73",,"0.44"
"Agela","1","1","1","1","1","0.62",,"0.47"
"Agid","1","1","1","1","1","0.78",,"0.62"
"AlemeTesfa","1","1","1","0.38","1","0.88",,"0.53"
"AmdiWeyane","0.35","1","1","1","0.35","0.62",,"0.25"
"Amedwuha","0.3","1","1","1","0.3","0.65",,"0.53"
"Ameno","1","1","1","1","1","1",,"0.47"
"Amisetya","1","1","1","1","1","0.86",,"0.56"
"Angot","1","1","1","1","1","0.62",,"0.22"
"Anigot","1","1","1","1","1","0.62",,"0.47"
"Ansheb","0.35","1","1","1","0.35","0.43",,"0.47"
"AquaShumoch","1","1","1","1","1","1",,"0.59"
"Aquha","0.43","1","1","1","0.43","0.84",,"0.56"
"Arena","0.38","1","1","1","0.38","0.7",,"0.41"
"Asmena","0.22","1","0.49","1","0.22","0.24",,"0.62"
"Asta","1","1","1","1","1","1",,"0.47"
"Atakilti","1","1","1","1","1","0.78",,"0.5"
"AwetBikalsi","0.22","1","1","1","0.22","0.81",,"0.44"
"AwusaMeda","1","1","1","0.38","1","0.89",,"0.53"
