"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Burkoche","Burkoche","Burkoche","Burkoche","Burkoche","Burkoche","Burkoche","Burkoche"
"Region","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","27","0.81","32","50","0.08","32.45","0"
"1984-1977","0","37","0.97","0","62","0.27","0.09","0"
"1985-1978","0","6","0.27","0","71","0.51","0","0"
"1986-1979","0","25","0.73","0","72","0.57","0","0"
"1987-1980","0","13","0.49","84","31","0.03","83.91","0"
"1988-1981","0","20","0.62","0","75","1","0","0"
"1989-1982","100","1","0.19","0","63","0.3","100","0"
"1990-1983","0","11","0.38","0","67","0.43","0","0"
"1991-1984","0","33","0.92","0","75","1","0","1"
"1992-1985","100","0","0.16","25","53","0.16","124.79","0"
"1993-1986","100","3","0.24","32","50","0.11","132.43","1"
"1994-1987","0","25","0.73","0","75","1","0","0"
"1995-1988","100","0","0.16","15","56","0.19","115.14","0"
"1996-1989","0","26","0.78","0","75","1","0","0"
"1997-1990","0","60","1","0","75","1","0","0"
"1998-1991","100","0","0.16","0","75","1","100","0"
"1999-1992","0","21","0.65","0","75","1","0","0"
"2000-1993","0","28","0.84","0","75","1","0","0"
"2001-1994","0","13","0.51","7","60","0.22","6.53","0"
"2002-1995","0","37","0.95","2","61","0.24","1.8","0"
"2003-1996","0","9","0.35","0","69","0.49","0","0"
"2004-1997","0","12","0.46","37","48","0.05","37","0"
"2005-1998","0","28","0.86","0","75","1","0","0"
"2006-1999","100","0","0.16","0","74","0.62","100","0"
"2007-2000","0","30","0.89","0","75","1","0","0"
"2008-2001","0","17","0.54","0","75","1","0","0"
"2009-2002","0","18","0.59","0","64","0.35","0","1"
"2010-2003","100","0","0.16","0","65","0.41","100","0"
"2011-2004","100","2","0.22","0","75","1","100","1"
"2012-2005","0","12","0.43","0","75","1","0","0"
"2013-2006","0","7","0.3","0","68","0.46","0","0"
"2014-2007","100","0","0.16","0","74","0.59","100","0"
"2015-2008","0","25","0.73","25","53","0.14","24.97","0"
"2016-2009","0","11","0.41","0","65","0.38","0","1"
"2017-2010","0","9","0.32","0","75","1","0","0"
"2018-2011","0","18","0.57","0","64","0.32","0","0"
"2019-2012","0","25","0.76","0","72","0.54","0","0"
