"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Aquha","Aquha","Aquha","Aquha","Aquha","Aquha","Aquha","Aquha"
"Region","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat","Ibinat"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","11","0.32","38","49","0.08","38.41","0"
"1984-1977","0","38","0.89","0","60","0.3","0","0"
"1985-1978","0","7","0.27","0","75","1","0","0"
"1986-1979","0","25","0.73","0","75","1","0","0"
"1987-1980","0","12","0.41","70","40","0.03","70.08","0"
"1988-1981","0","24","0.59","0","75","1","0","0"
"1989-1982","100","2","0.16","0","59","0.27","100","0"
"1990-1983","0","13","0.46","12","56","0.19","11.75","0"
"1991-1984","0","33","0.78","0","75","1","0","0"
"1992-1985","100","0","0.14","19","54","0.16","118.57","0"
"1993-1986","0","15","0.49","33","50","0.11","33.33","0"
"1994-1987","0","39","0.92","0","75","1","0","1"
"1995-1988","0","12","0.38","1","59","0.24","0.8","0"
"1996-1989","0","39","0.95","0","75","1","0","0"
"1997-1990","0","62","1","0","75","1","0","0"
"1998-1991","100","0","0.14","0","75","1","100","0"
"1999-1992","0","25","0.73","0","75","1","0","0"
"2000-1993","0","11","0.3","0","75","1","0","0"
"2001-1994","0","17","0.51","0","75","1","0","0"
"2002-1995","0","25","0.73","0","66","0.35","0","0"
"2003-1996","31","6","0.22","0","69","0.43","30.94","0"
"2004-1997","0","13","0.43","22","53","0.14","22.31","1"
"2005-1998","0","21","0.57","0","75","1","0","1"
"2006-1999","100","0","0.14","0","68","0.41","100","0"
"2007-2000","0","25","0.73","0","75","1","0","0"
"2008-2001","0","35","0.84","0","75","1","0","0"
"2009-2002","0","31","0.76","0","64","0.32","0","1"
"2010-2003","100","5","0.19","0","71","0.51","100","0"
"2011-2004","100","0","0.14","0","75","1","100","1"
"2012-2005","0","12","0.35","0","75","1","0","0"
"2013-2006","0","25","0.73","0","69","0.46","0","0"
"2014-2007","100","0","0.14","0","71","0.49","100","0"
"2015-2008","0","46","0.97","4","58","0.22","4.25","0"
"2016-2009","0","21","0.54","0","75","1","0","0"
"2017-2010","0","6","0.24","0","75","1","0","0"
"2018-2011","0","36","0.86","0","66","0.38","0","0"
"2019-2012","0","34","0.81","46","47","0.05","45.54","0"
