"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early","Early"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","0","31","0.24","73.26626","0.59","56.6","0.24","63","0.54","31.050840565873","0.24","0.168151999401312","0.03",,,"47.1024760461031","0.94"
"1984-1977","0","50","0.68","75","1","67.8","0.54","75","1","50","0.68","0.307121584375417","0.84",,,"-1.49474425827497","0.06"
"1985-1978","6","29","0.14","72.93908","0.43","50.5","0.14","57","0.38","29.41281225","0.14","0.274771900977209","0.54",,,"11.0864607371549","0.25"
"1986-1979","0","41","0.49","72.93908","0.43","74.0542857142857","0.76","75","1","41.365599","0.49","0.275067097191944","0.59",,,"12.8081356299458","0.31"
"1987-1980","0","75","1","69.27579","0.05","75","1","75","1","75","1","0.274978545648858","0.57",,,"38.7658916987375","0.78"
"1988-1981","0","71","0.89","73.26626","0.59","70","0.62","64","0.59","71.392129","0.89","0.199793160634814","0.05",,,"34.7698870099702","0.72"
"1989-1982","0","35","0.35","73.26626","0.59","71.2","0.68","75","1","35.412829","0.35","0.281544135566235","0.68",,,"30.503892139161","0.62"
"1990-1983","0","50","0.68","71.20534","0.16","38.1","0.03","50","0.24","50","0.68","0.255086955180603","0.3",,,"-1.82540723400364","0.03"
"1991-1984","0","32","0.3","72.93908","0.43","56","0.22","62","0.51","32.076625","0.3","0.221957915704555","0.14",,,"29.7988802763038","0.59"
"1992-1985","100","0","0.03","71.20534","0.16","43.5","0.08","27","0.03","0","0.03","0.262632652173043","0.41",,,"42.6324885933065","0.84"
"1993-1986","0","43","0.54","75","1","66.6","0.51","50","0.24","43.1122540277778","0.54","0.257513611563881","0.32",,,"28.0331444857491","0.56"
"1994-1987","0","67","0.84","72.93908","0.43","70.1","0.65","75","1","66.602255","0.84","0.276183015025521","0.62",,,"9.91841571209564","0.16"
"1995-1988","0","37","0.46","73.26626","0.59","62.4","0.41","34","0.08","37.441584","0.46","0.244760322419194","0.24",,,"26.0064931831599","0.5"
