"","Lat","Lon","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET","Ave"
"AbaBikila","12.28212","38.09279","1","0.444444444444444","0.666666666666667","0.777777777777778","1","0.333333333333333","0","0","0.46031746031746"
"Abara","10.47808","38.45123","1","0.555555555555556","0.666666666666667","0.666666666666667","1","0.333333333333333","0.111111111111111","0.333333333333333","0.523809523809524"
"Abarwuha","11.02268","38.15232","1","0.333333333333333","0.333333333333333","0.222222222222222","1","0.555555555555556","0","0.333333333333333","0.396825396825397"
"Abaselima","10.36874","38.45637","1","0.444444444444444","0.666666666666667","0.444444444444444","1","0.222222222222222","0","0.333333333333333","0.444444444444444"
"Abina","12.28058","38.21639","1","0.555555555555556","0.555555555555556","0.666666666666667","1","0.555555555555556","0.111111111111111","0","0.492063492063492"
"AbrahaAtsbaha","13.837765","39.511604","1","0.222222222222222","0.222222222222222","0.444444444444444","1","0.222222222222222","0","0.111111111111111","0.317460317460317"
"Abrekuy","10.26471","38.35797","1","0.375","0.625","0.375","1","0.375","0","0.25","0.428571428571429"
"AdekeAla","13.348441","39.236951","1","0.444444444444444","0.555555555555556","0.333333333333333","1","0.222222222222222","0.111111111111111","0.333333333333333","0.428571428571429"
"Adekiney","14.27692","39.30789","1","0.444444444444444","0.555555555555556","0.222222222222222","1","0.111111111111111","0.222222222222222","0.222222222222222","0.396825396825397"
"AderSeg","12.29665","38.14919","1","0.444444444444444","0.666666666666667","0.777777777777778","1","0.444444444444444","0","0","0.476190476190476"
"Adibearj","14.17552","38.54545","1","0.555555555555556","0.555555555555556","0.444444444444444","1","0.444444444444444","0.111111111111111","0.666666666666667","0.53968253968254"
"AdiHa","13.733","39.087","1","0.444444444444444","0.333333333333333","0.333333333333333","1","0.222222222222222","0","0.333333333333333","0.380952380952381"
"AdiKisandid","13.82423333","39.61081667","1","0.333333333333333","0.222222222222222","0.444444444444444","1","0.222222222222222","0","0.111111111111111","0.333333333333333"
"Adisalem","10.78602","38.4665","1","0.666666666666667","0.555555555555556","0.666666666666667","1","0.444444444444444","0.111111111111111","0.222222222222222","0.523809523809524"
"AdisAlemS","13.308802","39.229","1","0.444444444444444","0.555555555555556","0.333333333333333","1","0.222222222222222","0.111111111111111","0.333333333333333","0.428571428571429"
"AdisAlemW","14.1","39.2","1","0.666666666666667","0.666666666666667","0.333333333333333","1","0.333333333333333","0","0.222222222222222","0.46031746031746"
"Adiselam","13.892691","38.625008","1","0.555555555555556","0.666666666666667","0.333333333333333","1","0.333333333333333","0.111111111111111","0.555555555555556","0.507936507936508"
"Adishimbirkti","12.56255587","39.42271482","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.142857142857143"
"AdisKigni","12.42191667","39.67775","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.142857142857143"
"Adiyikoro","14.19138333","39.07198333","1","0.666666666666667","0.555555555555556","0.333333333333333","1","0.111111111111111","0.111111111111111","0.222222222222222","0.428571428571429"
"Adizata","14.2262","39.08181667","1","0.666666666666667","0.666666666666667","0.222222222222222","1","0.111111111111111","0.111111111111111","0.222222222222222","0.428571428571429"
