"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.54","0.57","0.89","0.62","0.54","0.19",,"0.72"
"Abara","0.35","0.54","0.08","0.03","0.35","0.7",,"0.84"
"Abarwuha","0.22","0.35","0.14","0.46","0.22","0.05",,"0.94"
"Abaselima","0.27","0.54","0.16","0.22","0.27","0.81",,"0.84"
"Abina","0.73","0.59","0.81","0.59","0.73","0.7",,"0.72"
"AbrahaAtsbaha","0.22","0.41","0.38","0.35","0.22","0.41",,"0.69"
"Abrekuy","0.11","0.46","0.03","0.11","0.11","0.41",,"0.84"
"AdekeAla","0.32","0.14","0.22","0.14","0.32","0.38",,"0.59"
"Adekiney","0.76","0.38","0.35","0.27","0.76","0.24",,"0.81"
"AderSeg","0.54","0.49","0.89","0.68","0.54","0.51",,"0.72"
"Adibearj","0.86","0.7","0.81","0.46","0.86","0.35",,"0.78"
"AdiHa","0.49","0.16","0.11","0.11","0.49","0.43",,"0.75"
"AdiKisandid","0.19","0.43","0.49","0.38","0.19","0.14",,"0.69"
"Adisalem","0.32","0.54","0.19","0.32","0.32","0.7",,"0.94"
"AdisAlemS","0.32","0.14","0.35","0.32","0.32","0.51",,"0.59"
"AdisAlemW","0.59","0.38","0.3","0.22","0.59","0.59",,"0.78"
"Adiselam","0.65","0.46","1","0.49","0.65","0.51",,"0.66"
"Adishimbirkti","0.78","0.62","0.62","0.59","0.78","0.86",,"0.78"
"AdisKigni","0.49","0.68","0.76","0.7","0.49","0.68",,"0.88"
"Adiyikoro","0.51","0.38","0.43","0.14","0.51","0.27",,"0.78"
"Adizata","0.51","0.43","0.57","0.22","0.51","0.32",,"0.78"
"Adreb","0.51","0.51","0.84","0.49","0.51","0.65",,"0.66"
"AgazenMeda","0.22","0.35","0.16","0.62","0.22","0.14",,"0.94"
"Agazi","0.59","0.35","0.27","0.35","0.59","0.43",,"0.69"
"Agbe","0.22","0.38","0.27","0.11","0.22","0.78",,"0.75"
"Agela","0.3","0.38","0.46","0.19","0.3","0.11",,"0.66"
"Agid","0.19","0.38","1","0.19","0.19","0.32",,"0.53"
"AlemeTesfa","0.35","0.51","0.27","0.43","0.35","0.2",,"0.94"
"AmdiWeyane","0.32","0.14","0.35","0.3","0.32","0.57",,"0.59"
