"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.08","0.11","0.22","0.08","0.08","0.54",,"0.56"
"Abara","0.11","0.51","0.73","0.43","0.11","0.19",,"0.31"
"Abarwuha","0.86","0.73","0.62","0.62","0.86","0.32",,"0.28"
"Abaselima","0.16","0.51","0.43","0.14","0.16","0.19",,"0.31"
"Abina","0.11","0.19","0.35","0.3","0.11","0.62",,"0.56"
"AbrahaAtsbaha","0.89","0.43","0.05","0.03","0.89","0.49",,"0.41"
"Abrekuy","0.62","0.51","0.41","0.08","0.62","0.22",,"0.31"
"AdekeAla","0.35","0.16","0.51","0.46","0.35","0.19",,"0.41"
"Adekiney","0.73","0.7","0.38","0.19","0.73","0.3",,"0.25"
"AderSeg","0.08","0.14","0.22","0.08","0.08","0.57",,"0.56"
"Adibearj","0.84","0.22","0.46","0.73","0.84","0.05",,"0.41"
"AdiHa","0.7","0.46","0.51","0.41","0.7","0.22",,"0.41"
"AdiKisandid","0.95","0.46","0.05","0.05","0.95","0.05",,"0.41"
"Adisalem","0.38","0.51","0.7","0.7","0.38","0.32",,"0.06"
"AdisAlemS","0.35","0.16","0.57","0.49","0.35","0.19",,"0.41"
"AdisAlemW","0.95","0.76","0.22","0.11","0.95","0.68",,"0.69"
"Adiselam","1","1","0.68","1","1","0.14",,"0.78"
"Adishimbirkti","0.43","0.41","0.54","0.73","0.43","0.38",,"0.28"
"AdisKigni","0.49","0.3","0.14","0.57","0.49","0.3",,"0.22"
"Adiyikoro","0.97","0.81","0.41","0.78","0.97","0.41",,"0.69"
"Adizata","0.97","0.76","0.43","0.89","0.97","0.24",,"0.69"
"Adreb","0.95","0.14","0.54","0.76","0.95","0.32",,"0.78"
"AgazenMeda","0.89","0.73","0.73","0.41","0.89","0.51",,"0.28"
"Agazi","0.92","0.38","0.43","0.3","0.92","0.3",,"0.03"
"Agbe","0.65","0.14","0.73","0.7","0.65","0.49",,"0.41"
"Agela","0.62","0.54","0.57","0.68","0.62","0.78",,"0.44"
"Agid","0.59","0.54","1","1","0.59","0.51",,"0.34"
"AlemeTesfa","0.86","0.54","0.41","0.35","0.86","0.48",,"0.06"
"AmdiWeyane","0.35","0.16","0.57","0.43","0.35","0.19",,"0.41"
"Amedwuha","0.38","0.19","0.22","0.59","0.38","0.27",,"0.38"
"Ameno","0.57","0.59","0.35","0.43","0.57","0.35",,"0.44"
"Amisetya","0.11","0.22","0.35","0.46","0.11","0.68",,"0.5"
"Angot","0.86","0.7","0.68","0.59","0.86","0.22",,"0.28"
"Anigot","0.62","0.54","0.65","0.65","0.62","0.65",,"0.44"
"Ansheb","0.22","0.54","0.68","0.76","0.22","0.22",,"0.12"
"AquaShumoch","0.65","0.59","0.32","0.57","0.65","0.59",,"0.62"
"Aquha","0.14","0.05","0.19","0.51","0.14","0.73",,"0.5"
"Arena","0.89","0.3","0.49","0.73","0.89","0.32",,"0.62"
"Asmena","0.89","0.51","0.38","0.27","0.89","0.49",,"0.03"
"Asta","0.65","0.59","0.3","0.51","0.65","0.27",,"0.44"
"Atakilti","0.73","0.57","0.54","1","0.73","0.3",,"0.59"
"AwetBikalsi","0.7","0.24","0.54","0.46","0.7","0.27",,"0.41"
"AwusaMeda","0.86","0.51","0.41","0.49","0.86","0.62",,"0.06"
"Ayba","0.46","0.3","0.51","0.68","0.46","0.24",,"0.31"
"Aynalem","0.89","0.43","0.08","0.08","0.89","0.05",,"0.41"
"Bala","0.49","0.3","0.19","0.54","0.49","0.27",,"0.22"
"Balarab","0.11","0.16","0.32","0.32","0.11","0.68",,"0.5"
"Bamba","0.65","0.3","0.76","0.73","0.65","0.49",,"0.41"
"BarkaAdiswha","0.97","0.54","0.05","0.08","0.97","0.05",,"0.41"
"Begasheka","1","0.46","0.73","1","1","0.14",,"0.59"
"Berlay","0.86","0.51","0.54","0.54","0.86","0.54",,"0.06"
"Betgebez","0.62","0.76","0.49","0.54","0.62","0.41",,"0.34"
"Bethans","0.86","0.54","0.43","0.97","0.86","0.49",,"0.62"
"BilbWuha","0.59","0.11","0.54","0.38","0.59","0.3",,"0.38"
"Birkutea","0.65","0.54","0.49","1","0.65","0.38",,"0.44"
"Boneya","0.16","0.51","0.76","0.51","0.16","0.11",,"0.31"
"Burkoche","0.16","0.57","0.19","0.51","0.16","0.73",,"0.5"
"Cheli","0.51","0.16","0.54","0.46","0.51","0.19",,"0.41"
"Darubekeda","0.38","0.3","0.51","0.7","0.38","0.59",,"0.28"
"Deberkerbye","0.78","0.27","0.41","1","0.78","0.35",,"0.72"
"DeberAbaJale","0.49","0.54","0.49","1","0.49","0.43",,"0.62"
"DebrAbay","0.7","0.51","0.57","0.7","0.7","0.3",,"0.06"
"DebreAliays","0.86","0.51","0.41","0.51","0.86","0.27",,"0.06"
"Debrebirhan","0.92","0.35","0.05","0.03","0.92","0.7",,"0.34"
"Debrebrhan","0.7","0.16","0.22","0.43","0.7","0.27",,"0.09"
"DebreGenet","0.84","0.49","0.41","0.46","0.84","0.54",,"0.06"
"DebreGenetA","0.84","0.54","0.54","0.97","0.84","0.35",,"0.62"
"DebreGenetK","0.57","0.49","0.73","0.7","0.57","0.46",,"0.59"
"DebreGeorgis","0.86","0.54","0.43","0.46","0.86","0.43",,"0.06"
"DebreKidusan","0.68","0.49","0.38","0.32","0.68","0.43",,"0.06"
"Debremawie","0.86","0.51","0.49","0.51","0.86","0.38",,"0.06"
"Debreselam","0.84","0.24","0.19","0.22","0.84","0.62",,"0.34"
"Debrinetseb","1","0.38","0.51","0.84","1","0.3",,"0.59"
"Dekera","0.62","0.49","0.59","0.54","0.62","0.19",,"0.5"
"DembezaAmbaLay","0.86","0.51","0.35","0.43","0.86","0.57",,"0.06"
"Derit","0.86","0.59","0.7","0.43","0.86","0.51",,"0.28"
"Derita","0.65","0.62","0.41","1","0.65","0.27",,"0.44"
"Dinkashena","0.35","0.3","0.65","0.73","0.35","0.51",,"0.19"
"Ebo","0.51","0.43","0.11","0.43","0.51","0.32",,"0.31"
"Edagaarbi","0.95","0.51","0.32","0.16","0.95","0.3",,"0.22"
"EmbaAhfrom","0.68","0.86","0.32","0.24","0.68","0.38",,"0.69"
"EmbachekoGunaguna","0.65","0.59","0.32","0.24","0.65","0.43",,"0.62"
