"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.03","0.22","0.44","0.56","0.06","0.41","0.97","0.19","0.25","0.47","0.38","0.88","0.72","0.53","0.28","0.75","0.94","0.34","0.12","0.09","0.31","0.16","0.62","0.91","1","0.84","0.5","0.81","0.78","0.59","0.66","0.69",,,,,
"Abara","0.03","0.97","0.66","0.53","0.41","0.84","0.69","0.81","0.25","0.16","0.38","1","0.34","0.94","0.12","0.19","0.28","0.31","0.09","0.06","0.44","0.22","0.78","0.88","0.91","0.56","0.5","0.72","0.75","0.47","0.62","0.59",,,,,
"Abarwuha","0.03","0.88","0.84","0.69","0.44","0.56","0.31","0.53","0.06","0.16","0.38","1","0.72","0.47","0.19","0.41","0.34","0.25","0.12","0.09","0.22","0.28","0.91","0.5","0.94","0.97","0.66","0.81","0.78","0.59","0.62","0.75",,,,,
"Abaselima","0.03","0.97","0.66","0.53","0.41","0.84","0.69","0.81","0.25","0.16","0.38","1","0.34","0.94","0.12","0.19","0.28","0.31","0.09","0.06","0.44","0.22","0.78","0.88","0.91","0.56","0.5","0.72","0.75","0.47","0.62","0.59",,,,,
"Abina","0.03","0.22","0.44","0.56","0.06","0.41","0.97","0.19","0.25","0.47","0.38","0.88","0.72","0.53","0.28","0.75","0.94","0.34","0.12","0.09","0.31","0.16","0.62","0.91","1","0.84","0.5","0.81","0.78","0.59","0.66","0.69",,,,,
"AbrahaAtsbaha","0.03","0.09","0.56","0.38","0.06","0.5","0.66","0.22","0.16","0.53","0.75","0.88","1","0.34","0.28","0.78","0.84","0.19","0.47","0.12","0.59","0.25","0.62","0.81","0.97","0.94","0.41","0.91","0.44","0.31","0.72","0.69",,,,,
"Abrekuy","0.03","0.97","0.66","0.53","0.41","0.84","0.69","0.81","0.25","0.16","0.38","1","0.34","0.94","0.12","0.19","0.28","0.31","0.09","0.06","0.44","0.22","0.78","0.88","0.91","0.56","0.5","0.72","0.75","0.47","0.62","0.59",,,,,
"AdekeAla","0.06","0.16","0.62","0.41","0.12","0.31","0.69","0.19","0.03","0.38","0.5","0.91","0.84","0.78","0.56","0.75","0.94","0.28","0.34","0.09","0.25","0.22","0.72","0.81","1","0.88","0.59","0.97","0.53","0.47","0.66","0.44",,,,,
"Adekiney","0.28","0.06","0.44","0.59","0.12","0.5","0.81","0.03","0.09","0.16","0.53","0.88","0.62","0.47","0.41","1","0.78","0.31","0.25","0.19","0.66","0.22","0.75","0.84","0.97","0.91","0.69","0.94","0.34","0.38","0.72","0.56",,,,,
"AderSeg","0.03","0.22","0.44","0.56","0.06","0.41","0.97","0.19","0.25","0.47","0.38","0.88","0.72","0.53","0.28","0.75","0.94","0.34","0.12","0.09","0.31","0.16","0.62","0.91","1","0.84","0.5","0.81","0.78","0.59","0.66","0.69",,,,,
"Adibearj","0.25","0.22","0.47","0.5","0.03","0.59","0.69","0.06","0.31","0.38","0.56","0.78","0.75","0.44","0.19","0.97","0.88","0.28","0.16","0.09","0.72","0.12","0.84","0.91","1","0.81","0.66","0.94","0.41","0.34","0.62","0.53",,,,,
"AdiHa","0.03","0.28","0.62","0.34","0.19","0.41","0.66","0.09","0.06","0.59","0.75","0.81","0.94","0.53","0.5","0.91","0.88","0.25","0.56","0.12","0.44","0.22","0.72","0.78","1","0.84","0.31","0.97","0.16","0.47","0.69","0.38",,,,,
"AdiKisandid","0.03","0.09","0.56","0.38","0.06","0.5","0.66","0.22","0.16","0.53","0.75","0.88","1","0.34","0.28","0.78","0.84","0.19","0.47","0.12","0.59","0.25","0.62","0.81","0.97","0.94","0.41","0.91","0.44","0.31","0.72","0.69",,,,,
"Adisalem","0.03","0.97","0.81","0.88","0.31","0.56","0.47","0.59","0.19","0.22","0.41","1","0.44","0.38","0.16","0.25","0.12","0.34","0.09","0.06","0.53","0.28","0.94","0.66","0.84","0.78","0.5","0.75","0.72","0.94","0.69","0.62",,,,,
"AdisAlemS","0.06","0.16","0.62","0.41","0.12","0.31","0.69","0.19","0.03","0.38","0.5","0.91","0.84","0.78","0.56","0.75","0.94","0.28","0.34","0.09","0.25","0.22","0.72","0.81","1","0.88","0.59","0.97","0.53","0.47","0.66","0.44",,,,,
"AdisAlemW","0.12","0.28","0.5","0.62","0.06","0.81","0.94","0.03","0.16","0.47","0.59","0.84","0.38","0.41","0.25","1","0.66","0.31","0.19","0.09","0.69","0.22","0.72","0.88","0.97","0.78","0.53","0.91","0.34","0.44","0.56","0.75",,,,,
"Adiselam","0.12","0.03","0.78","0.53","0.06","0.47","0.59","0.09","0.16","0.28","0.75","0.69","0.72","0.66","0.31","0.88","0.84","0.34","0.22","0.19","0.56","0.25","0.94","0.81","0.97","1","0.5","0.91","0.38","0.44","0.44","0.62",,,,,
"Adishimbirkti","0.03","0.31","0.56","0.41","0.06","0.69","0.34","0.47","0.38","0.44","0.19","0.78","0.59","0.25","0.16","0.97","0.94","0.22","0.12","0.09","0.5","0.28","0.91","0.66","1","0.84","0.62","0.88","0.75","0.72","0.81","0.53",,,,,
"AdisKigni","0.16","0.5","0.47","0.44","0.12","0.62","0.41","0.59","0.25","0.38","0.09","0.97","0.31","0.34","0.06","1","0.53","0.28","0.19","0.03","0.69","0.22","0.88","0.81","0.84","0.78","0.56","0.91","0.72","0.75","0.94","0.66",,,,,
"Adiyikoro","0.12","0.28","0.5","0.62","0.06","0.81","0.94","0.03","0.16","0.47","0.59","0.84","0.38","0.41","0.25","1","0.66","0.31","0.19","0.09","0.69","0.22","0.72","0.88","0.97","0.78","0.53","0.91","0.34","0.44","0.56","0.75",,,,,
"Adizata","0.12","0.28","0.5","0.62","0.06","0.81","0.94","0.03","0.16","0.47","0.59","0.84","0.38","0.41","0.25","1","0.66","0.31","0.19","0.09","0.69","0.22","0.72","0.88","0.97","0.78","0.53","0.91","0.34","0.44","0.56","0.75",,,,,
"Adreb","0.12","0.03","0.78","0.53","0.06","0.47","0.59","0.09","0.16","0.28","0.75","0.69","0.72","0.66","0.31","0.88","0.84","0.34","0.22","0.19","0.56","0.25","0.94","0.81","0.97","1","0.5","0.91","0.38","0.44","0.44","0.62",,,,,
