"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","AwetBikalsi","AwetBikalsi","AwetBikalsi","AwetBikalsi","AwetBikalsi","AwetBikalsi","AwetBikalsi","AwetBikalsi"
"Region","KolaTembien","KolaTembien","KolaTembien","KolaTembien","KolaTembien","KolaTembien","KolaTembien","KolaTembien"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","30","0.68","0","69","0.51","0","0"
"1984-1977","50","7","0.19","45","49","0.08","95.51","0"
"1985-1978","0","19","0.35","0","75","1","0","0"
"1986-1979","0","34","0.76","0","75","1","0","0"
"1987-1980","0","61","0.95","62","45","0.03","62.32","0"
"1988-1981","0","37","0.84","0","75","1","0","0"
"1989-1982","0","24","0.43","0","64","0.41","0","0"
"1990-1983","0","18","0.32","39","50","0.11","39.13","0"
"1991-1984","0","26","0.57","0","60","0.3","0","0"
"1992-1985","100","0","0.05","19","55","0.16","118.76","0"
"1993-1986","0","35","0.78","0","75","1","0","0"
"1994-1987","0","54","0.89","0","75","1","0","0"
"1995-1988","100","0","0.05","0","75","1","100","0"
"1996-1989","0","68","1","0","64","0.38","0","0"
"1997-1990","0","28","0.62","0","75","1","0","0"
"1998-1991","0","32","0.7","0","75","1","0","0"
"1999-1992","0","26","0.59","0","75","1","0","0"
"2000-1993","0","26","0.54","0","71","0.54","0","0"
"2001-1994","94","5","0.16","0","66","0.49","93.66","0"
"2002-1995","100","2","0.11","2","59","0.27","101.69","0"
"2003-1996","0","10","0.3","7","57","0.22","6.77","0"
"2004-1997","0","21","0.38","33","51","0.14","33.48","1"
"2005-1998","0","25","0.49","0","75","1","0","0"
"2006-1999","0","23","0.41","60","45","0.05","59.64","0"
"2007-2000","100","4","0.14","0","75","1","100","1"
"2008-2001","100","2","0.08","0","75","1","100","0"
"2009-2002","11","9","0.24","0","66","0.46","10.6","0"
"2010-2003","0","56","0.92","2","58","0.24","2.28","0"
"2011-2004","0","34","0.73","0","74","0.59","0","1"
"2012-2005","0","25","0.51","0","75","1","0","0"
"2013-2006","25","8","0.22","0","63","0.35","25.01","0"
"2014-2007","0","25","0.49","0","64","0.43","0","0"
"2015-2008","0","10","0.27","0","74","0.57","0","1"
"2016-2009","0","45","0.86","0","75","1","0","1"
"2017-2010","0","29","0.65","13","56","0.19","13.48","0"
"2018-2011","0","35","0.81","0","62","0.32","0","0"
"2019-2012","0","66","0.97","0","75","1","0","0"
