"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.24","0.27","0.05","0.24","0.24","0.49",,"0.5"
"Abara","0.22","0.14","0.14","0.24","0.22","1",,"0.19"
"Abarwuha","0.43","0.24","0.16","0.24","0.43","0.51",,"0.38"
"Abaselima","0.24","0.14","0.08","0.22","0.24","0.89",,"0.19"
"Abina","0.3","0.49","0.08","0.16","0.3","0.57",,"0.5"
"AbrahaAtsbaha","0.22","0.41","0.27","0.57","0.22","0.16",,"0.19"
"Abrekuy","0.41","0.14","0.08","0.14","0.41","0.81",,"0.19"
"AdekeAla","0.11","0.46","0.14","0.24","0.11","0.32",,"0.03"
"Adekiney","0.24","0.27","0.16","0.3","0.24","0.59",,"0.03"
"AderSeg","0.24","0.32","0.05","0.22","0.24","0.54",,"0.5"
"Adibearj","0.05","0.08","0.08","0.22","0.05","0.51",,"0.16"
"AdiHa","0.32","0.35","0.35","0.49","0.32","0.68",,"0.03"
"AdiKisandid","0.19","0.43","0.38","0.68","0.19","0.73",,"0.19"
"Adisalem","0.3","0.14","0.05","0.05","0.3","0.95",,"0.38"
"AdisAlemS","0.11","0.46","0.11","0.19","0.11","0.49",,"0.03"
"AdisAlemW","0.16","0.22","0.16","0.3","0.16","0.43",,"0.03"
"Adiselam","0.08","0.11","0.24","0.54","0.08","0.49",,"0.06"
"Adishimbirkti","0.43","0.38","0.14","0.14","0.43","0.24",,"0.19"
"AdisKigni","0.49","0.68","0.14","0.57","0.49","0.89",,"0.28"
"Adiyikoro","0.19","0.22","0.08","0.03","0.19","0.62",,"0.03"
"Adizata","0.19","0.19","0.11","0.11","0.19","0.65",,"0.03"
"Adreb","0.03","0.05","0.14","0.3","0.03","0.59",,"0.06"
"AgazenMeda","0.49","0.24","0.3","0.49","0.49","0.62",,"0.38"
"Agazi","0.3","0.35","0.54","0.68","0.3","0.51",,"0.06"
"Agbe","0.19","0.08","0.19","0.16","0.19","0.35",,"0.03"
"Agela","0.51","0.16","0.03","0.38","0.51","0.14",,"0.03"
"Agid","0.35","0.16","0.03","0.46","0.35","0.35",,"0.06"
"AlemeTesfa","0.46","0.16","0.11","0.32","0.46","0.52",,"0.38"
"AmdiWeyane","0.11","0.3","0.11","0.14","0.11","0.59",,"0.03"
"Amedwuha","0.38","0.16","0.16","0.19","0.38","0.51",,"0.16"
"Ameno","0.68","0.16","0.03","0.24","0.68","0.3",,"0.03"
"Amisetya","0.35","0.49","0.08","0.14","0.35","0.81",,"0.81"
"Angot","0.43","0.3","0.32","0.43","0.43","0.35",,"0.38"
"Anigot","0.51","0.16","0.03","0.41","0.51","0.11",,"0.03"
"Ansheb","0.43","0.16","0.14","0.24","0.43","0.92",,"0.25"
"AquaShumoch","0.22","0.19","0.19","0.54","0.22","0.43",,"0.78"
"Aquha","0.46","0.51","0.16","0.27","0.46","0.84",,"0.81"
"Arena","0.41","0.59","0.3","0.32","0.41","0.24",,"0.03"
"Asmena","0.27","0.49","0.46","0.51","0.27","0.7",,"0.06"
"Asta","0.62","0.16","0.03","0.11","0.62","0.22",,"0.03"
"Atakilti","0.14","0.24","0.24","0.46","0.14","0.46",,"0.03"
"AwetBikalsi","0.32","0.43","0.32","0.49","0.32","0.7",,"0.03"
"AwusaMeda","0.46","0.14","0.3","0.7","0.46","0.38",,"0.38"
"Ayba","0.46","0.27","0.24","0.43","0.46","0.03",,"0.16"
"Aynalem","0.22","0.41","0.57","0.7","0.22","0.54",,"0.19"
"Bala","0.49","0.7","0.19","0.54","0.49","0.84",,"0.28"
"Balarab","0.35","0.49","0.08","0.16","0.35","0.81",,"0.81"
"Bamba","0.22","0.27","0.11","0.14","0.22","0.19",,"0.03"
"BarkaAdiswha","0.22","0.51","0.65","0.7","0.22","0.76",,"0.19"
"Begasheka","0.14","0.24","0.16","0.27","0.14","0.32",,"0.03"
"Berlay","0.24","0.14","0.35","0.7","0.24","0.65",,"0.38"
"Betgebez","0.16","0.19","0.14","0.35","0.16","0.86",,"0.25"
"Bethans","0.05","0.11","0.08","0.14","0.05","0.68",,"0.19"
"BilbWuha","0.05","0.24","0.03","0.19","0.05","0.41",,"0.31"
"Birkutea","0.57","0.16","0.03","0.11","0.57","0.19",,"0.03"
"Boneya","0.24","0.14","0.14","0.22","0.24","1",,"0.19"
"Burkoche","0.38","0.51","0.16","0.27","0.38","0.84",,"0.81"
"Cheli","0.24","0.3","0.08","0.14","0.24","0.3",,"0.03"
"Darubekeda","0.38","0.27","0.11","0.16","0.38","0.86",,"0.19"
"Deberkerbye","0.03","0.05","0.16","0.51","0.03","0.3",,"0.06"
"DeberAbaJale","0.65","0.16","0.08","0.32","0.65","0.32",,"0.78"
"DebrAbay","0.19","0.14","0.05","0.08","0.19","0.81",,"0.38"
"DebreAliays","0.22","0.14","0.14","0.14","0.22","0.59",,"0.38"
"Debrebirhan","0.22","0.32","0.35","0.57","0.22","0.3",,"0.06"
"Debrebrhan","0.16","0.38","0.24","0.38","0.16","0.35",,"0.16"
"DebreGenet","0.24","0.08","0.3","0.51","0.24","0.76",,"0.38"
"DebreGenetA","0.11","0.16","0.08","0.05","0.11","0.76",,"0.19"
"DebreGenetK","0.11","0.24","0.27","0.54","0.11","0.43",,"0.03"
"DebreGeorgis","0.46","0.16","0.14","0.22","0.46","0.35",,"0.38"
"DebreKidusan","0.11","0.11","0.14","0.16","0.11","0.57",,"0.38"
"Debremawie","0.24","0.14","0.16","0.3","0.24","0.84",,"0.38"
"Debreselam","0.19","0.19","0.32","0.46","0.19","0.19",,"0.06"
"Debrinetseb","0.05","0.19","0.19","0.41","0.05","0.41",,"0.03"
"Dekera","0.32","0.24","0.08","0.05","0.32","0.81",,"0.16"
"DembezaAmbaLay","0.24","0.14","0.27","0.54","0.24","0.73",,"0.38"
"Derit","0.46","0.24","0.22","0.49","0.46","0.49",,"0.38"
"Derita","0.62","0.16","0.03","0.27","0.62","0.32",,"0.03"
"Dinkashena","0.35","0.27","0.11","0.19","0.35","0.84",,"0.28"
"Ebo","0.51","0.41","0.49","0.59","0.51","0.38",,"0.16"
"Edagaarbi","0.24","0.24","0.14","0.27","0.24","0.46",,"0.03"
"EmbaAhfrom","0.27","0.24","0.16","0.32","0.27","0.76",,"0.03"
"EmbachekoGunaguna","0.22","0.24","0.05","0.19","0.22","0.32",,"0.78"
"EndaBagerima","0.08","0.19","0.05","0.08","0.08","0.65",,"0.19"
"Endabano","0.35","0.27","0.27","0.43","0.35","0.59",,"0.16"
"Endachiwa","0.11","0.11","0.16","0.19","0.11","0.35",,"0.03"
"EndaFelasi","0.3","0.3","0.11","0.3","0.3","0.57",,"0.16"
"Endagahamus","0.35","0.19","0.19","0.11","0.35","0.7",,"0.03"
"Endamariam","0.19","0.19","0.11","0.16","0.19","0.73",,"0.25"
"Erba","0.46","0.65","0.22","0.54","0.46","0.92",,"0.22"
"Esiret","0.24","0.22","0.08","0.14","0.24","0.19",,"0.03"
"Estifanos","0.57","0.16","0.03","0.35","0.57","0.16",,"0.03"
"Fala","0.49","0.41","0.14","0.14","0.49","0.59",,"0.28"
"Felegehiwot","0.24","0.11","0.27","0.49","0.24","0.78",,"0.38"
"FelegeWayane","0.19","0.46","0.65","0.59","0.19","0.59",,"0.19"
"FikreAlem","0.08","0.16","0.16","0.41","0.08","0.59",,"0.09"
"Filatako","0.46","0.24","0.24","0.46","0.46","0.41",,"0.38"
"Gebsit","0.43","0.14","0.14","0.19","0.43","0.86",,"0.19"
"Gedayasu","0.43","0.14","0.14","0.19","0.43","0.92",,"0.25"
"GelaMatebiya","0.43","0.35","0.03","0.05","0.43","0.49",,"0.78"
"Gendebta","0.08","0.19","0.14","0.27","0.08","0.68",,"0.03"
"Geneti","0.51","0.49","0.51","0.62","0.51","0.59",,"0.16"
"Genfel","0.19","0.43","0.54","0.59","0.19","0.41",,"0.19"
"Gera","0.11","0.3","0.08","0.05","0.11","0.27",,"0.03"
"Gerjale","0.51","0.59","0.19","0.49","0.51","0.76",,"0.19"
"GetskiMilesiley","0.22","0.24","0.27","0.59","0.22","0.3",,"0.03"
"Gijet","0.41","0.46","0.27","0.57","0.41","0.57",,"0.03"
"Ginaza","0.46","0.16","0.03","0.35","0.46","0.35",,"0.06"
"Golgolemalee","0.19","0.43","0.73","0.76","0.19","0.78",,"0.19"
"Goshedur","0.24","0.11","0.27","0.49","0.24","0.78",,"0.38"
"Goza","0.05","0.24","0.03","0.27","0.05","0.35",,"0.31"
"Grwre","0.08","0.08","0.11","0.08","0.08","0.51",,"0.03"
"GuemseAgamet","0.32","0.49","0.51","0.62","0.32","0.84",,"0.06"
"Guroro","0.05","0.22","0.14","0.22","0.05","0.32",,"0.03"
"Guya","0.08","0.22","0.14","0.41","0.08","0.3",,"0.03"
"Habees","0.22","0.41","0.65","0.73","0.22","0.65",,"0.19"
"Hadashtekli","0.11","0.05","0.08","0.11","0.11","0.38",,"0.03"
"HadeAlga","0.57","0.51","0.16","0.59","0.57","0.51",,"0.22"
"HadnetK","0.19","0.41","0.41","0.43","0.19","0.78",,"0.16"
"HadnetS","0.3","0.35","0.54","0.68","0.3","0.51",,"0.06"
"HadushAdi","0.27","0.38","0.49","0.62","0.27","0.46",,"0.06"
"HadushHiwet","0.27","0.49","0.46","0.46","0.27","0.76",,"0.06"
"HagereGenet","0.11","0.08","0.05","0.14","0.11","0.78",,"0.38"
"HagereSelamE","0.19","0.14","0.08","0.14","0.19","0.89",,"0.38"
"HagereSelamW","0.38","0.68","0.46","0.62","0.38","0.73",,"0.12"
"Hangoda","0.3","0.35","0.54","0.68","0.3","0.51",,"0.06"
"Hareko","0.27","0.68","0.11","0.27","0.27","0.68",,"0.03"
"Hawelti","0.51","0.65","0.11","0.59","0.51","0.43",,"0.16"
"Hayelom","0.22","0.38","0.46","0.57","0.22","0.54",,"0.06"
"Hintsa","0.11","0.3","0.08","0.14","0.11","0.54",,"0.03"
"HintsaWaza","0.11","0.3","0.14","0.14","0.11","0.54",,"0.03"
"HizbaTeklehymanot","0.46","0.3","0.11","0.3","0.46","0.22",,"0.16"
"ImbaRufael","0.11","0.19","0.08","0.05","0.11","0.38",,"0.03"
"Jijqe","0.08","0.14","0.05","0.03","0.08","0.22",,"0.03"
"JimanDeregeha","0.32","0.22","0.05","0.19","0.32","0.27",,"0.78"
"Jira","0.14","1","0.11","0.51","0.14","0.27",,"0.03"
"kabe","0.27","0.19","0.03","0.27","0.27","0.59",,"0.06"
"Karima","0.38","0.08","0.14","0.19","0.38","0.73",,"0.25"
"Keregna","0.35","0.16","0.03","0.46","0.35","0.46",,"0.06"
"Kihen","0.35","0.35","0.43","0.51","0.35","0.76",,"0.16"
"Kita","0.27","0.51","0.11","0.16","0.27","0.73",,"0.75"
"Korme","0.51","0.57","0.19","0.49","0.51","0.86",,"0.19"
"Ksadacki","0.08","0.11","0.14","0.41","0.08","0.49",,"0.06"
"Kudo","0.27","0.27","0.14","0.32","0.27","0.59",,"0.03"
"Kuluferha","0.03","0.08","0.19","0.49","0.03","0.46",,"0.31"
"KuluGizeLemlem","0.49","0.68","0.16","0.49","0.49","0.86",,"0.28"
"LaelayDayu","0.51","0.68","0.16","0.49","0.51","0.89",,"0.28"
"Laelayhahaile","0.27","0.27","0.14","0.14","0.27","0.65",,"0.03"
"LaelayMegariaTsemri","0.16","0.11","0.11","0.19","0.16","0.68",,"0.25"
"Lalaylogomti","0.11","0.14","0.05","0.03","0.11","0.3",,"0.03"
"Ledy","0.41","0.14","0.11","0.19","0.41","0.84",,"0.19"
"Lemlem","0.24","0.16","0.03","0.03","0.24","0.7",,"0.16"
"LemlemArena","0.24","0.51","0.14","0.16","0.24","0.81",,"0.03"
"Libo ","0.68","0.16","0.03","0.11","0.68","0.35",,"0.03"
"Limaat","0.49","0.65","0.14","0.57","0.49","0.92",,"0.28"
"Limat","0.11","0.3","0.05","0.11","0.11","0.32",,"0.03"
"Lul","0.14","0.16","0.08","0.19","0.14","0.89",,"0.25"
"LusinaAbegeldi","0.16","0.27","0.03","0.05","0.16","0.49",,"0.78"
"Maekelawi","0.35","0.19","0.19","0.11","0.35","0.7",,"0.03"
"MaekelSegli","0.24","0.24","0.19","0.3","0.24","0.76",,"0.16"
"MahbereWeyni","0.19","0.41","0.22","0.38","0.19","0.7",,"0.16"
"MariamShewito","0.08","0.19","0.14","0.27","0.08","0.68",,"0.19"
"Martadios","0.68","0.16","0.03","0.19","0.68","0.46",,"0.03"
"MayChekemte","0.38","0.22","0.27","0.41","0.38","0.41",,"0.03"
"MayNebri","0.24","0.24","0.24","0.35","0.24","0.51",,"0.03"
"Maysuru","0.19","0.19","0.11","0.3","0.19","0.7",,"0.25"
"MayTeklia","0.11","0.32","0.19","0.46","0.11","0.65",,"0.03"
"Mearey","0.24","0.35","0.03","0.03","0.24","0.65",,"0.03"
"Mechare","0.54","0.46","0.11","0.62","0.54","0.76",,"0.16"
"Mechena","0.65","0.16","0.05","0.22","0.65","0.38",,"0.78"
"MehalGoncha","0.49","0.3","0.27","0.41","0.49","0.59",,"0.38"
"Mekan ","0.49","0.35","0.35","0.43","0.49","0.05",,"0.19"
"MekaneGenet","0.3","0.08","0.3","0.62","0.3","0.41",,"0.25"
"Melabesh","0.3","0.14","0.03","0.03","0.3","0.92",,"0.38"
"MendereMariam","0.03","0.24","0.03","0.38","0.03","0.22",,"0.28"
"Menegobena","0.38","0.08","0.08","0.11","0.38","0.86",,"0.19"
"Menji","0.14","0.22","0.24","0.46","0.14","0.46",,"0.03"
"Mergech","0.35","0.08","0.08","0.14","0.35","0.95",,"0.19"
"Mesanu","0.24","0.51","0.51","0.49","0.24","0.68",,"0.16"
"Mesehle","0.05","0.08","0.3","0.68","0.05","0.65",,"0.31"
"Meswaeti ","0.49","0.41","0.11","0.38","0.49","0.16",,"0.19"
"Metkel","0.22","0.59","0.14","0.22","0.22","0.76",,"0.12"
"MetkelLemat","0.22","0.38","0.08","0.14","0.22","0.81",,"0.16"
"Mezbr","0.05","0.14","0.05","0.08","0.05","0.92",,"0.25"
"MichelDebre","0.03","0.24","0.03","0.08","0.03","0.14",,"0.28"
"Miraf","0.43","0.14","0.14","0.19","0.43","0.97",,"0.19"
"Misema","0.24","0.11","0.08","0.05","0.24","0.81",,"0.12"
"Mitad","0.43","0.16","0.03","0.24","0.43","0.08",,"0.06"
"MitinaYimach","0.46","0.14","0.27","0.57","0.46","0.57",,"0.25"
"Mozen","0.38","0.08","0.11","0.14","0.38","0.84",,"0.19"
"Mozutey","0.19","0.43","0.43","0.73","0.19","0.73",,"0.03"
"Mtsaiwerki","0.08","0.19","0.16","0.38","0.08","0.16",,"0.03"
"Nagash","0.22","0.46","0.7","0.7","0.22","0.81",,"0.19"
"Nebarhadinet","0.24","0.43","0.03","0.03","0.24","0.68",,"0.16"
"Nefasit","0.03","0.08","0.35","0.59","0.03","0.49",,"0.31"
"Negedebrhan","0.08","0.05","0.11","0.08","0.08","0.46",,"0.03"
"Niquara","0.22","0.14","0.11","0.14","0.22","0.7",,"0.75"
"Qoraro","0.51","0.14","0.41","0.54","0.51","0.49",,"0.06"
