"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Ayba","Ayba","Ayba","Ayba","Ayba","Ayba","Ayba","Ayba"
"Region","Emba-Alaje","Emba-Alaje","Emba-Alaje","Emba-Alaje","Emba-Alaje","Emba-Alaje","Emba-Alaje","Emba-Alaje"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","100","5","0.68","0","37","0.32","100","0"
"1984-1977","100","0","0.51","100","0","0.03","200","0"
"1985-1978","100","0","0.46","0","46","0.51","100","0"
"1986-1979","0","19","0.92","0","54","0.84","0","0"
"1987-1980","100","1","0.54","91","8","0.05","191.2","0"
"1988-1981","100","0","0.46","0","53","0.78","100","0"
"1989-1982","100","0","0.49","0","36","0.3","100","0"
"1990-1983","100","0","0.46","0","51","0.7","100","0"
"1991-1984","0","15","0.89","0","52","0.73","0","1"
"1992-1985","100","0","0.46","0","50","0.65","100","0"
"1993-1986","0","5","0.7","0","44","0.49","0","0"
"1994-1987","100","0","0.46","0","46","0.54","100","1"
"1995-1988","100","3","0.59","23","27","0.16","123.07","0"
"1996-1989","0","37","1","0","38","0.35","0","0"
"1997-1990","0","20","0.95","0","75","1","0","0"
"1998-1991","100","0","0.46","0","75","1","100","0"
"1999-1992","100","0","0.46","0","52","0.76","100","1"
"2000-1993","100","0","0.46","0","48","0.57","100","0"
"2001-1994","0","8","0.81","0","38","0.43","0","1"
"2002-1995","0","7","0.78","14","30","0.22","14.25","0"
"2003-1996","0","9","0.84","0","38","0.38","0","0"
"2004-1997","100","5","0.65","15","30","0.19","114.79","0"
"2005-1998","100","0","0.46","0","40","0.46","100","0"
"2006-1999","100","0","0.46","0","50","0.65","100","0"
"2007-2000","0","5","0.73","0","75","1","0","0"
"2008-2001","100","2","0.57","0","53","0.81","100","0"
"2009-2002","100","0","0.46","0","38","0.41","100","0"
"2010-2003","100","0","0.46","0","50","0.65","100","0"
"2011-2004","100","0","0.46","0","63","0.92","100","0"
"2012-2005","0","5","0.76","0","57","0.86","0","0"
"2013-2006","100","0","0.46","0","51","0.68","100","0"
"2014-2007","100","0","0.46","31","25","0.11","131.03","0"
"2015-2008","100","0","0.46","36","24","0.08","135.95","0"
"2016-2009","0","12","0.86","0","63","0.89","0","0"
"2017-2010","100","0","0.46","0","34","0.27","100","0"
"2018-2011","0","21","0.97","1","34","0.24","1.4","0"
"2019-2012","100","4","0.62","24","27","0.14","124.27","0"
