"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.84","0.7","0.76","0.41","0.84","0.89","0.55","0.22"
"Abara","0.84","0.84","0.84","0.73","0.84","0.68","0.36","0.75"
"Abarwuha","0.76","0.78","1","0.19","0.76","0.27","0.64","0.41"
"Abaselima","0.81","0.84","0.78","0.51","0.81","0.62","0.36","0.75"
"Abina","0.51","0.7","0.68","0.59","0.51","0.78","0.64","0.22"
"AbrahaAtsbaha","0.95","0.97","0.92","0.73","0.95","0.62","0.45","0.34"
"Abrekuy","0.76","0.81","0.73","0.32","0.76","0.92","0.45","0.75"
"AdekeAla","0.76","0.76","0.57","0.41","0.76","0.68","0.73","0.31"
"Adekiney","0.86","0.92","0.86","0.27","0.86","0.92","0.55","0.47"
"AderSeg","0.84","0.7","0.73","0.43","0.84","1","0.55","0.22"
"Adibearj","0.81","0.78","0.59","0.22","0.81","0.62","0.18","0.38"
"AdiHa","0.73","0.7","0.57","0.51","0.73","0.7","0.55","0.25"
"AdiKisandid","0.78","0.97","0.92","0.84","0.78","0.57","0.55","0.34"
"Adisalem","0.86","0.84","0.84","0.73","0.86","0.24","0.36","0.44"
"AdisAlemS","0.76","0.76","0.54","0.49","0.76","0.89","0.73","0.31"
"AdisAlemW","0.89","0.95","0.7","0.54","0.89","0.11","0.27","0.31"
"Adiselam","0.7","0.51","0.41","0.08","0.7","0.54","0.18","0.38"
"Adishimbirkti","0.43","0.38","0.86","0.57","0.43","0.43","0.45","0.12"
"AdisKigni","0.92","0.68","0.32","0.57","0.92","0.11","0.64","0.34"
"Adiyikoro","0.73","0.86","0.7","0.38","0.73","0.54","0.09","0.31"
"Adizata","0.73","0.89","0.76","0.03","0.73","0.89","0.36","0.31"
"Adreb","0.73","0.76","0.46","0.08","0.73","0.11","0.09","0.38"
"AgazenMeda","0.73","0.78","1","0.24","0.73","0.76","0.64","0.41"
"Agazi","0.89","0.95","0.89","0.78","0.89","0.7","0.45","0.41"
"Agbe","0.68","0.76","0.46","0.49","0.68","0.65","0.55","0.25"
"Agela","1","1","1","0.27","1","0.97","0.55","0.38"
"Agid","1","1","1","0.3","1","0.38","0.45","0.28"
"AlemeTesfa","0.65","0.78","0.81","0.38","0.65",,"0.55","0.44"
"AmdiWeyane","0.76","0.59","0.51","0.49","0.76","0.84","0.73","0.31"
"Amedwuha","0.38","0.43","0.84","0.59","0.38","1","0.64","0.28"
"Ameno","0.81","1","1","0.38","0.81","0.97","0.64","0.38"
"Amisetya","0.16","0.35","0.46","0.59","0.16","0.41","0.45","0.22"
"Angot","0.76","0.76","1","0.32","0.76","0.7","0.64","0.41"
"Anigot","1","1","1","0.3","1","0.89","0.45","0.38"
"Ansheb","0.81","0.78","0.86","0.59","0.81","0.49","0.36","0.44"
"AquaShumoch","0.95","1","1","0.43","0.95","1","0.64","0.44"
"Aquha","0.14","0.65","0.43","0.62","0.14","0.14","0.45","0.22"
"Arena","1","1","0.65","0.14","1","0.35","0.45","0.31"
"Asmena","0.95","0.92","0.92","0.46","0.95","0.81","0.36","0.41"
"Asta","0.95","1","1","0.73","0.95","0.92","0.55","0.38"
"Atakilti","0.73","0.68","0.43","0.43","0.73","0.62","0.45","0.31"
"AwetBikalsi","0.73","0.84","0.57","0.43","0.73","0.76","0.45","0.25"
"AwusaMeda","0.65","0.81","0.81","0.35","0.65","0.78","0.64","0.44"
"Ayba","0.46","0.27","0.57","0.24","0.46","0.62","0.55","0.19"
"Aynalem","0.95","0.95","0.95","0.78","0.95","0.3","0.36","0.34"
"Bala","0.92","0.7","0.35","0.54","0.92","0.78","0.55","0.34"
"Balarab","0.16","0.35","0.59","0.59","0.16","0.41","0.64","0.22"
"Bamba","0.49","0.51","0.46","0.35","0.49","0.57","0.45","0.31"
"BarkaAdiswha","0.81","0.92","0.95","0.7","0.81","0.89","0.45","0.34"
"Begasheka","0.73","0.68","0.57","0.46","0.73","0.86","0.55","0.31"
"Berlay","0.84","0.81","0.81","0.32","0.84","0.84","0.64","0.44"
"Betgebez","0.78","0.95","0.73","0.03","0.78","0.84","0.45","0.41"
"Bethans","0.76","0.84","0.41","0.03","0.76","0.19","0.09","0.34"
"BilbWuha","0.81","0.62","1","0.32","0.81","0.78","0.55","0.28"
"Birkutea","1","1","1","0.35","1","0.89","0.64","0.38"
"Boneya","0.81","0.84","0.81","0.68","0.81","0.46","0.36","0.75"
"Burkoche","0.22","0.27","0.43","0.62","0.22","0.16","0.45","0.22"
"Cheli","0.49","0.62","0.46","0.51","0.49","0.7","0.64","0.31"
"Darubekeda","0.38","0.43","0.89","0.59","0.38","0.32","0.45","0.12"
"Deberkerbye","0.51","0.49","0.51","0.32","0.51","0.49","0.18","0.31"
"DeberAbaJale","0.92","1","1","0.43","0.92","0.97","0.64","0.44"
"DebrAbay","0.76","0.81","1","0.51","0.76","0.86","0.55","0.44"
"DebreAliays","0.84","0.84","1","0.49","0.84","0.86","0.45","0.44"
"Debrebirhan","0.84","0.95","0.92","0.84","0.84","0.76","0.45","0.28"
"Debrebrhan","0.68","0.86","0.92","0.78","0.68","0.78","0.45","0.31"
"DebreGenet","0.68","0.65","0.81","0.41","0.68","0.73","0.64","0.44"
"DebreGenetA","0.73","0.86","0.57","0.03","0.73","0.16","0.09","0.34"
"DebreGenetK","0.86","0.65","0.46","0.41","0.86","0.62","0.55","0.31"
"DebreGeorgis","0.65","0.78","0.84","0.51","0.65","0.95","0.55","0.44"
"DebreKidusan","0.65","0.73","1","0.38","0.65","0.92","0.55","0.44"
"Debremawie","0.84","0.81","1","0.51","0.84","0.86","0.64","0.44"
"Debreselam","1","0.97","0.86","0.7","1","0.78","0.45","0.28"
"Debrinetseb","0.68","0.57","0.46","0.16","0.68","0.84","0.36","0.31"
"Dekera","0.57","0.73","0.54","0.65","0.57","0.92","0.73","0.22"
"DembezaAmbaLay","0.84","0.81","1","0.51","0.84","0.86","0.64","0.44"
"Derit","0.89","1","1","0.22","0.89","0.7","0.64","0.41"
