"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET","AVE"
"AbaBikila",1,0,0.111111111111111,0.111111111111111,1,0.222222222222222,0,0.444444444444444,0.26984126984127
"Abara",1,0,0.333333333333333,0.111111111111111,1,0.444444444444444,0.111111111111111,0.444444444444444,0.349206349206349
"Abarwuha",1,0,0,0.333333333333333,1,0.111111111111111,0,0.222222222222222,0.238095238095238
"Abaselima",1,0,0.333333333333333,0.222222222222222,1,0.666666666666667,0,0.444444444444444,0.380952380952381
"Abina",1,0,0.222222222222222,0.333333333333333,1,0.555555555555556,0,0.555555555555556,0.380952380952381
"AbrahaAtsbaha",1,0,0.444444444444444,0.333333333333333,1,0.555555555555556,0,0.555555555555556,0.412698412698413
"Abrekuy",1,0,0,0.111111111111111,1,0.333333333333333,0.111111111111111,0.444444444444444,0.285714285714286
"AdekeAla",1,0,0.111111111111111,0.444444444444444,1,0.555555555555556,0,0.555555555555556,0.380952380952381
"Adekiney",1,0,0.666666666666667,0.444444444444444,1,0.444444444444444,0,0.444444444444444,0.428571428571429
"AderSeg",1,0,0.111111111111111,0.111111111111111,1,0.333333333333333,0,0.444444444444444,0.285714285714286
"Adibearj",1,0,0,0.166666666666667,1,0.166666666666667,0,0.5,0.261904761904762
"AdiHa",1,0,0.111111111111111,0.111111111111111,1,0.111111111111111,0,0.333333333333333,0.238095238095238
"AdiKisandid",1,0,0.444444444444444,0.444444444444444,1,0.444444444444444,0,0.555555555555556,0.412698412698413
"Adisalem",1,0,0.666666666666667,0.555555555555556,1,0.444444444444444,0.111111111111111,0.222222222222222,0.428571428571429
"AdisAlemS",1,0,0,0.444444444444444,1,0.444444444444444,0.111111111111111,0.555555555555556,0.365079365079365
"AdisAlemW",1,0,0.444444444444444,0.333333333333333,1,0.333333333333333,0.111111111111111,0.555555555555556,0.396825396825397
"Adiselam",1,0,0,0,1,0,0,1,0.285714285714286
"Adishimbirkti",1,0,0.555555555555556,0.444444444444444,1,0.333333333333333,0.111111111111111,0.222222222222222,0.380952380952381
"AdisKigni",1,0.333333333333333,0.666666666666667,0.666666666666667,1,0.444444444444444,0,0.333333333333333,0.492063492063492
"Adiyikoro",1,0,0.222222222222222,0.111111111111111,1,0.222222222222222,0,0.666666666666667,0.317460317460317
"Adizata",1,0,0.111111111111111,0.222222222222222,1,0.222222222222222,0,0.666666666666667,0.317460317460317
"Adreb",1,0,0,0.333333333333333,1,0.666666666666667,0,0.333333333333333,0.333333333333333
"AgazenMeda",1,0,0,0.444444444444444,1,0.333333333333333,0,0.222222222222222,0.285714285714286
"Agazi",1,0,0.555555555555556,0.444444444444444,1,0.222222222222222,0,0.444444444444444,0.380952380952381
"Agbe",1,0,0,0,1,0.555555555555556,0,0.333333333333333,0.26984126984127
"Agela",1,0,0,0,1,0.4,0,0.4,0.257142857142857
"Agid",1,0,0,0,1,0,0,1,0.285714285714286
"AlemeTesfa",1,0,0.444444444444444,0.666666666666667,1,0.222222222222222,0,0.222222222222222,0.365079365079365
"AmdiWeyane",1,0,0,0.444444444444444,1,0.444444444444444,0,0.555555555555556,0.349206349206349
"Amedwuha",1,0,0.444444444444444,0.555555555555556,1,0.333333333333333,0.222222222222222,0.444444444444444,0.428571428571429
"Ameno",1,0,0,0,1,0.222222222222222,0,0.444444444444444,0.238095238095238
"Amisetya",1,0,0.444444444444444,0.444444444444444,1,0.555555555555556,0,0.444444444444444,0.412698412698413
"Angot",1,0,0,0.222222222222222,1,0.111111111111111,0,0.222222222222222,0.222222222222222
"Anigot",1,0,0,0,1,0.4,0,0.4,0.257142857142857
"Ansheb",1,0,0.333333333333333,0.444444444444444,1,0.555555555555556,0.111111111111111,0.333333333333333,0.396825396825397
"AquaShumoch",1,0,0,0,1,0.222222222222222,0.111111111111111,0.222222222222222,0.222222222222222
"Aquha",1,0,0.444444444444444,0.666666666666667,1,0.444444444444444,0,0.333333333333333,0.412698412698413
"Arena",1,0.111111111111111,0.666666666666667,0.444444444444444,1,0.666666666666667,0,0.666666666666667,0.507936507936508
