"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.51",,"0.62"
"Abara","1","1","1","1","1","0.49",,"0.78"
"Abarwuha","1","1","1","1","1","0.86",,"0.91"
"Abaselima","1","1","1","1","1","0.38",,"0.78"
"Abina","1","1","1","1","1","0.24",,"0.62"
"AbrahaAtsbaha","0.3","1","1","1","0.3","0.35",,"0.62"
"Abrekuy","1","1","1","1","1","0.49",,"0.78"
"AdekeAla","1","1","1","1","1","0.57",,"0.72"
"Adekiney","0.27","1","1","0.05","0.27","0.41",,"0.75"
"AderSeg","1","1","1","1","1","0.35",,"0.62"
"Adibearj","0.16","1","1","0.03","0.16","0.46",,"0.84"
"AdiHa","1","1","1","1","1","0.57",,"0.72"
"AdiKisandid","0.38","1","1","0.3","0.38","0.3",,"0.62"
"Adisalem","1","1","1","1","1","0.51",,"0.94"
"AdisAlemS","1","1","1","1","1","0.35",,"0.72"
"AdisAlemW","0.41","1","1","0.03","0.41","0.3",,"0.72"
"Adiselam","1","1","1","1","1","0.16",,"0.94"
"Adishimbirkti","0.81","1","1","1","0.81","0.38",,"0.91"
"AdisKigni","0.68","1","1","1","0.68","0.19",,"0.88"
"Adiyikoro","0.35","1","1","1","0.35","0.54",,"0.72"
"Adizata","0.35","1","1","0.03","0.35","0.65",,"0.72"
"Adreb","1","1","1","1","1","0.11",,"0.94"
"AgazenMeda","1","1","1","0.41","1","0.89",,"0.91"
"Agazi","0.7","1","1","0.19","0.7","0.19",,"0.5"
"Agbe","1","1","1","1","1","0.43",,"0.72"
"Agela","1","1","1","1","1","0.49",,"0.34"
"Agid","1","1","1","1","1","0.46",,"0.28"
"AlemeTesfa","1","1","1","0.54","1","0.12",,"0.94"
"AmdiWeyane","1","1","1","1","1","0.3",,"0.72"
"Amedwuha","0.32","1","1","1","0.32","0.14",,"0.66"
"Ameno","1","1","1","1","1","0.43",,"0.34"
"Amisetya","1","1","1","1","1","0.16",,"0.66"
"Angot","1","1","1","1","1","0.81",,"0.91"
"Anigot","1","1","1","1","1","0.51",,"0.34"
"Ansheb","1","1","1","1","1","0.35",,"0.91"
"AquaShumoch","1","1","1","1","1","0.57",,"0.62"
"Aquha","1","1","1","1","1","0.14",,"0.66"
"Arena","1","1","1","1","1","0.3",,"0.59"
