"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.22","0.27","0.08","0.16","0.22","0.27",,"0.84"
"Abara","0.65","0.46","0.19","0.35","0.65","0.57",,"0.53"
"Abarwuha","0.81","0.24","0.08","0.57","0.81","0.14",,"0.47"
"Abaselima","0.7","0.46","0.27","0.27","0.7","0.32",,"0.53"
"Abina","0.49","0.49","0.11","0.24","0.49","0.51",,"0.84"
"AbrahaAtsbaha","0.32","0.41","0.62","0.27","0.32","0.46",,"0.66"
"Abrekuy","0.54","0.46","0.22","0.38","0.54","0.43",,"0.53"
"AdekeAla","0.57","0.46","0.32","0.11","0.57","0.3",,"0.72"
"Adekiney","0.35","0.27","0.43","0.27","0.35","0.05",,"0.69"
"AderSeg","0.22","0.32","0.08","0.16","0.22","0.46",,"0.84"
"Adibearj","0.57","0.19","0.22","0.05","0.57","0.3",,"0.34"
"AdiHa","0.59","0.35","0.49","0.22","0.59","0.51",,"0.62"
"AdiKisandid","0.32","0.43","0.59","0.11","0.32","0.03",,"0.66"
"Adisalem","0.76","0.46","0.24","0.38","0.76","0.68",,"0.22"
"AdisAlemS","0.57","0.46","0.32","0.16","0.57","0.14",,"0.72"
"AdisAlemW","0.16","0.22","0.35","0.22","0.16","0.35",,"0.41"
"Adiselam","0.24","0.35","0.14","0.03","0.24","0.32",,"0.75"
"Adishimbirkti","0.59","0.38","0.7","0.43","0.59","0.54",,"0.38"
"AdisKigni","0.57","0.68","0.84","0.59","0.57","0.62",,"0.47"
"Adiyikoro","0.27","0.54","0.54","0.3","0.27","0.43",,"0.41"
"Adizata","0.27","0.65","0.62","0.22","0.27","0.41",,"0.41"
"Adreb","0.3","0.22","0.24","0.11","0.3","0.54",,"0.75"
"AgazenMeda","0.7","0.24","0.19","0.68","0.7","0.35",,"0.47"
"Agazi","0.3","0.35","0.7","0.35","0.3","0.22",,"0.84"
"Agbe","0.43","0.38","0.41","0.3","0.43","0.22",,"0.62"
"Agela","0.19","0.16","0.08","0.38","0.19","0.46",,"1"
"Agid","0.05","0.16","0.16","0.46","0.05","0.3",,"0.97"
"AlemeTesfa","0.7","0.51","0.22","0.24","0.7","0.68",,"0.22"
"AmdiWeyane","0.57","0.41","0.32","0.19","0.57","0.32",,"0.72"
"Amedwuha","0.49","0.7","0.57","0.32","0.49","0.3",,"0.69"
"Ameno","0.32","0.16","0.05","0.14","0.32","0.16",,"1"
"Amisetya","0.7","0.49","0.27","0.3","0.7","0.7",,"0.91"
"Angot","0.81","0.3","0.14","0.59","0.81","0.24",,"0.47"
"Anigot","0.19","0.16","0.05","0.43","0.19","0.41",,"1"
"Ansheb","0.65","0.51","0.16","0.35","0.65","0.59",,"0.28"
"AquaShumoch","0.59","0.59","0.03","0.08","0.59","0.03",,"0.97"
"Aquha","0.73","0.51","0.35","0.14","0.73","0.76",,"0.91"
"Arena","0.14","0.08","0.38","0.19","0.14","0.54",,"0.84"
"Asmena","0.38","0.49","0.89","0.32","0.38","0.16",,"0.84"
"Asta","0.3","0.16","0.08","0.41","0.3","0.16",,"1"
"Atakilti","0.41","0.24","0.3","0.14","0.41","0.43",,"0.84"
"AwetBikalsi","0.59","0.27","0.43","0.24","0.59","0.59",,"0.62"
"AwusaMeda","0.7","0.46","0.14","0.41","0.7","0.68",,"0.22"
"Ayba","0.46","0.27","0.78","0.22","0.46","0.16",,"0.44"
"Aynalem","0.32","0.41","0.35","0.14","0.32","0.08",,"0.66"
"Bala","0.57","0.7","0.81","0.57","0.57","0.24",,"0.47"
"Balarab","0.7","0.49","0.27","0.3","0.7","0.76",,"0.91"
"Bamba","0.57","0.27","0.32","0.3","0.57","0.46",,"0.72"
"BarkaAdiswha","0.35","0.51","0.68","0.24","0.35","0.03",,"0.66"
"Begasheka","0.38","0.68","0.24","0.08","0.38","0.22",,"0.84"
"Berlay","0.78","0.46","0.19","0.41","0.78","0.68",,"0.22"
"Betgebez","0.24","0.19","0.51","0.14","0.24","0.03",,"0.66"
"Bethans","0.11","0.11","0.32","0.08","0.11","0.3",,"0.28"
"BilbWuha","0.24","0.24","0.05","0.46","0.24","0.38",,"0.88"
"Birkutea","0.11","0.16","0.05","0.19","0.11","0.35",,"1"
"Boneya","0.7","0.46","0.16","0.35","0.7","0.51",,"0.53"
"Burkoche","0.65","0.51","0.35","0.14","0.65","0.76",,"0.91"
"Cheli","0.43","0.43","0.3","0.24","0.43","0.57",,"0.72"
"Darubekeda","0.78","0.81","0.65","0.24","0.78","0.38",,"0.38"
"Deberkerbye","0.22","0.19","0.14","0.16","0.22","0.24",,"0.56"
"DeberAbaJale","0.16","0.16","0.03","0.14","0.16","0.03",,"0.97"
"DebrAbay","0.81","0.46","0.24","0.35","0.81","0.7",,"0.22"
"DebreAliays","0.76","0.46","0.14","0.27","0.76","0.65",,"0.22"
"Debrebirhan","0.32","0.32","0.54","0.16","0.32","0.24",,"0.5"
"Debrebrhan","0.32","0.38","0.54","0.14","0.32","0.49",,"0.81"
"DebreGenet","0.7","0.38","0.14","0.27","0.7","0.65",,"0.22"
"DebreGenetA","0.35","0.16","0.46","0.24","0.35","0.43",,"0.28"
"DebreGenetK","0.43","0.24","0.35","0.22","0.43","0.16",,"0.84"
"DebreGeorgis","0.7","0.51","0.22","0.32","0.7","0.54",,"0.22"
"DebreKidusan","0.78","0.38","0.14","0.32","0.78","0.38",,"0.22"
"Debremawie","0.78","0.46","0.11","0.16","0.78","0.65",,"0.22"
"Debreselam","0.19","0.19","0.43","0.11","0.19","0.43",,"0.5"
"Debrinetseb","0.35","0.19","0.22","0.03","0.35","0.24",,"0.84"
"Dekera","0.41","0.46","0.3","0.19","0.41","0.43",,"0.88"
"DembezaAmbaLay","0.78","0.46","0.08","0.16","0.78","0.76",,"0.22"
"Derit","0.78","0.24","0.16","0.68","0.78","0.27",,"0.47"
"Derita","0.3","0.16","0.22","0.38","0.3","0.24",,"1"
"Dinkashena","0.76","0.78","0.49","0.24","0.76","0.7",,"0.53"
"Ebo","0.51","0.92","0.76","0.43","0.51","0.16",,"0.44"
"Edagaarbi","0.32","0.62","0.49","0.11","0.32","0.14",,"0.62"
"EmbaAhfrom","0.27","0.54","0.54","0.14","0.27","0.41",,"0.41"
"EmbachekoGunaguna","0.59","0.24","0.08","0.27","0.59","0.05",,"0.97"
"EndaBagerima","0.19","0.19","0.43","0.16","0.19","0.24",,"0.28"
"Endabano","0.49","0.27","0.41","0.19","0.49","0.57",,"0.47"
"Endachiwa","0.35","0.11","0.54","0.49","0.35","0.43",,"0.41"
"EndaFelasi","0.46","0.11","0.51","0.19","0.46","0.7",,"0.47"
"Endagahamus","0.38","0.19","0.43","0.35","0.38","0.78",,"0.41"
"Endamariam","0.27","0.51","0.57","0.22","0.27","0.3",,"0.66"
"Erba","0.46","0.65","0.76","0.54","0.46","0.35",,"0.59"
"Esiret","0.43","0.41","0.19","0.16","0.43","0.24",,"0.72"
"Estifanos","0.11","0.16","0.05","0.19","0.11","0.22",,"1"
"Fala","0.86","0.41","0.65","0.41","0.86","0.49",,"0.34"
"Felegehiwot","0.7","0.38","0.16","0.22","0.7","0.41",,"0.22"
"FelegeWayane","0.27","0.46","0.62","0.24","0.27","0.24",,"0.66"
"FikreAlem","0.3","0.76","0.68","0.05","0.3","0.38",,"0.84"
"Filatako","0.78","0.24","0.11","0.68","0.78","0.22",,"0.47"
"Gebsit","0.65","0.46","0.16","0.27","0.65","0.38",,"0.53"
"Gedayasu","0.65","0.46","0.19","0.35","0.65","0.57",,"0.28"
"GelaMatebiya","0.22","0.35","0.05","0.14","0.22","0.16",,"0.97"
"Gendebta","0.19","0.19","0.46","0.14","0.19","0.41",,"0.41"
"Geneti","0.51","0.49","0.92","0.38","0.51","0.41",,"0.44"
"Genfel","0.32","0.43","0.76","0.16","0.32","0.05",,"0.66"
"Gera","0.38","0.3","0.24","0.3","0.38","0.43",,"0.62"
"Gerjale","0.51","0.59","0.78","0.49","0.51","0.68",,"0.41"
"GetskiMilesiley","0.49","0.24","0.38","0.19","0.49","0.43",,"0.62"
"Gijet","0.68","0.08","0.49","0.24","0.68","0.49",,"0.62"
"Ginaza","0.14","0.16","0.16","1","0.14","0.54",,"0.97"
"Golgolemalee","0.27","0.43","0.54","0.3","0.27","0.11",,"0.66"
"Goshedur","0.7","0.38","0.14","0.16","0.7","0.43",,"0.22"
"Goza","0.24","0.24","0.05","0.38","0.24","0.24",,"0.88"
"Grwre","0.16","0.24","0.16","0.19","0.16","0.76",,"0.62"
"GuemseAgamet","0.32","0.78","0.84","0.35","0.32","0.03",,"0.84"
"Guroro","0.35","0.22","0.27","0.05","0.35","0.41",,"0.84"
"Guya","0.32","0.22","0.3","0.19","0.32","0.27",,"0.84"
