"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Derita","Derita","Derita","Derita","Derita","Derita","Derita","Derita"
"Region","Libo Kemkem","Libo Kemkem","Libo Kemkem","Libo Kemkem","Libo Kemkem","Libo Kemkem","Libo Kemkem","Libo Kemkem"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","59","17","0.05","0","75","1","59.16","0"
"1984-1977","0","50","0.62","0","75","1","0","0"
"1985-1978","0","39","0.38","0","75","1","0","0"
"1986-1979","0","41","0.41","53","60","0.05","53.07","0"
"1987-1980","0","56","0.7","53","60","0.08","53.05","0"
"1988-1981","0","75","0.97","0","75","1","0","0"
"1989-1982","0","55","0.68","0","75","1","0","0"
"1990-1983","0","50","0.62","0","75","1","0","0"
"1991-1984","15","31","0.14","0","75","1","14.5","1"
"1992-1985","100","5","0.03","18","70","0.14","118.1","0"
"1993-1986","0","48","0.51","0","75","1","0","1"
"1994-1987","0","67","0.86","0","75","1","0","0"
"1995-1988","0","39","0.35","0","75","1","0","0"
"1996-1989","0","70","0.89","0","75","1","0","1"
"1997-1990","0","75","1","44","63","0.11","43.76","0"
"1998-1991","0","54","0.65","0","75","1","0","0"
"1999-1992","0","38","0.3","0","75","1","0","0"
"2000-1993","0","35","0.24","0","75","1","0","0"
"2001-1994","0","72","0.92","0","75","1","0","0"
"2002-1995","0","50","0.62","0","75","1","0","0"
"2003-1996","8","33","0.19","0","75","1","8.01","0"
"2004-1997","50","20","0.08","59","58","0.03","109.92","1"
"2005-1998","11","32","0.16","0","75","1","11.26","0"
"2006-1999","0","48","0.49","0","75","1","0","0"
"2007-2000","0","61","0.76","2","74","0.19","2.41","0"
"2008-2001","0","67","0.84","0","75","1","0","0"
"2009-2002","0","58","0.73","0","75","1","0","1"
"2010-2003","0","41","0.43","17","70","0.16","17.04","0"
"2011-2004","0","74","0.95","0","75","1","0","0"
"2012-2005","0","45","0.46","0","75","1","0","0"
"2013-2006","0","36","0.27","0","75","1","0","0"
"2014-2007","21","29","0.11","0","75","1","21.43","0"
"2015-2008","0","50","0.62","0","75","1","0","0"
"2016-2009","0","39","0.32","0","75","1","0","0"
"2017-2010","3","34","0.22","0","75","1","2.52","0"
"2018-2011","0","65","0.78","0","75","1","0","0"
"2019-2012","0","66","0.81","0","75","1","0","0"
