"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","HagereSelamE","HagereSelamE","HagereSelamE","HagereSelamE","HagereSelamE","HagereSelamE","HagereSelamE","HagereSelamE"
"Region","Enesie Sar Midir","Enesie Sar Midir","Enesie Sar Midir","Enesie Sar Midir","Enesie Sar Midir","Enesie Sar Midir","Enesie Sar Midir","Enesie Sar Midir"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","48","7","0.22","12","53","0.19","60.45","0"
"1984-1977","0","61","0.95","0","58","0.27","0","0"
"1985-1978","100","0","0.11","0","75","1","100","0"
"1986-1979","0","25","0.65","13","53","0.16","13.4","0"
"1987-1980","93","5","0.14","20","51","0.14","112.38","0"
"1988-1981","0","21","0.57","0","75","1","0","0"
"1989-1982","21","8","0.24","0","75","1","20.55","0"
"1990-1983","90","5","0.19","5","55","0.22","94.81","0"
"1991-1984","0","28","0.73","0","66","0.41","0","0"
"1992-1985","92","5","0.16","52","42","0.08","144.11","1"
"1993-1986","0","50","0.89","57","41","0.05","56.83","0"
"1994-1987","0","20","0.54","0","75","1","0","0"
"1995-1988","0","10","0.27","0","63","0.38","0","1"
"1996-1989","0","50","0.89","0","75","0.51","0","0"
"1997-1990","0","68","1","0","75","0.49","0","1"
"1998-1991","0","28","0.7","0","75","1","0","0"
"1999-1992","0","44","0.81","0","75","1","0","0"
"2000-1993","0","18","0.46","0","75","1","0","0"
"2001-1994","0","17","0.41","0","74","0.46","0","0"
"2002-1995","0","13","0.35","0","74","0.43","0","0"
"2003-1996","0","16","0.38","0","75","1","0","0"
"2004-1997","0","20","0.51","0","57","0.24","0","0"
"2005-1998","0","12","0.3","0","75","1","0","0"
"2006-1999","0","22","0.59","76","35","0.03","75.7","0"
"2007-2000","0","17","0.43","0","75","1","0","0"
"2008-2001","0","38","0.78","0","75","1","0","0"
"2009-2002","0","19","0.49","0","75","1","0","0"
"2010-2003","0","25","0.65","0","75","1","0","1"
"2011-2004","0","37","0.76","0","61","0.32","0","0"
"2012-2005","0","13","0.32","0","58","0.3","0","0"
"2013-2006","100","0","0.08","0","75","1","100","0"
"2014-2007","100","0","0.08","0","62","0.35","100","0"
"2015-2008","0","28","0.68","27","49","0.11","27.26","0"
"2016-2009","0","53","0.92","0","75","1","0","0"
"2017-2010","100","0","0.08","0","75","1","100","0"
"2018-2011","0","50","0.89","0","75","1","0","0"
"2019-2012","0","62","0.97","0","75","1","0","0"
