"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.54","0.73","0.41","1","0.78","0.24","0.76","0.24","0.68","0.05","0.14","1","0.46","0.73","1","0.08","0.16","0.41","1","0.68","0.27","0.41","0.62","0.11","1","1","0.49","0.19","0.41","0.46","0.59","0.57","0.51","0.41","0.05","1","1"
"Abara","0.08","0.76","0.16","0.89","0.78","0.73","0.19","0.24","0.95","0.14","0.73","0.62","0.08","0.57","0.81","0.43","0.35","0.57","1","0.49","0.32","0.57","0.03","0.95","0.59","0.86","0.24","0.41","0.73","0.41","0.73","0.3","0.3","0.84","0.11","1","0.49"
"Abarwuha","0.43","0.97","0.14","0.92","0.49","0.73","0.62","0.24","0.89","0.43","0.32","0.54","0.24","0.65","1","0.62","0.57","0.11","0.97","0.43","0.27","0.84","0.46","0.73","0.81","0.51","0.05","0.08","0.19","0.32","0.73","0.78","0.35","0.19","0.03","0.78","0.86"
"Abaselima","0.27","0.59","0.03","0.76","0.86","0.41","0.32","0.22","0.86","0.57","0.78","0.57","0.08","1","0.7","0.14","0.27","0.51","1","0.43","0.3","0.51","0.22","0.76","0.62","0.89","0.38","0.92","0.51","0.38","0.65","0.08","0.16","0.68","0.11","1","0.81"
"Abina","0.24","0.78","0.41","1","0.78","0.32","0.73","0.16","0.59","0.16","0.03","1","0.41","0.68","1","0.3","0.24","0.59","0.81","0.65","0.3","0.59","0.59","0.24","1","1","0.59","0.05","0.59","0.35","0.62","0.16","0.7","0.59","0.16","1","1"
"AbrahaAtsbaha","0.22","0.57","0.16","1","0.46","0.51","0.84","0.57","0.46","0.14","0.92","0.65","0.08","0.95","0.81","0.03","0.27","0.3","0.86","0.76","0.41","0.59","0.35","0.32","0.89","0.62","0.05","0.22","0.73","0.51","0.73","0.24","0.41","0.73","0.11","1","0.81"
"Abrekuy","0.38","0.59","0.22","1","0.84","0.32","0.62","0.14","0.78","0.78","0.49","0.7","0.08","1","0.65","0.08","0.38","0.59","1","0.43","0.51","0.22","0.11","0.78","0.7","0.84","0.24","0.86","0.32","0.41","0.59","0.16","0.32","0.49","0.03","1","1"
"AdekeAla","0.16","0.57","0.46","0.92","0.76","0.54","0.86","0.24","0.73","0.08","0.65","0.92","0.03","1","0.84","0.46","0.11","0.27","0.7","0.84","0.59","0.41","0.14","0.19","0.78","0.62","0.05","0.54","0.41","0.41","0.54","0.24","0.3","0.7","0.32","0.95","0.97"
"Adekiney","0.68","0.78","0.32","0.97","0.16","0.68","0.89","0.3","0.49","0.35","0.43","1","0.08","0.81","0.62","0.19","0.27","0.38","0.84","0.78","0.49","0.57","0.27","0.16","0.95","0.73","0.05","0.05","0.27","0.7","0.92","0.16","0.41","0.54","0.51","0.59","0.89"
"AderSeg","0.54","0.73","0.43","1","0.78","0.22","0.76","0.22","0.62","0.03","0.14","1","0.49","0.7","1","0.08","0.16","0.43","1","0.65","0.27","0.43","0.68","0.11","1","1","0.3","0.05","0.43","0.49","0.59","0.54","0.57","0.43","0.24","1","1"
"Adibearj","0.46","0.16","0.46","0.76","0.7","1","1","0.22","0.65","0.16","0.59","0.57","0.08","1","1","0.73","0.05","0.03","0.68","0.46","0.57","0.46","0.46","0.11","1","1","0.51","0.78","0.22","0.62","0.46","0.46","0.46","0.51","0.46","1","1"
"AdiHa","0.27","0.19","0.35","0.92","0.78","0.86","0.89","0.49","0.7","0.05","0.78","0.65","0.03","1","0.49","0.41","0.22","0.16","0.84","0.38","0.49","0.62","0.11","0.3","0.78","0.68","0.27","0.84","0.51","0.54","0.62","0.11","0.14","0.62","0.32","1","1"
"AdiKisandid","0.62","0.46","0.16","0.86","0.46","0.54","0.89","0.68","0.41","0.05","0.65","0.73","0.16","0.97","0.7","0.05","0.11","0.38","0.95","0.22","0.54","0.57","0.38","0.32","0.95","0.62","0.08","0.19","0.84","0.32","0.84","0.32","0.54","0.84","0.24","1","0.76"
"Adisalem","0.32","0.86","0.24","1","0.57","0.16","0.24","0.05","0.95","0.11","0.7","0.27","0.19","0.7","0.86","0.7","0.38","0.76","0.92","0.49","0.51","0.7","0.32","0.78","0.7","0.89","0.14","0.46","0.73","0.46","0.41","0.08","0.35","0.81","0.03","1","0.54"
"AdisAlemS","0.11","0.76","0.43","0.92","0.73","0.62","0.84","0.19","0.68","0.05","0.68","0.89","0.05","1","0.86","0.49","0.16","0.22","0.59","0.78","0.51","0.32","0.32","0.16","0.81","0.54","0.08","0.7","0.49","0.27","0.43","0.24","0.38","0.59","0.38","0.95","0.97"
"AdisAlemW","0.22","0.62","0.38","0.89","0.57","0.32","0.86","0.3","0.43","0.22","0.38","0.78","0.03","0.68","0.81","0.11","0.22","0.43","1","0.73","0.27","0.7","0.22","0.24","0.97","0.84","0.08","0.54","0.54","0.68","0.76","0.59","0.05","0.46","0.54","0.92","0.95"
"Adiselam","0.27","0.14","0.57","1","1","1","1","0.54","0.65","0.16","1","0.49","0.11","1","1","1","0.03","0.08","1","0.27","0.41","0.27","0.49","0.43","0.68","0.65","0.35","1","0.08","0.59","0.27","0.41","0.3","0.51","0.35","1","1"
"Adishimbirkti","0.73","0.14","0.14","0.92","0.27","0.76","0.35","0.14","0.78","0.14","0.32","0.57","0.73","0.89","0.97","0.73","0.43","0.43","0.81","0.86","0.49","0.73","0.59","0.19","1","0.84","0.22","0.32","0.57","0.57","0.46","0.14","0.24","0.43","0.19","0.95","0.73"
"AdisKigni","0.78","0.57","0.57","0.97","0.57","0.81","0.57","0.57","0.57","0.57","0.57","0.57","0.57","0.97","0.76","0.57","0.59","0.65","0.76","0.57","0.57","0.89","0.7","0.57","0.84","0.86","0.57","0.57","0.57","0.7","0.57","0.57","0.62","0.57","0.57","1","0.92"
