"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.49",,"0.25"
"Abara","0.24","1","1","1","0.24","0.35",,"0.25"
"Abarwuha","1","1","1","1","1","0.62",,"0.06"
"Abaselima","1","1","1","1","1","0.3",,"0.25"
"Abina","1","1","1","1","1","0.35",,"0.25"
"AbrahaAtsbaha","1","1","1","1","1","0.68",,"0.16"
"Abrekuy","1","1","1","1","1","0.78",,"0.25"
"AdekeAla","1","1","1","1","1","0.49",,"0.03"
"Adekiney","0.16","1","1","1","0.16","0.03",,"0.09"
"AderSeg","1","1","1","1","1","0.38",,"0.25"
"Adibearj","1","1","1","1","1","0.24",,"0.31"
"AdiHa","0.3","1","1","1","0.3","0.05",,"0.06"
"AdiKisandid","0.49","1","1","1","0.49","0.35",,"0.16"
"Adisalem","0.41","1","1","1","0.41","0.08",,"0.19"
"AdisAlemS","1","1","1","1","1","0.16",,"0.03"
"AdisAlemW","1","1","1","1","1","0.05",,"0.16"
"Adiselam","1","1","1","1","1","0.11",,"0.16"
"Adishimbirkti","0.84","1","1","1","0.84","0.22",,"0.38"
"AdisKigni","0.57","1","1","1","0.57","0.38",,"0.25"
"Adiyikoro","0.57","1","1","1","0.57","0.08",,"0.16"
"Adizata","0.57","1","1","1","0.57","0.11",,"0.16"
"Adreb","1","1","1","1","1","0.08",,"0.16"
"AgazenMeda","1","1","1","1","1","0.46",,"0.06"
"Agazi","0.19","1","0.32","1","0.19","0.95",,"0.25"
"Agbe","1","1","1","1","1","0.11",,"0.06"
"Agela","1","1","1","1","1","0.78",,"0.16"
"Agid","1","1","1","1","1","0.57",,"0.12"
"AlemeTesfa","1","1","1","1","1","0.08",,"0.19"
"AmdiWeyane","1","1","1","1","1","0.27",,"0.03"
"Amedwuha","0.65","1","1","1","0.65","0.24",,"0.41"
"Ameno","1","1","1","1","1","0.89",,"0.16"
"Amisetya","1","1","1","1","1","0.27",,"0.19"
"Angot","1","1","1","1","1","0.78",,"0.06"
"Anigot","1","1","1","1","1","0.84",,"0.16"
"Ansheb","0.24","1","1","1","0.24","0.14",,"0.25"
"AquaShumoch","1","1","1","1","1","0.84",,"0.12"
