"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.65","0.7","0.49","0.68","0.65","0.62",,"0.47"
"Abara","0.78","0.84","0.59","0.95","0.78","0.62",,"0.88"
"Abarwuha","0.3","0.49","0.54","0.89","0.3","0.46",,"0.81"
"Abaselima","0.68","0.84","0.57","0.86","0.68","0.46",,"0.88"
"Abina","0.76","0.84","0.43","0.59","0.76","0.59",,"0.47"
"AbrahaAtsbaha","0.68","0.41","0.49","0.46","0.68","0.59",,"0.88"
"Abrekuy","0.49","0.81","0.49","0.78","0.49","0.49",,"0.88"
"AdekeAla","0.81","0.7","0.62","0.73","0.81","0.11",,"0.78"
"Adekiney","0.24","0.27","0.24","0.49","0.24","0.27",,"0.94"
"AderSeg","0.65","0.7","0.54","0.62","0.65","0.68",,"0.47"
"Adibearj","0.16","0.73","0.54","0.65","0.16","0.08",,"0.94"
"AdiHa","0.57","0.81","0.62","0.7","0.57","0.19",,"0.66"
"AdiKisandid","0.59","0.43","0.32","0.41","0.59","0.35",,"0.88"
"Adisalem","0.62","0.84","0.76","0.95","0.62","0.59",,"0.91"
"AdisAlemS","0.81","0.7","0.59","0.68","0.81","0.16",,"0.78"
"AdisAlemW","0.49","0.22","0.38","0.43","0.49","0.05",,"0.62"
"Adiselam","0.14","1","0.59","0.65","0.14","0.19",,"0.62"
"Adishimbirkti","0.86","0.76","0.81","0.78","0.86","0.59",,"0.5"
"AdisKigni","0.49","0.68","0.27","0.57","0.49","0.46",,"0.41"
"Adiyikoro","0.24","0.32","0.24","0.38","0.24","0.03",,"0.62"
"Adizata","0.24","0.35","0.24","0.46","0.24","0.03",,"0.62"
"Adreb","0.41","0.51","0.51","0.7","0.41","0.14",,"0.62"
"AgazenMeda","0.81","0.49","0.49","0.97","0.81","0.65",,"0.81"
"Agazi","0.68","0.35","0.38","0.59","0.68","0.32",,"0.56"
"Agbe","0.81","1","0.62","0.62","0.81","0.43",,"0.66"
"Agela","0.11","0.38","0.14","0.43","0.11","0.08",,"0.59"
"Agid","0.08","0.38","0.05","0.19","0.08","0.46",,"0.56"
"AlemeTesfa","0.62","0.86","0.35","0.54","0.62","0.72",,"0.91"
"AmdiWeyane","0.81","0.65","0.59","0.62","0.81","0.14",,"0.78"
"Amedwuha","1","0.89","0.81","0.78","1","0.46",,"0.75"
"Ameno","0.3","0.43","0.22","0.51","0.3","0.14",,"0.59"
"Amisetya","0.81","0.86","0.54","0.76","0.81","0.84",,"0.47"
"Angot","0.3","0.59","0.41","0.92","0.3","0.38",,"0.81"
"Anigot","0.11","0.38","0.19","0.46","0.11","0.19",,"0.59"
"Ansheb","0.73","0.86","0.62","0.92","0.73","0.7",,"0.88"
"AquaShumoch","0.51","0.38","0.16","0.24","0.51","0.57",,"0.19"
"Aquha","0.78","0.86","0.54","0.84","0.78","0.92",,"0.47"
"Arena","0.35","0.46","0.54","0.41","0.35","0.19",,"0.75"
"Asmena","0.27","0.49","0.24","0.49","0.27","0.32",,"0.56"
"Asta","0.14","0.43","0.19","0.65","0.14","0.03",,"0.59"
"Atakilti","0.76","1","0.68","0.65","0.76","0.11",,"0.56"
"AwetBikalsi","0.57","0.76","0.59","0.73","0.57","0.19",,"0.66"
"AwusaMeda","0.62","0.81","0.41","0.78","0.62","0.7",,"0.91"
"Ayba","0.89","0.95","0.7","0.7","0.89","0.32",,"0.59"
"Aynalem","0.68","0.41","0.54","0.59","0.68","0.7",,"0.88"
"Bala","0.49","0.7","0.32","0.54","0.49","0.46",,"0.41"
"Balarab","0.81","0.86","0.54","0.59","0.81","0.78",,"0.47"
"Bamba","0.73","1","0.62","0.65","0.73","0.22",,"0.78"
