"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.08","1","0.03","0.03","0.08","0.92",,"0.47"
"Abara","0.05","1","0.03","1","0.05","0.97",,"0.16"
"Abarwuha","0.08","1","1","0.11","0.08","0.84",,"0.16"
"Abaselima","0.03","1","0.05","1","0.03","1",,"0.16"
"Abina","0.11","1","0.03","0.03","0.11","0.86",,"0.47"
"AbrahaAtsbaha","0.38","1","0.03","0.03","0.38","0.41",,"0.53"
"Abrekuy","0.11","1","1","1","0.11","0.86",,"0.16"
"AdekeAla","0.16","1","1","1","0.16","0.86",,"0.38"
"Adekiney","0.49","1","0.16","1","0.49","0.92",,"0.16"
"AderSeg","0.08","1","0.03","0.03","0.08","0.95",,"0.47"
"Adibearj","1","1","1","1","1","0.43",,"0.38"
"AdiHa","0.16","1","0.03","1","0.16","0.73",,"0.59"
"AdiKisandid","0.41","1","0.03","0.05","0.41","0.57",,"0.53"
"Adisalem","0.03","1","0.03","0.05","0.03","0.78",,"0.22"
"AdisAlemS","0.16","1","1","1","0.16","0.65",,"0.38"
"AdisAlemW","0.51","1","0.16","1","0.51","0.08",,"0.47"
"Adiselam","1","1","1","1","1","0.41",,"0.28"
"Adishimbirkti","0.11","1","0.24","0.27","0.11","0.81",,"0.44"
"AdisKigni","0.24","0.11","0.22","0.46","0.24","0.89",,"0.38"
"Adiyikoro","0.32","1","1","1","0.32","0.43",,"0.47"
"Adizata","0.32","1","1","1","0.32","0.7",,"0.47"
"Adreb","0.08","1","1","1","0.08","0.19",,"0.28"
"AgazenMeda","0.03","1","1","0.32","0.03","0.86",,"0.16"
"Agazi","0.51","1","0.03","0.11","0.51","0.7",,"0.53"
"Agbe","0.11","1","1","1","0.11","0.3",,"0.59"
"Agela","1","1","1","1","1","0.43",,"0.5"
"Agid","1","1","1","1","1","0.59",,"0.41"
"AlemeTesfa","0.05","1","0.14","0.19","0.05","0.6",,"0.22"
"AmdiWeyane","0.16","1","1","1","0.16","0.43",,"0.38"
"Amedwuha","0.51","1","0.08","0.16","0.51","0.81",,"0.44"
"Ameno","0.14","1","1","1","0.14","0.78",,"0.5"
"Amisetya","0.14","1","0.08","0.05","0.14","0.95",,"0.28"
"Angot","0.08","1","1","0.08","0.08","0.84",,"0.16"
"Anigot","1","1","1","1","1","0.38",,"0.5"
"Ansheb","0.05","1","0.08","0.16","0.05","0.86",,"0.12"
"AquaShumoch","0.27","1","1","1","0.27","0.92",,"0.5"
"Aquha","0.16","1","1","0.14","0.16","0.89",,"0.28"
"Arena","0.24","1","0.16","1","0.24","0.08",,"0.34"
"Asmena","0.7","1","0.05","0.05","0.7","0.46",,"0.53"
"Asta","0.14","1","1","1","0.14","0.76",,"0.5"
"Atakilti","0.19","1","1","1","0.19","0.08",,"0.47"
"AwetBikalsi","0.16","1","0.03","1","0.16","0.73",,"0.59"
"AwusaMeda","0.05","1","1","0.14","0.05","0.62",,"0.22"
"Ayba","0.65","1","0.05","0.11","0.65","0.7",,"0.34"
"Aynalem","0.38","1","0.05","0.11","0.38","0.43",,"0.53"
"Bala","0.24","0.11","0.19","0.51","0.24","0.86",,"0.38"
"Balarab","0.14","1","1","0.05","0.14","0.97",,"0.28"
"Bamba","0.11","1","1","1","0.11","0.86",,"0.38"
"BarkaAdiswha","0.43","1","0.03","0.03","0.43","0.84",,"0.53"
"Begasheka","0.24","1","1","1","0.24","0.51",,"0.47"
"Berlay","0.03","1","1","0.08","0.03","0.81",,"0.22"
