"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.41","0.35","0.3","0.41","0.41","0.24",,"0.25"
"Abara","0.59","0.46","0.24","0.57","0.59","0.24",,"0.41"
"Abarwuha","0.3","0.49","0.24","0.84","0.3","0.54",,"0.31"
"Abaselima","0.46","0.46","0.3","0.51","0.46","0.51",,"0.41"
"Abina","0.32","0.49","0.27","0.59","0.32","0.27",,"0.25"
"AbrahaAtsbaha","0.46","0.41","0.57","0.59","0.46","0.22",,"0.12"
"Abrekuy","0.3","0.46","0.24","0.22","0.3","0.57",,"0.41"
"AdekeAla","0.27","0.46","0.27","0.41","0.27","0.51",,"0.25"
"Adekiney","0.38","0.65","0.59","0.57","0.38","0.38",,"0.09"
"AderSeg","0.41","0.38","0.3","0.43","0.41","0.43",,"0.25"
"Adibearj","0.3","0.19","0.11","0.46","0.3","0.65",,"0.06"
"AdiHa","0.38","0.35","0.24","0.62","0.38","0.32",,"0.16"
"AdiKisandid","0.35","0.54","0.57","0.57","0.35","0.41",,"0.12"
"Adisalem","0.35","0.46","0.27","0.7","0.35","0.51",,"0.31"
"AdisAlemS","0.27","0.46","0.24","0.32","0.27","0.24",,"0.25"
"AdisAlemW","0.57","0.68","0.43","0.7","0.57","0.27",,"0.12"
"Adiselam","0.11","0.11","0.08","0.27","0.11","0.41",,"0.12"
"Adishimbirkti","0.7","0.92","0.54","0.73","0.7","0.89",,"0.34"
"AdisKigni","0.68","1","0.78","0.89","0.68","0.22",,"0.25"
"Adiyikoro","0.49","0.54","0.49","0.81","0.49","0.7",,"0.12"
"Adizata","0.49","0.65","0.38","0.84","0.49","0.27",,"0.12"
"Adreb","0.16","0.22","0.11","0.57","0.16","0.57",,"0.12"
"AgazenMeda","0.19","0.49","0.11","0.81","0.19","0.32",,"0.31"
"Agazi","0.41","0.7","0.57","0.54","0.41","0.03",,"0.19"
"Agbe","0.51","0.38","0.16","0.32","0.51","0.51",,"0.16"
"Agela","0.03","0.16","0.22","1","0.03","0.35",,"0.09"
"Agid","0.03","0.38","0.08","1","0.03","0.54",,"0.12"
"AlemeTesfa","0.24","0.51","0.24","0.78","0.24","0.16",,"0.31"
"AmdiWeyane","0.27","0.41","0.24","0.32","0.27","0.24",,"0.25"
"Amedwuha","0.59","0.84","0.35","0.51","0.59","0.22",,"0.19"
"Ameno","0.05","0.43","0.11","0.24","0.05","0.27",,"0.09"
"Amisetya","0.41","0.49","0.22","0.68","0.41","0.24",,"0.44"
"Angot","0.3","0.59","0.11","0.59","0.3","0.51",,"0.31"
"Anigot","0.03","0.16","0.19","1","0.03","0.49",,"0.09"
"Ansheb","0.32","0.51","0.3","0.43","0.32","0.43",,"0.56"
"AquaShumoch","0.32","0.38","0.16","0.24","0.32","0.81",,"0.34"
"Aquha","0.43","0.51","0.3","0.62","0.43","0.65",,"0.44"
"Arena","0.49","0.43","0.24","0.59","0.49","0.08",,"0.19"
"Asmena","0.43","0.76","0.57","0.32","0.43","0.05",,"0.19"
"Asta","0.08","0.43","0.05","0.14","0.08","0.32",,"0.09"
"Atakilti","0.24","0.24","0.22","0.43","0.24","0.49",,"0.22"
"AwetBikalsi","0.38","0.43","0.27","0.62","0.38","0.57",,"0.16"
"AwusaMeda","0.24","0.46","0.27","0.65","0.24","0.27",,"0.31"
"Ayba","0.65","0.89","0.65","0.92","0.65","0.68",,"0.38"
"Aynalem","0.46","0.54","0.49","0.49","0.46","0.41",,"0.12"
"Bala","0.68","1","0.78","0.89","0.68","0.62",,"0.25"
"Balarab","0.41","0.49","0.27","0.59","0.41","0.22",,"0.44"
"Bamba","0.24","0.27","0.16","0.22","0.24","0.14",,"0.25"
"BarkaAdiswha","0.32","0.51","0.38","0.32","0.32","0.08",,"0.12"
"Begasheka","0.32","0.24","0.08","0.41","0.32","0.35",,"0.22"
"Berlay","0.49","0.46","0.41","0.68","0.49","0.41",,"0.31"
"Betgebez","0.49","0.54","0.24","0.76","0.49","0.27",,"0.12"
"Bethans","0.35","0.38","0.27","0.7","0.35","0.57",,"0.09"
"BilbWuha","0.22","0.62","0.08","0.32","0.22","0.43",,"0.19"
"Birkutea","0.05","0.38","0.14","0.19","0.05","0.49",,"0.09"
"Boneya","0.46","0.46","0.24","0.46","0.46","0.3",,"0.41"
"Burkoche","0.46","0.51","0.3","0.62","0.46","0.65",,"0.44"
"Cheli","0.22","0.43","0.19","0.32","0.22","0.41",,"0.25"
"Darubekeda","0.7","0.81","0.38","0.59","0.7","0.49",,"0.34"
"Deberkerbye","0.11","0.11","0.08","0.08","0.11","0.11",,"0.19"
"DeberAbaJale","0.11","0.38","0.24","0.32","0.11","0.81",,"0.34"
"DebrAbay","0.51","0.46","0.16","0.43","0.51","0.73",,"0.31"
"DebreAliays","0.32","0.46","0.19","0.68","0.32","0.05",,"0.31"
"Debrebirhan","0.35","0.49","0.46","0.49","0.35","0.08",,"0.22"
"Debrebrhan","0.38","0.68","0.65","0.68","0.38","0.3",,"0.22"
"DebreGenet","0.35","0.46","0.24","0.27","0.35","0.32",,"0.31"
"DebreGenetA","0.43","0.41","0.3","0.78","0.43","0.68",,"0.09"
"DebreGenetK","0.41","0.24","0.24","0.57","0.41","0.41",,"0.22"
"DebreGeorgis","0.24","0.51","0.24","0.76","0.24","0.19",,"0.31"
"DebreKidusan","0.49","0.54","0.22","0.32","0.49","0.46",,"0.31"
"Debremawie","0.49","0.46","0.32","0.35","0.49","0.27",,"0.31"
"Debreselam","0.43","0.54","0.38","0.35","0.43","0.08",,"0.22"
"Debrinetseb","0.27","0.27","0.27","0.57","0.27","0.54",,"0.22"
"Dekera","0.3","0.32","0.14","0.16","0.3","0.51",,"0.41"
"DembezaAmbaLay","0.49","0.46","0.32","0.43","0.49","0.19",,"0.31"
"Derit","0.35","0.41","0.08","0.81","0.35","0.38",,"0.31"
"Derita","0.08","0.43","0.05","0.16","0.08","0.46",,"0.09"
"Dinkashena","0.68","0.78","0.51","0.81","0.68","0.43",,"0.38"
"Ebo","0.76","0.95","0.86","1","0.76","0.41",,"0.38"
"Edagaarbi","0.54","0.76","0.51","0.62","0.54","0.68",,"0.12"
"EmbaAhfrom","0.57","0.7","0.46","0.68","0.57","0.78",,"0.12"
"EmbachekoGunaguna","0.32","0.41","0.24","0.46","0.32","0.73",,"0.34"
"EndaBagerima","0.43","0.46","0.22","0.81","0.43","0.81",,"0.09"
"Endabano","0.38","0.27","0.3","0.68","0.38","0.24",,"0.19"
"Endachiwa","0.43","0.35","0.27","0.73","0.43","0.65",,"0.12"
"EndaFelasi","0.41","0.35","0.16","0.65","0.41","0.51",,"0.19"
"Endagahamus","0.46","0.41","0.3","0.76","0.46","0.43",,"0.12"
"Endamariam","0.51","0.76","0.43","0.81","0.51","0.19",,"0.12"
"Erba","0.7","1","0.95","1","0.7","0.95",,"0.62"
