"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","0.78","0.73","0.73","1","0.81",,"0.28"
"Abara","0.86","0.89","0.38","0.57","0.86","0.81",,"1"
"Abarwuha","0.7","1","0.51","0.65","0.7","0.89",,"0.97"
"Abaselima","0.78","0.89","0.49","1","0.78","0.97",,"1"
"Abina","0.92","0.57","0.76","0.68","0.92","0.92",,"0.28"
"AbrahaAtsbaha","0.81","0.73","0.97","0.95","0.81","0.78",,"0.31"
"Abrekuy","0.73","0.86","0.51","1","0.73","0.76",,"1"
"AdekeAla","1","0.95","1","1","1","0.95",,"0.62"
"Adekiney","0.86","0.41","0.92","0.81","0.86","0.73",,"0.59"
"AderSeg","1","0.81","0.76","0.7","1","0.86",,"0.28"
"Adibearj","1","0.86","1","1","1","0.86",,"0.81"
"AdiHa","1","1","1","1","1","1",,"0.34"
"AdiKisandid","0.89","0.81","0.97","0.97","0.89","0.84",,"0.31"
"Adisalem","0.84","0.89","0.35","0.7","0.84","0.92",,"1"
"AdisAlemS","1","0.95","1","1","1","0.97",,"0.62"
"AdisAlemW","0.68","0.84","0.89","0.68","0.68","0.95",,"0.81"
"Adiselam","1","1","1","1","1","0.89",,"0.69"
"Adishimbirkti","0.97","0.65","0.92","0.89","0.97","0.92",,"0.94"
"AdisKigni","0.89","0.68","0.54","0.97","0.89","0.86",,"0.69"
"Adiyikoro","0.81","0.95","0.89","0.95","0.81","1",,"0.81"
"Adizata","0.81","0.95","0.97","0.78","0.81","0.97",,"0.81"
"Adreb","0.84","1","1","0.81","0.84","0.95",,"0.69"
"AgazenMeda","0.62","1","0.54","0.7","0.62","0.92",,"0.97"
"Agazi","0.97","0.59","0.97","1","0.97","0.68",,"0.62"
"Agbe","0.92","1","1","1","0.92","1",,"0.34"
"Agela","1","1","0.49","1","1","0.43",,"0.34"
"Agid","0.73","1","0.38","1","0.73","0.81",,"0.31"
"AlemeTesfa","0.68","0.89","0.54","0.97","0.68","0.84",,"1"
"AmdiWeyane","1","0.89","1","1","1","0.95",,"0.62"
"Amedwuha","0.97","0.86","0.95","0.86","0.97","0.95",,"0.97"
"Ameno","0.86","1","0.57","1","0.86","0.65",,"0.34"
"Amisetya","0.97","0.57","0.81","0.76","0.97","0.89",,"0.09"
"Angot","0.7","1","0.57","0.59","0.7","0.78",,"0.97"
"Anigot","1","1","0.41","1","1","0.62",,"0.34"
"Ansheb","0.92","0.89","0.38","0.43","0.92","0.81",,"1"
"AquaShumoch","0.97","1","0.41","0.65","0.97","0.73",,"0.09"
"Aquha","0.95","0.57","0.86","0.76","0.95","0.86",,"0.09"
"Arena","0.65","0.84","0.86","0.68","0.65","0.95",,"0.47"
"Asmena","0.78","0.49","0.95","0.97","0.78","0.68",,"0.62"
"Asta","0.89","1","0.41","0.73","0.89","0.7",,"0.34"
"Atakilti","1","1","1","1","1","0.97",,"0.44"
"AwetBikalsi","1","1","1","1","1","0.97",,"0.34"
"AwusaMeda","0.68","0.86","0.57","1","0.68","0.84",,"1"
"Ayba","1","0.27","0.62","0.81","1","0.73",,"0.91"
"Aynalem","0.81","0.65","1","0.92","0.81","1",,"0.31"
"Bala","0.89","0.7","0.54","0.95","0.89","0.76",,"0.69"
"Balarab","0.97","0.57","0.76","0.7","0.97","0.92",,"0.09"
"Bamba","1","1","1","1","1","0.97",,"0.62"
"BarkaAdiswha","0.86","0.78","0.97","0.81","0.86","0.59",,"0.31"
"Begasheka","0.95","1","1","1","0.95","0.78",,"0.44"
"Berlay","0.62","0.86","0.59","1","0.62","0.89",,"1"
"Betgebez","0.95","0.84","0.97","0.89","0.95","0.95",,"0.44"
"Bethans","0.89","0.76","1","0.84","0.89","0.86",,"0.31"
"BilbWuha","0.92","0.76","0.51","1","0.92","0.84",,"0.09"
"Birkutea","0.84","1","0.46","1","0.84","0.86",,"0.34"
"Boneya","0.78","0.89","0.35","0.46","0.78","0.89",,"1"
"Burkoche","0.78","0.65","0.86","0.76","0.78","0.86",,"0.09"
"Cheli","1","0.95","1","1","1","0.95",,"0.62"
"Darubekeda","0.92","0.89","0.86","0.89","0.92","1",,"0.94"
"Deberkerbye","1","1","1","1","1","0.54",,"0.94"
"DeberAbaJale","0.89","1","0.51","1","0.89","0.59",,"0.09"
"DebrAbay","0.89","0.86","0.3","0.43","0.89","0.76",,"1"
"DebreAliays","0.78","0.89","0.41","0.68","0.78","0.78",,"1"
"Debrebirhan","0.89","0.32","0.97","0.95","0.89","0.92",,"0.59"
"Debrebrhan","0.92","0.59","1","0.89","0.92","1",,"0.62"
"DebreGenet","0.86","0.89","0.43","1","0.86","0.84",,"1"
"DebreGenetA","0.81","0.27","0.92","0.89","0.81","0.92",,"0.31"
"DebreGenetK","1","1","1","1","1","1",,"0.44"
"DebreGeorgis","0.68","0.89","0.51","0.97","0.68","0.68",,"1"
"DebreKidusan","0.76","0.81","0.35","0.84","0.76","0.76",,"1"
"Debremawie","0.62","0.86","0.41","1","0.62","0.78",,"1"
"Debreselam","0.59","0.41","1","0.86","0.59","0.95",,"0.59"
"Debrinetseb","1","1","1","1","1","0.92",,"0.44"
"Dekera","1","0.95","1","1","1","0.84",,"0.84"
"DembezaAmbaLay","0.62","0.86","0.46","1","0.62","0.84",,"1"
"Derit","0.78","1","0.51","0.7","0.78","0.86",,"0.97"
"Derita","0.89","1","0.46","0.65","0.89","0.54",,"0.34"
"Dinkashena","0.92","0.86","0.84","0.86","0.92","0.97",,"0.75"
"Ebo","1","0.7","0.51","0.95","1","0.95",,"0.91"
"Edagaarbi","0.81","0.41","0.95","0.81","0.81","1",,"0.41"
"EmbaAhfrom","0.81","0.78","0.92","0.81","0.81","0.86",,"0.81"
"EmbachekoGunaguna","0.97","1","0.43","0.68","0.97","0.78",,"0.09"
"EndaBagerima","0.84","0.78","0.89","0.95","0.84","0.97",,"0.31"
"Endabano","0.97","1","1","1","0.97","1",,"0.56"
"Endachiwa","0.81","0.7","0.92","1","0.81","0.86",,"0.81"
"EndaFelasi","0.97","0.78","1","0.89","0.97","0.97",,"0.56"
"Endagahamus","0.84","0.78","1","0.92","0.84","0.95",,"0.81"
"Endamariam","0.95","0.81","0.97","0.68","0.95","0.97",,"0.44"
"Erba","0.92","0.65","0.65","0.92","0.92","1",,"0.94"
"Esiret","1","0.92","1","1","1","1",,"0.62"
"Estifanos","0.84","1","0.43","1","0.84","0.76",,"0.34"
"Fala","0.95","0.78","0.92","0.89","0.95","0.97",,"0.88"
"Felegehiwot","0.86","0.81","0.43","1","0.86","0.81",,"1"
"FelegeWayane","0.92","0.62","0.97","0.84","0.92","0.89",,"0.31"
"FikreAlem","0.92","0.92","0.97","0.97","0.92","0.81",,"0.78"
"Filatako","0.78","1","0.51","0.68","0.78","0.78",,"0.97"
"Gebsit","0.92","0.86","0.27","0.38","0.92","0.92",,"1"
"Gedayasu","0.92","0.86","0.3","0.43","0.92","0.78",,"1"
"GelaMatebiya","0.97","0.84","0.62","0.62","0.97","0.81",,"0.09"
"Gendebta","0.84","0.7","0.97","0.95","0.84","1",,"0.81"
"Geneti","1","0.81","0.57","0.92","1","0.97",,"0.91"
"Genfel","0.89","0.65","0.97","0.89","0.89","1",,"0.31"
"Gera","1","0.89","1","1","1","0.92",,"0.53"
"Gerjale","0.95","0.65","0.57","0.95","0.95","1",,"0.94"
"GetskiMilesiley","1","1","1","1","1","1",,"0.34"
"Gijet","0.92","0.97","1","1","0.92","0.97",,"0.34"
"Ginaza","1","1","0.41","1","1","0.43",,"0.31"
"Golgolemalee","0.92","0.78","0.97","0.78","0.92","0.7",,"0.31"
"Goshedur","0.86","0.81","0.41","1","0.86","0.81",,"1"
"Goza","0.92","0.78","0.46","0.73","0.92","0.76",,"0.09"
"Grwre","1","1","1","1","1","0.97",,"0.53"
"GuemseAgamet","0.97","0.49","0.97","0.97","0.97","0.68",,"0.62"
"Guroro","1","1","1","1","1","0.92",,"0.44"
"Guya","1","1","1","1","1","0.84",,"0.44"
"Habees","0.86","0.81","0.97","0.84","0.86","0.84",,"0.31"
"Hadashtekli","0.95","1","1","1","0.95","1",,"0.34"
"HadeAlga","0.97","0.51","0.51","0.95","0.97","0.97",,"0.94"
"HadnetK","1","0.78","0.97","0.7","1","1",,"0.5"
"HadnetS","0.97","0.59","0.97","1","0.97","0.68",,"0.62"
"HadushAdi","1","0.59","0.95","0.95","1","0.59",,"0.62"
"HadushHiwet","0.78","0.49","0.92","0.97","0.78","0.73",,"0.62"
"HagereGenet","0.76","0.89","0.3","0.54","0.76","0.84",,"1"
"HagereSelamE","0.89","0.86","0.35","0.54","0.89","0.84",,"1"
"HagereSelamW","0.92","0.86","0.97","0.81","0.92","1",,"0.62"
"Hangoda","0.97","0.59","0.97","1","0.97","0.68",,"0.62"
