"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.43","1","0.08","0.7","0.51","0.43","0.3","0.27","0.7","0.08","1","0.7","0.49","0.78","1","0.11","0.27","0.76","0.76","0.7","0.27","0.35","0.57","0.19","1","1","1","0.14","0.7","0.38","0.03","0.16","0.46","0.54","0.32","1","1"
"Abara","0.59","0.68","0.14","0.84","0.73","0.3","0.22","0.14","0.84","0.14","0.49","0.46","0.46","0.89","0.97","0.51","0.46","0.7","0.57","0.65","0.46","0.46","0.54","0.19","0.76","0.92","0.62","0.27","0.84","0.46","0.05","0.03","0.16","0.86","0.24","1","0.95"
"Abarwuha","0.73","0.27","0.49","0.49","0.14","0.73","0.73","0.24","0.49","0.24","0.3","0.24","0.73","1","1","0.73","0.24","0.73","1","0.73","0.32","0.49","0.35","0.54","0.81","1","1","0.49","0.78","0.51","0.03","0.05","0.11","0.76","0.08","1","1"
"Abaselima","0.59","0.68","0.14","0.84","0.73","0.3","0.22","0.14","0.84","0.14","0.49","0.46","0.46","0.89","0.97","0.51","0.46","0.7","0.57","0.65","0.46","0.46","0.54","0.19","0.76","0.92","0.62","0.27","0.84","0.46","0.05","0.03","0.16","0.86","0.24","1","0.95"
"Abina","0.57","0.68","0.14","0.84","0.73","0.14","0.32","0.49","0.84","0.14","1","0.49","0.22","0.57","1","0.19","0.49","0.76","0.62","0.65","0.49","0.49","0.59","0.24","0.84","1","0.86","0.27","0.7","0.49","0.03","0.05","0.3","0.51","0.16","1","1"
"AbrahaAtsbaha","0.76","0.68","0.41","1","0.78","0.41","0.05","0.41","0.41","0.41","0.62","0.7","0.46","0.73","0.92","0.43","0.41","0.89","0.41","0.59","0.49","0.41","0.41","0.81","0.86","0.57","0.41","0.65","0.97","0.95","0.03","0.08","0.11","0.54","0.14","0.84","0.51"
"Abrekuy","0.62","0.68","0.14","0.81","0.7","0.62","0.24","0.14","0.81","0.14","0.22","0.46","0.16","0.86","0.95","0.51","0.46","0.84","0.57","0.65","0.46","0.46","0.46","0.3","0.81","0.92","0.54","0.49","0.81","0.46","0.03","0.05","0.19","0.89","0.27","1","1"
"AdekeAla","0.59","0.22","0.11","0.89","0.81","0.65","0.86","0.46","0.7","0.46","0.62","0.46","0.19","0.95","0.97","0.16","0.46","0.73","0.46","0.3","0.78","0.46","0.14","0.51","0.54","0.57","0.27","0.68","0.76","0.49","0.03","0.08","0.08","0.84","0.24","0.92","1"
"Adekiney","0.86","0.81","0.27","1","0.89","0.73","0.11","0.27","0.27","0.27","0.84","0.32","0.32","0.41","0.97","0.7","0.27","0.76","0.35","0.51","0.54","0.65","0.38","0.62","0.78","0.49","0.43","0.68","0.92","0.95","0.03","0.08","0.08","0.46","0.14","0.57","0.59"
"AderSeg","0.46","0.57","0.11","0.7","0.51","0.46","0.59","0.32","0.7","0.11","1","0.32","0.16","0.81","1","0.14","0.32","0.76","0.76","0.7","0.32","0.38","0.49","0.11","0.84","1","1","0.22","0.7","0.54","0.03","0.19","0.78","0.41","0.35","1","1"
