"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.24","0.59","0.19","0.78","0.54","0.16","0.51","0.05","0.49","0.03","0.38","0.86","0.65","0.73","1","0.22","0.08","0.32","0.81","0.65","0.27","0.3","0.89","0.46","0.92","1","0.7","0.57","0.76","0.35","0.43","0.14","0.68","0.41","0.11","1","0.84"
"Abara","0.11","0.46","0.05","0.89","0.86","0.27","0.35","0.14","0.59","0.22","0.81","0.49","0.32","0.38","1","0.73","0.19","0.54","0.7","0.51","0.62","0.24","0.08","0.68","0.78","0.59","0.43","0.43","0.84","0.3","0.76","0.03","0.65","0.95","0.16","1","0.92"
"Abarwuha","0.05","0.68","0.03","0.73","1","0.38","0.22","0.16","0.54","0.19","0.81","0.78","0.32","0.51","1","0.62","0.08","0.14","0.7","0.65","0.49","0.24","0.14","0.57","0.46","1","0.62","0.78","1","0.3","0.35","0.41","0.43","1","0.27","1","1"
"Abaselima","0.14","0.59","0.03","0.92","0.86","0.11","0.22","0.08","0.57","0.41","0.84","0.38","0.24","0.49","1","0.43","0.27","0.54","0.65","0.46","0.73","0.3","0.16","0.78","0.81","0.68","0.35","0.51","0.78","0.32","0.7","0.05","0.62","0.89","0.19","1","1"
"Abina","0.16","0.65","0.19","0.78","0.59","0.14","0.46","0.08","0.43","0.03","0.38","0.73","0.54","0.76","1","0.35","0.11","0.43","0.57","0.62","0.3","0.27","0.81","0.22","0.89","1","0.92","0.51","0.68","0.35","0.49","0.05","0.84","0.7","0.24","1","0.86"
"AbrahaAtsbaha","0.27","0.16","0.03","0.86","0.41","0.35","0.68","0.27","0.49","0.08","0.84","0.54","0.11","0.97","1","0.05","0.62","0.59","0.76","0.22","0.7","0.57","0.38","0.65","0.89","0.81","0.3","0.73","0.92","0.51","0.32","0.14","0.19","0.78","0.46","0.95","0.43"
"Abrekuy","0.19","0.57","0.05","1","0.81","0.14","0.38","0.08","0.49","0.35","0.59","0.62","0.32","0.51","1","0.41","0.22","0.46","0.86","0.43","0.84","0.24","0.03","0.68","0.78","0.65","0.3","0.76","0.73","0.27","0.7","0.16","0.54","1","0.11","1","1"
"AdekeAla","0.38","0.19","0.16","0.76","0.89","0.49","0.73","0.14","0.62","0.08","0.78","0.89","0.03","1","1","0.51","0.32","0.46","0.41","0.68","0.65","0.27","0.22","0.35","0.84","0.59","0.11","0.92","0.57","0.27","0.3","0.05","0.43","0.57","0.7","0.81","1"
"Adekiney","0.57","0.19","0.11","0.89","0.22","0.32","0.51","0.16","0.24","0.08","0.81","0.78","0.03","0.92","1","0.38","0.43","0.65","0.7","0.46","0.73","0.59","0.35","0.76","0.97","0.62","0.27","0.57","0.86","0.41","0.49","0.14","0.05","0.68","0.3","0.95","0.84"
"AderSeg","0.19","0.62","0.24","0.81","0.57","0.16","0.49","0.05","0.54","0.03","0.41","0.86","0.59","0.76","1","0.22","0.08","0.35","0.78","0.65","0.27","0.3","0.89","0.46","0.92","1","0.7","0.32","0.73","0.38","0.46","0.14","0.68","0.51","0.11","1","0.84"
"Adibearj","0.35","0.03","0.41","0.7","0.89","0.78","0.62","0.08","0.54","0.14","0.65","0.51","0.35","1","1","0.46","0.22","0.16","0.27","0.38","0.43","0.11","0.81","0.3","0.84","0.86","0.76","1","0.59","0.49","0.19","0.24","0.05","0.68","0.57","0.73","1"
"AdiHa","0.22","0.08","0.16","0.76","1","0.78","0.73","0.35","0.62","0.03","0.86","0.59","0.14","1","0.7","0.51","0.49","0.43","0.65","0.3","0.68","0.24","0.11","0.46","0.81","1","0.41","1","0.57","0.38","0.32","0.05","0.19","0.57","0.27","0.84","1"
"AdiKisandid","0.62","0.19","0.08","0.86","0.27","0.46","0.68","0.38","0.32","0.05","0.22","0.65","0.11","0.97","1","0.05","0.59","0.73","0.81","0.14","0.43","0.57","0.49","0.7","0.89","0.76","0.24","0.78","0.92","0.54","0.16","0.41","0.3","0.84","0.51","0.95","0.35"
"Adisalem","0.22","0.73","0.11","0.89","0.57","0.08","0.32","0.05","0.76","0.16","0.68","0.51","0.54","0.35","1","0.7","0.24","0.62","0.46","0.49","0.81","0.27","0.19","0.43","0.65","0.86","0.38","0.41","0.84","0.3","0.59","0.03","0.78","1","0.14","1","1"
"AdisAlemS","0.19","0.38","0.16","0.76","0.92","0.49","0.73","0.11","0.59","0.03","0.86","0.81","0.05","1","1","0.57","0.32","0.41","0.43","0.7","0.65","0.24","0.35","0.32","0.78","0.62","0.08","1","0.54","0.22","0.27","0.14","0.46","0.54","0.68","0.84","0.89"
"AdisAlemW","0.14","0.27","0.11","0.68","0.57","0.19","0.59","0.16","0.38","0.05","0.81","0.78","0.03","0.89","1","0.22","0.35","0.54","0.73","0.65","0.76","0.43","0.3","0.62","0.97","0.86","0.32","0.84","0.7","0.41","0.46","0.24","0.08","0.51","0.49","0.95","0.92"
"Adiselam","0.16","0.03","0.38","0.65","1","1","1","0.24","0.59","0.22","1","0.46","0.27","1","1","0.68","0.14","0.11","0.49","0.3","0.35","0.08","1","0.51","0.57","1","1","1","0.41","0.54","0.19","0.32","0.05","0.62","0.43","1","1"
"Adishimbirkti","0.3","0.14","0.14","0.89","0.43","0.57","0.24","0.14","0.81","0.14","0.27","0.22","0.65","0.92","1","0.54","0.7","0.68","0.76","0.84","0.35","0.54","0.62","0.16","0.95","0.38","0.49","0.78","0.86","0.59","0.19","0.14","0.32","0.73","0.41","0.97","0.46"
"AdisKigni","0.51","0.35","0.14","0.92","0.57","0.73","0.41","0.14","0.27","0.19","0.59","0.46","0.43","0.54","0.97","0.14","0.84","0.89","0.84","0.3","0.14","0.78","0.76","0.19","0.95","0.49","0.62","0.86","0.32","0.68","0.22","0.14","0.27","0.38","0.65","1","0.7"
"Adiyikoro","0.22","0.16","0.19","0.73","0.81","0.27","0.57","0.08","0.24","0.11","0.76","0.68","0.05","0.89","1","0.41","0.54","0.3","0.59","0.51","0.78","0.49","0.43","0.62","0.95","0.86","0.65","0.84","0.7","0.35","0.32","0.14","0.03","0.38","0.46","0.95","0.97"
"Adizata","0.27","0.14","0.41","0.7","0.84","0.19","0.49","0.11","0.24","0.08","0.81","0.68","0.05","0.97","1","0.43","0.62","0.46","0.51","0.62","0.78","0.38","0.57","0.73","0.92","0.86","0.57","0.65","0.76","0.35","0.3","0.16","0.03","0.32","0.22","0.89","0.95"
"Adreb","0.16","0.03","0.35","0.65","0.78","0.76","0.73","0.14","0.51","0.08","0.62","0.49","0.27","1","1","0.54","0.24","0.19","0.32","0.38","0.41","0.11","0.84","0.43","0.68","1","1","1","0.46","0.59","0.22","0.3","0.05","0.7","0.59","0.81","1"
