"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.46","0.08","0.19","0.41","0.46","0.65",,"0.38"
"Abara","0.05","0.14","0.05","0.16","0.05","0.65",,"0.91"
"Abarwuha","0.32","0.49","0.03","0.14","0.32","0.49",,"0.78"
"Abaselima","0.03","0.14","0.03","0.03","0.03","0.57",,"0.91"
"Abina","0.65","0.14","0.19","0.41","0.65","0.46",,"0.38"
"AbrahaAtsbaha","0.51","0.41","0.03","0.16","0.51","0.68",,"0.94"
"Abrekuy","0.03","0.14","0.05","0.22","0.03","0.59",,"0.91"
"AdekeAla","0.08","0.11","0.16","0.46","0.08","0.49",,"0.44"
"Adekiney","0.27","0.27","0.11","0.32","0.27","0.7",,"0.66"
"AderSeg","0.46","0.11","0.24","0.43","0.46","0.65",,"0.38"
"Adibearj","0.32","0.49","0.41","0.46","0.32","0.68",,"0.25"
"AdiHa","0.35","0.05","0.16","0.35","0.35","0.59",,"0.31"
"AdiKisandid","0.51","0.43","0.08","0.16","0.51","0.76",,"0.94"
"Adisalem","0.14","0.14","0.11","0.24","0.14","0.41",,"0.75"
"AdisAlemS","0.08","0.11","0.16","0.43","0.08","0.38",,"0.44"
"AdisAlemW","0.19","0.22","0.11","0.38","0.19","0.38",,"0.66"
"Adiselam","0.41","0.46","0.38","0.57","0.41","0.46",,"0.97"
"Adishimbirkti","0.43","0.38","0.14","0.14","0.43","0.7",,"0.41"
"AdisKigni","0.49","0.68","0.14","0.57","0.49","0.54",,"0.5"
"Adiyikoro","0.41","0.22","0.19","0.43","0.41","0.35",,"0.66"
"Adizata","0.41","0.19","0.41","0.59","0.41","0.46",,"0.66"
"Adreb","0.49","0.51","0.35","0.49","0.49","0.76",,"0.97"
"AgazenMeda","0.38","0.49","0.03","0.16","0.38","0.49",,"0.78"
"Agazi","0.3","0.35","0.08","0.24","0.3","0.78",,"0.5"
"Agbe","0.11","0.08","0.05","0.14","0.11","0.27",,"0.31"
"Agela","0.27","0.38","0.22","0.32","0.27","0.51",,"0.25"
