"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.97","1","1","1","0.97","0.78",,"0.16"
"Abara","0.92","0.97","1","0.81","0.92","0.97",,"0.56"
"Abarwuha","0.92","1","1","1","0.92","0.78",,"0.66"
"Abaselima","0.95","0.97","1","0.7","0.95","0.92",,"0.56"
"Abina","1","1","1","1","1","0.86",,"0.16"
"AbrahaAtsbaha","0.78","0.92","1","0.81","0.78","0.81",,"0.81"
"Abrekuy","1","0.95","1","0.65","1","0.86",,"0.56"
"AdekeAla","0.51","0.97","1","0.84","0.51","0.92",,"0.66"
"Adekiney","0.97","0.97","1","0.62","0.97","0.84",,"0.44"
"AderSeg","0.97","1","1","1","0.97","0.76",,"0.16"
"Adibearj","1","1","1","1","1","1",,"0.31"
"AdiHa","0.62","0.84","0.7","0.49","0.62","0.95",,"0.84"
"AdiKisandid","0.76","0.92","1","0.7","0.76","0.92",,"0.81"
"Adisalem","1","0.97","1","0.86","1","0.89",,"0.78"
"AdisAlemS","0.51","0.97","1","0.86","0.51","0.92",,"0.66"
"AdisAlemW","1","0.97","1","0.81","1","0.92",,"0.56"
"Adiselam","1","1","1","1","1","0.92",,"0.28"
"Adishimbirkti","0.95","1","1","0.97","0.95","0.95",,"0.81"
"AdisKigni","1","0.92","0.97","0.76","1","0.78",,"0.53"
"Adiyikoro","1","1","1","0.89","1","0.97",,"0.56"
"Adizata","1","1","1","0.89","1","1",,"0.56"
"Adreb","0.89","1","1","0.84","0.89","0.97",,"0.28"
"AgazenMeda","0.95","1","1","0.84","0.95","0.84",,"0.66"
"Agazi","0.81","0.84","1","0.62","0.81","0.92",,"0.72"
"Agbe","0.89","1","1","0.81","0.89","0.89",,"0.84"
"Agela","0.81","1","1","0.51","0.81","0.7",,"0.81"
"Agid","1","1","1","0.59","1","0.78",,"0.91"
"AlemeTesfa","0.84","0.95","1","0.84","0.84","0.92",,"0.78"
"AmdiWeyane","0.51","0.95","1","0.86","0.51","0.92",,"0.66"
"Amedwuha","0.89","0.97","1","0.97","0.89","0.89",,"0.5"
"Ameno","1","1","1","0.41","1","0.73",,"0.81"
"Amisetya","1","1","1","0.89","1","0.92",,"0.88"
"Angot","0.92","1","1","1","0.92","0.73",,"0.66"
"Anigot","0.81","1","1","0.59","0.81","0.7",,"0.81"
"Ansheb","0.95","0.95","1","0.81","0.95","1",,"0.5"
"AquaShumoch","0.92","1","1","1","0.92","0.62",,"0.22"
"Aquha","1","1","1","0.68","1","0.89",,"0.88"
"Arena","0.95","0.95","0.89","0.76","0.95","0.92",,"0.59"
"Asmena","0.73","0.95","1","0.62","0.73","1",,"0.72"
"Asta","1","1","1","0.27","1","0.41",,"0.81"
"Atakilti","0.81","1","1","1","0.81","0.86",,"0.88"
"AwetBikalsi","0.62","0.78","0.92","0.51","0.62","0.92",,"0.84"
"AwusaMeda","0.84","0.95","1","0.92","0.84","0.89",,"0.78"
"Ayba","0.95","0.97","1","1","0.95","0.38",,"0.66"
"Aynalem","0.78","0.92","0.97","0.59","0.78","0.95",,"0.81"
"Bala","1","0.92","0.95","0.73","1","0.3",,"0.53"
"Balarab","1","1","1","1","1","0.89",,"0.88"
"Bamba","0.86","1","1","1","0.86","0.92",,"0.66"
"BarkaAdiswha","0.73","0.81","0.92","0.46","0.73","0.92",,"0.81"
"Begasheka","0.89","1","1","0.73","0.89","0.73",,"0.88"
"Berlay","0.92","0.95","1","0.81","0.92","0.73",,"0.78"
"Betgebez","1","0.97","1","0.7","1","1",,"0.53"
"Bethans","0.97","1","1","0.97","0.97","0.81",,"0.38"
"BilbWuha","0.86","1","1","0.38","0.86","0.86",,"0.5"
"Birkutea","0.89","1","1","0.59","0.89","1",,"0.81"
"Boneya","0.95","0.97","1","0.81","0.95","0.92",,"0.56"
"Burkoche","1","0.95","1","0.68","1","0.95",,"0.88"
"Cheli","0.81","0.89","1","0.86","0.81","0.86",,"0.66"
"Darubekeda","1","1","1","0.97","1","0.92",,"0.81"
"Deberkerbye","1","1","1","1","1","0.97",,"0.78"
"DeberAbaJale","0.81","1","1","1","0.81","0.84",,"0.22"
"DebrAbay","1","0.95","1","0.92","1","0.84",,"0.78"
"DebreAliays","0.97","0.97","1","0.92","0.97","0.76",,"0.78"
"Debrebirhan","0.76","0.92","1","0.68","0.76","0.43",,"0.72"
"Debrebrhan","0.95","0.97","0.97","0.54","0.95","0.92",,"0.75"
"DebreGenet","0.89","1","1","1","0.89","0.86",,"0.78"
"DebreGenetA","1","1","1","0.84","1","0.86",,"0.38"
"DebreGenetK","0.84","1","1","0.73","0.84","0.86",,"0.88"
"DebreGeorgis","0.84","0.95","1","0.92","0.84","0.86",,"0.78"
"DebreKidusan","0.86","1","1","1","0.86","0.86",,"0.78"
"Debremawie","0.92","0.95","1","1","0.92","0.92",,"0.78"
"Debreselam","0.92","0.92","0.97","0.7","0.92","0.86",,"0.72"
"Debrinetseb","0.89","1","1","1","0.89","0.68",,"0.88"
"Dekera","0.43","0.97","1","0.84","0.43","0.73",,"0.06"
"DembezaAmbaLay","0.92","0.95","1","1","0.92","0.89",,"0.78"
"Derit","0.95","1","1","0.92","0.95","0.92",,"0.66"
"Derita","1","1","1","0.27","1","0.76",,"0.81"
"Dinkashena","0.97","1","1","1","0.97","0.78",,"0.81"
"Ebo","0.92","0.86","0.89","0.7","0.92","0.65",,"0.66"
"Edagaarbi","1","0.92","1","0.7","1","0.97",,"0.53"
"EmbaAhfrom","0.97","0.97","1","0.62","0.97","0.89",,"0.56"
"EmbachekoGunaguna","0.92","1","1","1","0.92","0.81",,"0.22"
"EndaBagerima","1","1","1","1","1","0.92",,"0.38"
"Endabano","0.43","0.89","0.68","0.54","0.43","0.86",,"0.5"
"Endachiwa","1","0.95","1","0.84","1","0.84",,"0.56"
"EndaFelasi","0.62","0.76","1","0.76","0.62","0.92",,"0.5"
"Endagahamus","0.86","0.95","0.86","0.68","0.86","0.86",,"0.56"
"Endamariam","1","1","1","0.81","1","1",,"0.53"
"Erba","1","0.95","0.81","0.65","1","0.57",,"0.53"
"Esiret","0.81","0.86","1","1","0.81","0.89",,"0.66"
"Estifanos","0.89","1","1","0.57","0.89","0.81",,"0.81"
"Fala","1","1","1","0.95","1","1",,"0.91"
"Felegehiwot","0.89","1","1","1","0.89","0.65",,"0.78"
"FelegeWayane","0.7","0.84","0.86","0.49","0.7","0.62",,"0.81"
"FikreAlem","1","0.97","1","0.95","1","0.84",,"0.41"
"Filatako","0.95","1","1","0.95","0.95","0.89",,"0.66"
"Gebsit","0.95","0.95","1","0.81","0.95","0.76",,"0.56"
"Gedayasu","0.95","0.95","1","0.84","0.95","0.86",,"0.5"
"GelaMatebiya","0.84","1","1","1","0.84","0.84",,"0.22"
"Gendebta","1","1","1","0.95","1","0.97",,"0.56"
"Geneti","0.97","0.84","0.86","0.76","0.97","0.68",,"0.66"
"Genfel","0.76","0.92","1","0.7","0.76","0.89",,"0.81"
"Gera","0.89","0.84","1","0.84","0.89","0.95",,"0.78"
