"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila","0.19","0.89","0.46","0.51","0.59","0.86","0.35","0.24","0.65","0.08","0.62","0.73","0.27","1","0.97","0.08","0.22","0.16","0.43","0.49","0.32","0.41","0.54","0.08","0.76","0.78","0.81","0.11","0.84","0.38","0.57","0.7","0.68","0.3","0.14","0.92","0.95"
"Abara","0.14","1","0.05","0.76","0.54","0.24","0.32","0.22","0.78","0.16","0.81","0.43","0.19","0.86","0.92","0.11","0.65","0.3","0.7","0.62","0.49","0.59","0.35","0.38","0.51","0.57","0.43","0.46","0.84","0.27","0.95","0.03","0.68","0.97","0.08","0.89","0.73"
"Abarwuha","0.11","0.97","0.32","0.81","0.24","0.19","0.03","0.43","0.3","0.41","0.65","0.54","0.46","0.7","0.92","0.86","0.81","0.51","0.73","0.62","0.59","0.3","0.22","0.35","0.38","0.95","0.68","0.16","0.76","0.05","0.14","0.57","0.49","1","0.08","0.89","0.84"
"Abaselima","0.08","1","0.03","0.92","0.54","0.11","0.19","0.24","0.68","0.32","0.73","0.46","0.49","0.78","0.95","0.16","0.7","0.22","0.84","0.57","0.3","0.46","0.27","0.35","0.59","0.65","0.46","0.51","0.81","0.14","0.86","0.46","0.62","0.89","0.05","0.97","0.76"
"Abina","0.19","0.89","0.65","0.62","0.68","0.86","0.38","0.3","0.76","0.11","0.46","0.84","0.27","0.92","1","0.11","0.49","0.22","0.41","0.54","0.24","0.32","0.73","0.11","0.7","0.81","0.78","0.14","0.51","0.43","0.62","0.11","0.62","0.35","0.16","0.97","0.95"
"AbrahaAtsbaha","0.84","0.54","0.51","0.97","1","0.3","0.24","0.22","0.68","0.22","0.86","0.92","0.22","0.81","0.78","0.89","0.32","0.7","0.22","0.38","0.59","0.46","0.22","0.73","0.43","0.35","0.22","0.41","0.95","0.57","0.27","0.49","0.76","0.62","0.22","0.65","0.22"
"Abrekuy","0.14","0.65","0.03","0.89","0.51","0.22","0.08","0.41","0.49","0.16","0.78","0.81","0.32","0.73","1","0.62","0.54","0.38","0.97","0.43","0.19","0.3","0.11","0.46","0.59","0.92","0.73","0.35","0.76","0.3","0.57","0.3","0.68","0.86","0.05","0.95","0.84"
"AdekeAla","0.68","0.24","0.08","0.95","0.92","0.03","0.97","0.11","0.81","0.19","0.59","0.7","0.41","1","0.51","0.35","0.57","0.62","0.73","0.05","0.78","0.27","0.32","0.57","0.38","0.49","0.3","0.86","0.76","0.22","0.43","0.14","0.16","0.65","0.46","0.84","0.89"
"Adekiney","0.51","0.3","0.27","1","0.7","0.46","0.32","0.24","0.24","0.54","0.95","0.24","0.24","0.86","0.97","0.73","0.35","0.86","0.57","0.43","0.62","0.38","0.76","0.92","0.49","0.24","0.59","0.78","0.86","0.89","0.24","0.24","0.24","0.68","0.24","0.41","0.65"
"AderSeg","0.19","0.89","0.46","0.51","0.59","0.86","0.35","0.24","0.65","0.08","0.62","0.73","0.27","1","0.97","0.08","0.22","0.16","0.43","0.49","0.32","0.41","0.54","0.08","0.76","0.78","0.81","0.11","0.84","0.38","0.57","0.7","0.68","0.3","0.14","0.92","0.95"
"Adibearj","0.68","0.08","0.32","0.46","1","0.7","0.89","0.05","0.16","0.27","0.76","0.51","0.43","1","1","0.84","0.57","0.22","0.14","0.19","0.35","0.3","0.86","0.24","0.41","0.38","0.54","0.62","0.81","0.49","0.11","0.65","0.03","0.78","0.59","0.73","1"
"AdiHa","0.68","0.19","0.35","0.76","0.95","0.84","0.43","0.32","0.57","0.05","0.78","0.89","0.05","1","0.62","0.7","0.59","0.54","0.16","0.11","0.3","0.38","0.49","0.41","0.14","0.08","0.24","0.92","0.73","0.51","0.22","0.49","0.27","0.86","0.65","0.81","0.97"
"AdiKisandid","0.84","0.54","0.51","0.81","1","0.3","0.22","0.19","0.59","0.19","0.7","0.86","0.41","0.89","0.76","0.95","0.32","0.97","0.19","0.43","0.68","0.35","0.19","0.73","0.57","0.38","0.19","0.19","0.78","0.65","0.27","0.46","0.92","0.62","0.24","0.49","0.19"
"Adisalem","0.24","0.89","0.14","0.7","0.19","0.73","0.16","0.3","0.62","0.22","0.95","0.68","0.11","0.84","1","0.38","0.76","0.49","0.54","0.41","0.51","0.35","0.32","0.46","0.59","0.81","0.57","0.65","0.86","0.27","0.11","0.11","0.43","0.78","0.11","0.95","0.97"
"AdisAlemS","0.68","0.24","0.08","0.95","0.92","0.03","0.97","0.11","0.81","0.19","0.59","0.7","0.41","1","0.51","0.35","0.57","0.62","0.73","0.05","0.78","0.27","0.32","0.57","0.38","0.49","0.3","0.86","0.76","0.22","0.43","0.14","0.16","0.65","0.46","0.84","0.89"
"AdisAlemW","0.84","0.32","0.19","0.76","0.92","0.24","0.22","0.16","0.49","0.16","0.78","0.76","0.16","0.68","1","0.95","0.16","0.81","0.16","0.3","0.86","0.57","0.59","0.65","0.27","0.41","0.35","0.38","0.89","0.7","0.43","0.16","0.54","0.62","0.46","0.51","0.97"
"Adiselam","0.49","0.03","0.41","0.68","1","0.73","1","0.08","0.14","0.27","0.81","0.43","0.35","1","1","1","0.24","0.22","0.3","0.05","0.59","0.11","0.65","0.22","0.38","0.54","0.76","0.84","0.7","0.46","0.32","0.59","0.22","0.62","0.51","0.78","1"
"Adishimbirkti","1","0.49","0.43","0.92","0.54","0.43","0.51","0.43","0.86","0.43","0.46","0.43","0.62","0.97","0.95","0.43","0.59","0.57","0.84","0.43","0.76","0.7","0.78","0.43","0.73","0.68","0.43","0.43","0.43","0.43","0.43","0.43","0.43","0.81","0.43","0.89","0.65"
"AdisKigni","0.84","0.51","0.49","0.97","0.59","0.49","0.54","0.49","0.49","0.49","0.49","0.49","0.62","0.89","1","0.49","0.57","0.95","0.86","0.76","0.49","0.68","0.49","0.49","0.49","0.73","0.49","0.65","0.92","0.78","0.49","0.49","0.49","0.49","0.7","0.49","0.81"
"Adiyikoro","0.84","0.86","0.41","0.73","0.95","0.32","0.22","0.19","0.24","0.19","0.76","0.73","0.43","0.81","1","0.97","0.27","0.78","0.19","0.35","0.89","0.49","0.51","0.62","0.59","0.19","0.54","0.46","0.73","0.73","0.3","0.19","0.19","0.57","0.19","0.38","0.92"
"Adizata","0.84","0.86","0.41","0.73","0.95","0.32","0.22","0.19","0.24","0.19","0.76","0.73","0.43","0.81","1","0.97","0.27","0.78","0.19","0.35","0.89","0.49","0.51","0.62","0.59","0.19","0.54","0.46","0.73","0.73","0.3","0.19","0.19","0.57","0.19","0.38","0.92"
"Adreb","0.57","0.08","0.49","0.73","1","0.81","0.65","0.03","0.41","0.14","0.78","0.73","0.46","0.84","0.89","0.95","0.3","0.27","0.24","0.05","0.32","0.16","0.51","0.24","0.54","0.38","0.62","0.92","0.73","0.43","0.35","0.24","0.11","0.76","0.59","0.86","1"
"AgazenMeda","0.11","1","0.38","0.81","0.27","0.3","0.08","0.49","0.81","0.43","0.59","0.54","0.41","0.62","0.95","0.89","0.7","0.32","0.57","0.76","0.24","0.19","0.22","0.05","0.65","0.86","0.51","0.14","0.73","0.16","0.35","0.46","0.68","0.84","0.03","0.97","0.92"
"Agazi","1","0.32","0.3","0.89","0.43","0.3","0.35","0.3","0.68","0.3","0.95","0.3","0.3","0.97","0.81","0.92","0.3","0.78","0.3","0.51","0.76","0.41","0.59","0.49","0.54","0.38","0.73","0.3","0.89","0.57","0.46","0.3","0.7","0.84","0.3","0.65","0.62"
"Agbe","0.7","0.16","0.11","0.54","0.97","0.32","0.62","0.19","0.81","0.41","0.78","0.73","0.51","0.92","0.89","0.65","0.43","0.59","0.14","0.08","0.38","0.51","0.22","0.57","0.27","0.3","0.24","0.95","0.68","0.35","0.05","0.03","0.46","0.86","0.76","0.84","1"
"Agela","0.05","0.51","0.27","0.24","1","0.7","0.73","0.51","0.11","0.22","0.65","1","0.68","1","0.81","0.62","0.19","0.35","0.84","0.41","0.32","0.03","0.3","0.76","0.59","1","0.57","0.16","1","0.54","0.38","0.08","0.51","0.51","0.14","1","0.78"
"Agid","0.65","1","0.22","0.38","1","0.54","0.7","0.35","0.08","0.11","0.49","0.46","0.78","0.73","1","0.59","0.05","0.16","1","0.35","0.43","0.03","0.19","1","0.76","0.68","0.51","0.14","1","0.24","0.35","0.41","0.57","0.35","0.62","1","0.81"
"AlemeTesfa","0.19","1","0.08","0.89","0.27","0.41","0.14","0.46","0.62","0.3","0.54","0.59","0.76","0.68","0.84","0.86","0.7","0.22","0.49","0.81","0.32","0.24","0.35","0.05","0.38","0.73","0.43","0.78","0.65","0.57","0.16","0.05","0.51","0.95","0.11","0.97","0.92"
"AmdiWeyane","0.68","0.24","0.08","0.95","0.92","0.03","0.97","0.11","0.81","0.19","0.59","0.7","0.41","1","0.51","0.35","0.57","0.62","0.73","0.05","0.78","0.27","0.32","0.57","0.38","0.49","0.3","0.86","0.76","0.22","0.43","0.14","0.16","0.65","0.46","0.84","0.89"
"Amedwuha","0.95","0.43","0.41","0.86","0.68","0.62","0.46","0.38","1","0.38","0.73","0.38","0.51","0.97","0.89","0.38","0.49","0.81","0.84","0.38","0.78","0.59","0.38","0.38","0.7","0.76","0.38","0.38","0.38","0.65","0.38","0.38","0.38","0.92","0.38","0.54","0.57"
"Ameno","0.24","0.68","0.14","0.49","1","0.89","0.35","0.68","0.3","0.03","0.54","0.84","0.46","0.86","1","0.57","0.32","0.19","0.92","0.68","0.22","0.05","0.27","0.51","0.73","0.78","0.7","0.08","0.81","0.38","0.43","0.11","0.68","0.41","0.16","0.76","0.95"
"Amisetya","0.86","0.89","0.3","0.7","0.73","0.76","0.43","0.35","0.81","0.11","0.32","0.78","0.19","0.97","1","0.11","0.7","0.51","0.54","0.57","0.22","0.41","0.59","0.11","0.7","0.92","0.49","0.14","0.16","0.24","0.38","0.11","0.7","0.46","0.27","0.95","0.84"
"Angot","0.11","0.97","0.32","0.81","0.24","0.19","0.03","0.43","0.3","0.41","0.65","0.54","0.46","0.7","0.92","0.86","0.81","0.51","0.73","0.62","0.59","0.3","0.22","0.35","0.38","0.95","0.68","0.16","0.76","0.05","0.14","0.57","0.49","1","0.08","0.89","0.84"
"Anigot","0.05","0.51","0.27","0.24","1","0.7","0.73","0.51","0.11","0.22","0.65","1","0.68","1","0.81","0.62","0.19","0.35","0.84","0.41","0.32","0.03","0.3","0.76","0.59","1","0.57","0.16","1","0.54","0.38","0.08","0.51","0.51","0.14","1","0.78"
"Ansheb","0.11","1","0.05","0.92","0.57","0.51","0.27","0.43","0.73","0.14","0.7","0.38","0.38","0.92","0.95","0.22","0.65","0.49","0.78","0.54","0.46","0.32","0.19","0.16","0.62","0.76","0.92","0.41","0.81","0.3","0.24","0.03","0.59","0.97","0.08","0.92","0.68"
"AquaShumoch","0.05","0.89","0.38","0.3","0.86","0.81","0.14","0.22","0.51","0.11","0.24","0.68","0.35","0.97","0.92","0.65","0.59","0.43","0.73","0.7","0.22","0.32","0.27","0.03","0.41","0.84","0.78","0.49","0.95","0.57","0.08","0.62","0.46","0.54","0.22","0.76","1"
"Aquha","0.32","0.89","0.27","0.73","0.41","0.59","0.16","0.46","0.78","0.14","0.49","0.92","0.38","0.95","1","0.14","0.73","0.3","0.51","0.73","0.22","0.43","0.57","0.14","0.73","0.84","0.76","0.19","0.14","0.35","0.73","0.14","0.97","0.54","0.24","0.86","0.81"
"Arena","0.81","0.27","0.16","0.73","0.97","0.3","0.22","0.41","0.35","0.14","0.76","0.73","0.14","0.65","0.95","0.89","0.14","0.78","0.14","0.19","0.46","0.49","0.62","0.73","0.24","0.51","0.38","0.32","1","0.84","0.59","0.14","0.43","0.86","0.57","0.54","0.92"
"Asmena","1","0.3","0.32","0.86","0.46","0.51","0.57","0.27","0.27","0.27","0.97","0.27","0.27","0.78","0.73","0.89","0.38","0.81","0.68","0.59","0.84","0.43","0.7","0.54","0.62","0.27","0.35","0.41","0.95","0.95","0.65","0.27","0.27","0.76","0.27","0.49","0.27"
"Asta","0.05","0.62","0.38","0.41","0.7","0.97","0.68","0.62","0.14","0.03","0.51","0.86","0.35","0.89","1","0.65","0.3","0.24","0.92","0.62","0.19","0.08","0.16","0.49","0.76","0.84","0.73","0.43","0.95","0.46","0.27","0.11","0.62","0.32","0.22","0.78","0.81"
"Atakilti","0.46","0.05","0.19","0.51","0.95","0.62","0.89","0.14","0.76","0.03","0.84","0.68","0.35","1","0.81","0.73","0.41","0.38","0.22","0.54","0.59","0.24","0.35","0.43","0.16","0.49","0.86","0.92","0.73","0.35","0.08","0.11","0.35","0.65","0.57","0.78","1"
