"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.18","0.09","0.73","0.27","0.36","0.91","1","0.64","0.82","0.55",,
"Abara",,,,,,,,,,,,,,,,,,,,,,,,,"0.55","0.27","0.45","0.64","0.09","0.36","1","0.73","0.18","0.91","0.82",,
"Abarwuha",,,,,,,,,,,,,,,,,,,,,,,,,"0.27","0.18","0.45","0.55","0.36","0.09","0.82","0.73","0.64","0.91","1",,
"Abaselima",,,,,,,,,,,,,,,,,,,,,,,,,"0.55","0.27","0.18","0.64","0.09","0.45","1","0.82","0.36","0.91","0.73",,
"Abina",,,,,,,,,,,,,,,,,,,,,,,,,"0.55","0.18","0.09","0.82","0.36","0.27","0.91","1","0.64","0.73","0.45",,
"AbrahaAtsbaha",,,,,,,,,,,,,,,,,,,,,,,,,"0.64","0.18","0.09","0.55","0.73","0.45","0.36","1","0.27","0.82","0.91",,
"Abrekuy",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.36","0.27","0.55","0.18","0.64","1","0.91","0.09","0.73","0.82",,
"AdekeAla",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.18","0.09","1","0.55","0.36","0.64","0.82","0.27","0.91","0.73",,
"Adekiney",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.09","0.18","0.55","0.82","0.64","0.36","1","0.27","0.91","0.73",,
"AderSeg",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.18","0.09","0.82","0.36","0.36","0.91","1","0.64","0.73","0.55",,
"Adibearj",,,,,,,,,,,,,,,,,,,,,,,,,"0.27","0.18","0.09","0.91","0.45","0.55","0.73","1","0.36","0.82","0.64",,
"AdiHa",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.18","0.09","0.82","0.73","0.27","0.64","1","0.36","0.91","0.55",,
"AdiKisandid",,,,,,,,,,,,,,,,,,,,,,,,,"0.64","0.09","0.27","0.55","0.73","0.36","0.45","1","0.18","0.82","0.91",,
"Adisalem",,,,,,,,,,,,,,,,,,,,,,,,,"0.36","0.27","0.64","0.55","0.45","0.09","1","0.73","0.18","0.82","0.91",,
"AdisAlemS",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.27","0.09","1","0.55","0.36","0.73","0.91","0.18","0.82","0.64",,
"AdisAlemW",,,,,,,,,,,,,,,,,,,,,,,,,"0.36","0.18","0.09","0.64","0.82","0.73","0.45","1","0.27","0.91","0.55",,
"Adiselam",,,,,,,,,,,,,,,,,,,,,,,,,"0.36","0.18","0.09","0.91","0.55","0.45","0.73","1","0.27","0.82","0.64",,
"Adishimbirkti",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.55","0.09","0.64","0.18","0.36","0.82","1","0.27","0.73","0.91",,
"AdisKigni",,,,,,,,,,,,,,,,,,,,,,,,,"0.36","0.45","0.09","0.64","0.18","0.55","0.82","1","0.27","0.73","0.91",,
"Adiyikoro",,,,,,,,,,,,,,,,,,,,,,,,,"0.36","0.18","0.09","0.82","0.55","0.64","0.45","1","0.27","0.91","0.73",,
"Adizata",,,,,,,,,,,,,,,,,,,,,,,,,"0.45","0.27","0.09","0.82","0.55","0.73","0.36","1","0.18","0.91","0.64",,
"Adreb",,,,,,,,,,,,,,,,,,,,,,,,,"0.27","0.18","0.09","0.91","0.45","0.55","0.73","1","0.36","0.82","0.64",,
