"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"AbaBikila",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.64","0.36","0.27","0.55","0.82","0.91","0.18","0.09","0.73","0.45",,
"Abara",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.45","0.64","0.27","0.36","0.91","0.82","0.18","0.09","0.73","0.55",,
"Abarwuha",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.55","0.27","0.45","0.64","0.91","0.73","0.18","0.09","0.82","0.36",,
"Abaselima",,,,,,,,,,,,,,,,,,,,,,,,,"0.91","0.55","0.64","0.27","0.36","1","0.82","0.18","0.09","0.73","0.45",,
"Abina",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.55","0.36","0.27","0.64","0.82","0.91","0.18","0.09","0.73","0.45",,
"AbrahaAtsbaha",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.18","0.64","0.27","0.45","0.91","0.73","0.55","0.09","0.82","0.36",,
"Abrekuy",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.55","0.64","0.27","0.45","0.91","0.82","0.18","0.09","0.73","0.36",,
"AdekeAla",,,,,,,,,,,,,,,,,,,,,,,,,"0.91","0.27","0.45","0.64","0.73","1","0.36","0.55","0.09","0.82","0.18",,
"Adekiney",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.18","0.64","0.27","0.55","0.91","0.45","0.73","0.09","0.82","0.36",,
"AderSeg",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.64","0.36","0.27","0.55","0.82","0.91","0.18","0.09","0.73","0.45",,
"Adibearj",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.36","0.45","0.64","0.18","0.82","0.09","0.91","0.27","0.73","0.55",,
"AdiHa",,,,,,,,,,,,,,,,,,,,,,,,,"0.91","0.27","0.73","0.18","0.55","1","0.45","0.64","0.09","0.82","0.36",,
"AdiKisandid",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.09","0.64","0.27","0.55","0.91","0.73","0.45","0.18","0.82","0.36",,
"Adisalem",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.45","0.55","0.27","0.36","0.82","0.73","0.18","0.09","0.91","0.64",,
"AdisAlemS",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.27","0.36","0.64","0.73","0.91","0.45","0.55","0.09","0.82","0.18",,
"AdisAlemW",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.36","0.73","0.18","0.27","0.91","0.55","0.64","0.09","0.82","0.45",,
"Adiselam",,,,,,,,,,,,,,,,,,,,,,,,,"0.91","0.36","0.64","0.55","0.18","0.82","0.27","1","0.09","0.73","0.45",,
"Adishimbirkti",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.27","0.64","0.36","0.45","0.91","0.73","0.18","0.09","0.82","0.55",,
"AdisKigni",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.27","0.45","0.36","0.64","0.91","0.73","0.18","0.09","0.82","0.55",,
"Adiyikoro",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.55","0.64","0.45","0.09","0.91","0.27","0.82","0.18","0.73","0.36",,
"Adizata",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.45","0.64","0.55","0.36","0.91","0.18","0.73","0.09","0.82","0.27",,
"Adreb",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.36","0.64","0.45","0.09","0.73","0.27","0.91","0.18","0.82","0.55",,
"AgazenMeda",,,,,,,,,,,,,,,,,,,,,,,,,"0.91","0.55","0.36","0.45","0.64","1","0.73","0.18","0.09","0.82","0.27",,
"Agazi",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.09","0.64","0.27","0.45","0.82","0.73","0.55","0.18","0.91","0.36",,
"Agbe",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.18","0.64","0.27","0.55","0.91","0.45","0.73","0.09","0.82","0.36",,
"Agela",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.64","0.09","0.27","0.55","0.82","0.91","0.36","0.18","0.73","0.45",,
"Agid",,,,,,,,,,,,,,,,,,,,,,,,,"0.91","0.82","0.09","0.18","0.45","0.64","0.73","0.36","0.27","1","0.55",,
"AlemeTesfa",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.55","0.64","0.27","0.55","0.73","0.82","0.18","0.09","0.91","0.36",,
"AmdiWeyane",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.18","0.36","0.55","0.73","0.91","0.45","0.64","0.09","0.82","0.27",,
