"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.59","0.51","0.54","0.78","0.59","0.3",,"1"
"Abara","0.54","0.73","0.86","0.78","0.54","0.05",,"0.81"
"Abarwuha","0.24","0.14","1","0.49","0.24","0.76",,"1"
"Abaselima","0.54","0.73","0.86","0.86","0.54","0.14",,"0.81"
"Abina","0.68","0.73","0.59","0.78","0.68","0.14",,"1"
"AbrahaAtsbaha","1","0.78","0.41","0.46","1","0.43",,"1"
"Abrekuy","0.51","0.7","0.81","0.84","0.51","0.05",,"0.81"
"AdekeAla","0.92","0.81","0.89","0.76","0.92","0.24",,"0.97"
"Adekiney","0.7","0.89","0.22","0.16","0.7","0.62",,"1"
"AderSeg","0.59","0.51","0.57","0.78","0.59","0.32",,"1"
"Adibearj","1","0.76","0.89","0.7","1","0.78",,"0.91"
"AdiHa","0.95","0.54","1","0.78","0.95","0.76",,"1"
"AdiKisandid","1","0.73","0.27","0.46","1","0.59",,"1"
"Adisalem","0.19","0.73","0.57","0.57","0.19","0.16",,"0.97"
"AdisAlemS","0.92","0.81","0.92","0.73","0.92","0.62",,"0.97"
"AdisAlemW","0.92","0.89","0.57","0.57","0.92","0.7",,"0.88"
"Adiselam","1","0.57","1","1","1","0.68",,"0.31"
"Adishimbirkti","0.54","0.54","0.43","0.27","0.54","0.65",,"0.75"
"AdisKigni","0.59","0.05","0.57","0.57","0.59","0.49",,"0.84"
"Adiyikoro","0.95","0.84","0.81","0.41","0.95","0.65",,"0.88"
"Adizata","0.95","0.86","0.84","0.35","0.95","0.62",,"0.88"
"Adreb","1","0.73","0.78","0.81","1","0.92",,"0.31"
"AgazenMeda","0.27","0.14","0.84","0.32","0.27","0.41",,"1"
"Agazi","0.43","0.89","0.24","0.14","0.43","0.24",,"0.97"
"Agbe","0.97","0.41","1","0.59","0.97","0.59",,"1"
"Agela","1","0.24","1","1","1","0.81",,"0.78"
"Agid","1","0.19","1","1","1","0.89",,"0.78"
"AlemeTesfa","0.27","0.73","0.73","0.49","0.27","0.12",,"0.97"
"AmdiWeyane","0.92","0.73","1","0.76","0.92","0.35",,"0.97"
"Amedwuha","0.68","0.76","0.3","0.03","0.68","0.65",,"0.56"
"Ameno","1","0.05","1","1","1","0.57",,"0.78"
"Amisetya","0.73","0.73","0.65","0.3","0.73","0.16",,"1"
"Angot","0.24","0.32","1","0.7","0.24","0.81",,"1"
"Anigot","1","0.24","1","1","1","0.84",,"0.78"
"Ansheb","0.57","0.73","0.73","0.7","0.57","0.03",,"0.97"
"AquaShumoch","0.86","0.11","1","1","0.86","0.68",,"0.94"
"Aquha","0.41","0.76","0.62","0.11","0.41","0.22",,"1"
"Arena","0.97","0.86","0.7","0.62","0.97","0.43",,"0.97"
"Asmena","0.46","0.81","0.16","0.14","0.46","0.46",,"0.97"
"Asta","0.7","0.05","1","0.76","0.7","0.76",,"0.78"
"Atakilti","0.95","0.73","1","0.76","0.95","0.73",,"0.94"
"AwetBikalsi","0.95","0.7","0.95","0.86","0.95","0.78",,"1"
