"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","48","54","0.14","75","1","72.1","0.05","75","1","53.9647728529412","0.14","0.336280769672644","0.89",,,"14.0488335160001","0.03"
"1984-1977","35","58","0.19","75","1","75","1","75","1","57.935657","0.19","0.283933734984969","0.16",,,"115.809307446119","0.97"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.325241484512352","0.76",,,"101.404444619159","0.81"
"1986-1979","0","75","1","75","1","75","1","75","1","75","1","0.311485495121953","0.62",,,"102.409036208788","0.88"
"1987-1980","49","54","0.11","75","1","74.2","0.11","75","1","53.8285481428571","0.11","0.27586013757394","0.03",,,"69.897763333238","0.31"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.308755571621312","0.57",,,"87.6311908524923","0.56"
"1989-1982","0","75","1","75","1","75","1","75","1","75","1","0.317201079413006","0.7",,,"83.5690982164057","0.47"
"1990-1983","0","68","0.24","75","1","75","1","75","1","68.171717","0.24","0.347190538926924","0.92",,,"92.1230839953558","0.59"
"1991-1984","0","75","1","75","1","75","1","75","1","75","1","0.320794538377291","0.73",,,"46.2478693496178","0.19"
"1992-1985","68","48","0.03","75","1","68.9","0.03","62","0.05","48.346644","0.03","0.330299482162008","0.81",,,"48.430975761667","0.22"
"1993-1986","62","50","0.08","75","1","75","1","75","1","50","0.08","0.311624976957776","0.65",,,"78.4272021749291","0.41"
"1994-1987","0","74","0.41","75","1","75","1","75","1","74.3295260833333","0.41","0.366602317029511","1",,,"139.776282400624","1"
"1995-1988","0","75","1","75","1","72.6","0.08","75","1","75","1","0.296271556090686","0.27",,,"80.2661277973602","0.44"
"1996-1989","0","75","1","75","1","75","1","75","1","75","1","0.281691977318943","0.08",,,"78.3878616168157","0.38"
"1997-1990","0","75","1","75","1","75","1","75","1","75","1","0.288898744744077","0.22",,,"33.9629454828274","0.16"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.307081707228387","0.51",,,"53.9951445824944","0.25"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.304976136875932","0.46",,,"32.6173151115494","0.12"
"2000-1993","0","75","1","75","1","75","1","75","1","75","1","0.3518383","0.95",,,"77.6","0.34"
"2001-1994","0","73","0.35","75","1","75","1","75","1","72.687721","0.35","0.3085058","0.54",,,"27.4","0.09"
"2002-1995","0","73","0.38","75","1","75","1","75","1","73.385485","0.38","0.2846844","0.19",,,"17.9","0.06"
"2003-1996","0","75","1","75","1","75","1","75","1","75","1","0.3256735","0.78",,,"84.4","0.53"
"2004-1997","41","56","0.16","75","1","75","1","74","0.08","55.984439","0.16","0.3312157","0.84",,,"56.7","0.28"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.3017485","0.41",,,"102.9","0.94"
"2006-1999","62","50","0.08","75","1","75","1","75","1","50","0.08","0.298146","0.3",,,"93.3","0.66"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.2942577","0.24","21.69355","0.36","102.3","0.84"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.2983817","0.32","18.20967","0.18","101","0.78"
"2009-2002","0","75","1","75","1","75","1","75","1","75","1","0.357297","0.97","22.64516","0.45","84.3","0.5"
"2010-2003","0","72","0.32","75","1","75","1","75","1","71.792116","0.32","0.2989282","0.35","23.16129","0.64","98.2","0.75"
"2011-2004","0","68","0.27","75","1","75","1","75","1","68.185706","0.27","0.3104624","0.59","22.77419","0.55","94.3","0.72"
"2012-2005","0","75","1","75","1","75","1","75","1","75","1","0.3039548","0.43","17.58064","0.09","102.9","0.94"
"2013-2006","0","75","1","75","1","75","1","75","1","75","1","0.3132136","0.68","31.01613","1","93.8","0.69"
"2014-2007","0","69","0.3","75","1","75","1","75","1","69.409862","0.3","0.3320125","0.86","28.37096","0.73","92.9","0.62"
"2015-2008","19","63","0.22","75","1","75","1","51","0.03","62.525663","0.22","0.3006335","0.38","20.17742","0.27",,
"2016-2009","0","75","1","75","1","75","1","75","1","75","1","0.2820455","0.11","29.09678","0.82",,
"2017-2010","0","75","1","75","1","75","1","75","1","75","1","0.2827429","0.14","30.62903","0.91",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.2786146","0.05",,,,
"2019-2012","0","75","1","75","1","75","1","75","1","75","1","0.3068874","0.49",,,,
