"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Simret","Simret","Simret","Simret","Simret","Simret","Simret","Simret"
"Region","Ganta-afeshum","Ganta-afeshum","Ganta-afeshum","Ganta-afeshum","Ganta-afeshum","Ganta-afeshum","Ganta-afeshum","Ganta-afeshum"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","7","0.51","12","38","0.22","11.95","0"
"1984-1977","100","0","0.3","88","17","0.03","187.56","0"
"1985-1978","100","0","0.27","0","75","1","100","0"
"1986-1979","0","41","1","0","51","0.51","0","0"
"1987-1980","0","14","0.7","35","31","0.14","35.27","0"
"1988-1981","100","5","0.46","0","75","1","100","0"
"1989-1982","100","1","0.32","41","30","0.11","140.85","0"
"1990-1983","100","0","0.24","0","45","0.35","100","0"
"1991-1984","100","0","0.24","34","32","0.16","134.43","1"
"1992-1985","0","8","0.54","0","50","0.49","0","0"
"1993-1986","0","30","0.95","0","47","0.43","0","0"
"1994-1987","100","0","0.24","0","75","1","100","1"
"1995-1988","100","0","0.24","0","73","0.86","100","1"
"1996-1989","0","25","0.86","1","41","0.24","1.31","0"
"1997-1990","0","34","0.97","0","50","0.46","0","1"
"1998-1991","0","17","0.73","0","71","0.78","0","0"
"1999-1992","100","2","0.35","0","73","0.84","100","0"
"2000-1993","0","25","0.86","0","54","0.57","0","1"
"2001-1994","0","9","0.57","0","43","0.32","0","0"
"2002-1995","100","5","0.43","43","29","0.08","142.77","0"
"2003-1996","0","11","0.62","0","46","0.41","0","0"
"2004-1997","100","2","0.38","0","45","0.38","100","0"
"2005-1998","0","19","0.76","0","41","0.27","0","0"
"2006-1999","0","29","0.92","23","35","0.19","22.9","0"
"2007-2000","0","6","0.49","0","75","1","0","0"
"2008-2001","100","0","0.24","0","67","0.73","100","0"
"2009-2002","0","10","0.59","0","65","0.7","0","0"
"2010-2003","0","20","0.78","0","52","0.54","0","0"
"2011-2004","0","25","0.86","0","41","0.3","0","0"
"2012-2005","0","28","0.89","0","55","0.59","0","0"
"2013-2006","100","0","0.24","0","62","0.68","100","0"
"2014-2007","100","0","0.24","0","62","0.65","100","0"
"2015-2008","100","0","0.24","0","72","0.81","100","0"
"2016-2009","0","13","0.68","0","60","0.62","0","0"
"2017-2010","100","0","0.24","0","75","1","100","0"
"2018-2011","100","4","0.41","0","68","0.76","100","0"
"2019-2012","0","12","0.65","52","27","0.05","51.76","0"
