"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","SelamH","SelamH","SelamH","SelamH","SelamH","SelamH","SelamH","SelamH"
"Region","Hawzien","Hawzien","Hawzien","Hawzien","Hawzien","Hawzien","Hawzien","Hawzien"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","28","0.86","31","40","0.14","30.73","0"
"1984-1977","100","0","0.3","0","52","0.41","100","0"
"1985-1978","100","0","0.27","0","75","1","100","0"
"1986-1979","0","50","1","0","67","0.62","0","0"
"1987-1980","0","35","0.97","50","34","0.08","50.37","0"
"1988-1981","100","4","0.43","0","75","1","100","0"
"1989-1982","100","0","0.32","0","65","0.59","100","0"
"1990-1983","100","0","0.27","0","50","0.3","100","0"
"1991-1984","0","9","0.54","28","41","0.16","27.85","1"
"1992-1985","100","0","0.27","0","50","0.3","100","0"
"1993-1986","0","11","0.57","0","59","0.46","0","1"
"1994-1987","100","0","0.27","0","75","1","100","0"
"1995-1988","100","0","0.27","0","75","1","100","0"
"1996-1989","0","12","0.62","0","51","0.35","0","0"
"1997-1990","0","33","0.95","0","50","0.3","0","0"
"1998-1991","0","26","0.84","0","75","1","0","0"
"1999-1992","100","0","0.27","0","75","1","100","0"
"2000-1993","0","18","0.76","0","59","0.49","0","0"
"2001-1994","100","0","0.27","0","50","0.3","100","0"
"2002-1995","100","4","0.46","85","24","0.03","184.71","0"
"2003-1996","0","14","0.68","35","39","0.11","35.18","0"
"2004-1997","0","8","0.51","0","50","0.3","0","1"
"2005-1998","0","7","0.49","0","61","0.51","0","0"
"2006-1999","0","29","0.89","81","25","0.05","80.65","0"
"2007-2000","100","3","0.38","0","75","1","100","0"
"2008-2001","0","18","0.78","0","64","0.57","0","0"
"2009-2002","100","1","0.35","0","51","0.38","100","0"
"2010-2003","100","0","0.27","0","75","1","100","0"
"2011-2004","0","31","0.92","0","62","0.54","0","0"
"2012-2005","0","16","0.73","0","75","0.76","0","0"
"2013-2006","100","0","0.27","0","73","0.7","100","0"
"2014-2007","100","0","0.27","0","75","1","100","1"
"2015-2008","0","11","0.59","0","67","0.65","0","0"
"2016-2009","0","24","0.81","0","58","0.43","0","0"
"2017-2010","100","3","0.41","0","73","0.68","100","0"
"2018-2011","0","16","0.7","0","75","0.73","0","0"
"2019-2012","0","13","0.65","0","51","0.32","0","0"
