"","Name","Lon","Lat"
"63","DebreAliays","38.4553","10.91651"
"64","Debrebirhan","39.46886","13.92454"
"65","Debrebrhan","39.4907","13.69226667"
"66","DebreGenet","38.31261","10.91103"
"67","DebreGenetA","38.963","14.107"
"68","DebreGenetK","39","13.6"
"69","DebreGeorgis","38.44727","10.99684"
"70","DebreKidusan","38.2624","10.80685"
"71","Debremawie","38.37385","10.87255"
"72","Debreselam","39.33234","13.95408"
"73","Debrinetseb","38.78695","13.71583"
"74","Dekera","39.11287167","13.210427"
"75","DembezaAmbaLay","38.37871","10.91141"
"76","Derit","38.1371","11.09242"
"77","Derita","37.81345","12.19167"
"78","Dinkashena","39.221175","12.640235"
"79","Ebo","39.67121667","12.86883333"
"80","Edagaarbi","39.25228","14.20521"
"81","EmbaAhfrom","39.21587","14.24734"
"82","EmbachekoGunaguna","38.12471","12.04585"
"83","EndaBagerima","38.961","14.158"
"84","Endabano","38.98961667","13.7764"
"85","Endachiwa","39.02396667","14.06666667"
"86","EndaFelasi","38.985","13.91042"
"87","Endagahamus","39.1","14"
"88","Endamariam","39.16273","14.26368"
"89","Erba","39.76887167","12.54425167"
"90","Esiret","39.0774667","13.34305"
"91","Estifanos","37.8684","12.07803"
"92","Fala","39.39463833","12.49288167"
"93","Felegehiwot","38.28638","10.92708"
"94","FelegeWayane","39.7409","13.9071"
"95","FikreAlem","39.50667","13.20583"
"96","Filatako","38.10078","11.08554"
"97","Gebsit","38.35219","10.4903"
"98","Gedayasu","38.38796","10.50118"
"99","GelaMatebiya","38.1349","12.20091"
"100","Gendebta","39.015","14.23"
"101","Geneti","39.65126667","12.79798333"
"102","Genfel","39.58768333","13.78058333"
"103","Gera","38.96085","13.43246667"
"104","Gerjale","39.651575","12.527198"
"105","GetskiMilesiley","39.0193","13.69018333"
"106","Gijet","39.1736503","13.677862"
"107","Ginaza","37.73503","12.10899"
"108","Golgolemalee","39.72736","13.87282"
"109","Goshedur","38.25709","10.92944"
"110","Goza","37.78897","12.2906"
"111","Grwre","38.92595","13.35283"
"112","GuemseAgamet","39.59356667","14.01175"
"113","Guroro","38.81022","13.69381"
"114","Guya","38.82239","13.6175"
"115","Habees","39.68752","13.81053"
"116","Hadashtekli","39.004094","13.505381"
"117","HadeAlga","39.8","12.7"
"118","HadnetK","39.56335","13.66293333"
"119","HadnetS","39.53878333","14.11513333"
"120","HadushAdi","39.583","14.127"
"121","HadushHiwet","39.56779","14.202609"
"122","HagereGenet","38.32013","10.77531"
"123","HagereSelamE","38.38316","10.7633"
"124","HagereSelamW","39.47039","13.31372"
"125","Hangoda","39.53878333","14.11513333"
"126","Hareko","39.3571371","13.183572"
"127","Hawelti","39.716","12.8383"
"128","Hayelom","39.46253333","13.75925"
"129","Hintsa","39.161829","13.295328"
"130","HintsaWaza","39.177571","13.28738"
"131","HizbaTeklehymanot","39.549625","12.80528167"
"132","ImbaRufael","39","13.4"
"133","Jijqe","38.85783","13.50556"
"134","JimanDeregeha","38.07679","12.12512"
"135","Jira","38.37836","13.46378"
"136","kabe","37.63329","12.04253"
"137","Karima","38.34343","10.51832"
"138","Keregna","37.63355","12.0875"
"139","Kihen","39.564816","13.6227"
"140","Kita","38.36343","12.23886"
"141","Korme","39.73416667","12.5342"
"142","Ksadacki","38.702031","13.863646"
"143","Kudo","39.23335","14.18524"
"144","Kuluferha","38.41515","14.18028"
"145","KuluGizeLemlem","39.65574","12.447477"
"146","LaelayDayu","39.650299","12.466214"
"147","Laelayhahaile","39.17888","14.17428"
"148","LaelayMegariaTsemri","39.08091","14.27076667"
"149","Lalaylogomti","39.010145","14.12735"
"150","Ledy","38.36659","10.3078"
"151","Lemlem","39.04156667","13.24661667"
"152","LemlemArena","39.28141726","13.1531016"
