"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.32","0.27","0.27","0.27","0.32","0.51",,"0.69"
"Abara","0.49","0.46","0.62","0.32","0.49","0.92",,"0.62"
"Abarwuha","0.59","0.32","0.49","0.27","0.59","0.3",,"0.84"
"Abaselima","0.3","0.46","0.73","0.3","0.3","0.59",,"0.62"
"Abina","0.24","0.49","0.3","0.3","0.24","0.54",,"0.69"
"AbrahaAtsbaha","0.59","0.49","0.7","0.41","0.59","0.27",,"0.72"
"Abrekuy","0.19","0.46","0.84","0.51","0.19","0.16",,"0.62"
"AdekeAla","0.78","0.78","0.65","0.59","0.78","0.16",,"0.75"
"Adekiney","0.62","0.54","0.73","0.49","0.62","0.54",,"0.72"
"AderSeg","0.32","0.32","0.27","0.27","0.32","0.49",,"0.69"
"Adibearj","0.35","0.35","0.43","0.57","0.35","0.16",,"0.66"
"AdiHa","0.3","0.35","0.68","0.49","0.3","0.16",,"0.78"
"AdiKisandid","0.68","0.57","0.43","0.54","0.68","0.16",,"0.72"
"Adisalem","0.51","0.46","0.81","0.51","0.51","0.78",,"0.84"
"AdisAlemS","0.78","0.78","0.65","0.51","0.78","0.11",,"0.75"
"AdisAlemW","0.86","0.57","0.76","0.27","0.86","0.3",,"0.75"
"Adiselam","0.59","0.46","0.35","0.41","0.59","0.16",,"0.56"
"Adishimbirkti","0.76","0.38","0.35","0.49","0.76","0.27",,"0.97"
"AdisKigni","0.49","0.68","0.14","0.57","0.49","0.81",,"0.72"
"Adiyikoro","0.89","0.35","0.78","0.49","0.89","0.14",,"0.75"
"Adizata","0.89","0.41","0.78","0.32","0.89","0.3",,"0.75"
"Adreb","0.32","0.51","0.41","0.49","0.32","0.35",,"0.56"
"AgazenMeda","0.24","0.32","0.35","0.19","0.24","0.68",,"0.84"
"Agazi","0.76","0.54","0.84","0.46","0.76","0.76",,"0.78"
"Agbe","0.38","0.76","0.54","0.51","0.38","0.3",,"0.78"
"Agela","0.32","0.16","0.32","0.24","0.32","0.22",,"0.69"
"Agid","0.43","0.16","0.27","0.27","0.43","0.73",,"0.62"
"AlemeTesfa","0.32","0.51","0.65","0.41","0.32","0.88",,"0.84"
"AmdiWeyane","0.78","0.68","0.62","0.51","0.78","0.22",,"0.75"
"Amedwuha","0.78","0.38","0.43","0.62","0.78","0.73",,"0.81"
"Ameno","0.22","0.16","0.19","0.32","0.22","0.19",,"0.69"
"Amisetya","0.22","0.49","0.14","0.38","0.22","0.65",,"0.69"
"Angot","0.59","0.38","0.27","0.24","0.59","0.19",,"0.84"
"Anigot","0.32","0.16","0.32","0.3","0.32","0.24",,"0.69"
"Ansheb","0.46","0.51","0.46","0.24","0.46","0.78",,"0.59"
"AquaShumoch","0.22","0.38","0.22","0.35","0.22","0.24",,"0.59"
"Aquha","0.22","0.51","0.3","0.41","0.22","0.78",,"0.69"
"Arena","0.46","0.41","0.78","0.35","0.46","0.65",,"0.66"
"Asmena","0.84","0.62","0.62","0.59","0.84","0.38",,"0.78"
"Asta","0.19","0.16","0.27","0.62","0.19","0.05",,"0.69"
"Atakilti","0.59","0.51","0.49","0.51","0.59","0.14",,"0.75"
"AwetBikalsi","0.3","0.49","0.7","0.35","0.3","0.24",,"0.78"
"AwusaMeda","0.32","0.46","0.59","0.27","0.32","0.3",,"0.84"
"Ayba","0.84","0.27","0.19","0.46","0.84","0.49",,"0.88"
"Aynalem","0.59","0.41","0.59","0.54","0.59","0.14",,"0.72"
"Bala","0.49","0.7","0.19","0.54","0.49","0.54",,"0.72"
"Balarab","0.22","0.49","0.11","0.16","0.22","0.84",,"0.69"
"Bamba","0.57","0.59","0.57","0.51","0.57","0.27",,"0.75"
"BarkaAdiswha","0.68","0.65","0.22","0.54","0.68","0.57",,"0.72"
"Begasheka","0.62","0.68","0.41","0.46","0.62","0.27",,"0.75"
"Berlay","0.27","0.46","0.46","0.27","0.27","0.7",,"0.84"
"Betgebez","0.57","0.49","0.7","0.35","0.57","0.14",,"0.69"
"Bethans","0.59","0.62","0.59","0.22","0.59","0.11",,"0.66"
"BilbWuha","0.27","0.24","0.19","0.49","0.27","0.19",,"0.72"
"Birkutea","0.24","0.16","0.3","0.35","0.24","0.16",,"0.69"
"Boneya","0.3","0.46","0.62","0.3","0.3","0.84",,"0.62"
"Burkoche","0.35","0.51","0.3","0.41","0.35","0.81",,"0.69"
"Cheli","0.65","0.76","0.62","0.54","0.65","0.22",,"0.75"
"Darubekeda","0.68","0.27","0.65","0.59","0.68","0.7",,"0.97"
"Deberkerbye","0.35","0.46","0.27","0.38","0.35","0.27",,"0.53"
"DeberAbaJale","0.32","0.16","0.14","0.32","0.32","0.27",,"0.59"
"DebrAbay","0.38","0.46","0.7","0.43","0.38","0.35",,"0.84"
"DebreAliays","0.35","0.46","0.7","0.41","0.35","0.68",,"0.84"
"Debrebirhan","0.65","0.43","0.76","0.38","0.65","0.68",,"0.66"
"Debrebrhan","0.51","0.38","0.41","0.59","0.51","0.14",,"0.69"
"DebreGenet","0.54","0.38","0.57","0.41","0.54","0.41",,"0.84"
"DebreGenetA","0.62","0.43","0.65","0.27","0.62","0.19",,"0.66"
"DebreGenetK","0.27","0.65","0.59","0.46","0.27","0.22",,"0.75"
"DebreGeorgis","0.32","0.51","0.68","0.35","0.32","0.73",,"0.84"
"DebreKidusan","0.54","0.38","1","0.57","0.54","0.51",,"0.84"
"Debremawie","0.27","0.46","0.68","0.43","0.27","0.73",,"0.84"
"Debreselam","0.41","0.46","0.78","0.49","0.41","0.32",,"0.66"
