"","Lat","Lon","Region","EarlyAdjRain","LateAdjRain","EarlyRank","LateRank","EarlyPay","LatePay","SumPay"
"Angot","11.01804","38.20642","Goncha Siso Enesie","54","75","0.84","1","0","0","0"
"Anigot","12.05515","37.77565","Libo Kemkem","72","73","0.78","0.11","0","7","7"
"Ansheb","10.52233","38.43482","Shebel Berenta","45","75","0.68","1","0","0","0"
"AquaShumoch","12.02169","38.05479","Ibinat","74","70","1","0.3","0","0","0"
"Aquha","12.39482","38.34943","Ibinat","34","47","0.81","0.05","0","46","46"
"Arena","13.96094","39.15328","Werieleke","42","42","0.92","0.05","0","56","56"
"Asmena","14.2107","39.61543333","SaesiTsaedaemba","0","37","0.27","0.38","100","0","100"
"Asta","12.22985","37.79168","Libo Kemkem","66","75","0.81","1","0","0","0"
"Atakilti","13.7","38.9","KolaTembien","75","75","1","1","0","0","0"
"AwetBikalsi","13.744","39.136","KolaTembien","66","75","0.97","1","0","0","0"
"AwusaMeda","10.99846","38.39108","Enesie Sar Midir","51","75","0.92","1","0","0","0"
"Ayba","12.89097","39.53561","Emba-Alaje","4","27","0.62","0.14","100","24","124"
"Aynalem","13.75331667","39.54968333","KinteAwelo","0","47","0.22","0.24","100","2","102"
"Bala","12.43026667","39.742","RayaAzebo","9","66","0.81","0.92","0","0","0"
"Balarab","12.31803","38.26007","Ibinat","35","62","0.84","0.38","0","0","0"
"Bamba","13.40461","39.06563","Samre","55","75","0.95","1","0","0","0"
"BarkaAdiswha","13.79387","39.70919","Atsbi","0","27","0.22","0.11","100","41","141"
"Begasheka","13.62643333","38.92838333","KolaTembien","75","75","1","1","0","0","0"
"Berlay","10.93635","38.35053","Enesie Sar Midir","57","75","0.95","1","0","0","0"
"Betgebez","14.36085","39.10301667","Ahferom","21","28","0.65","0.05","0","63","63"
"Bethans","14.1509","38.8504","Adwa","63","65","0.95","0.19","0","9","9"
"BilbWuha","12.32109","37.75818","Libo Kemkem","75","75","1","1","0","0","0"
"Birkutea","12.10269","37.93442","Libo Kemkem","75","75","1","1","0","0","0"
"Boneya","10.43066","38.4524","Shebel Berenta","50","75","0.76","1","0","0","0"
"Burkoche","12.41277","38.35279","Ibinat","25","72","0.76","0.54","0","0","0"
"Cheli","13.3301609","39.1160726","Samre","55","75","0.95","1","0","0","0"
"Darubekeda","12.57984333","39.272485","Ofla","4","58","0.62","0.65","100","0","100"
"Deberkerbye","13.93067","38.44383","Medebay-Zana","75","75","1","1","0","0","0"
"DeberAbaJale","12.12973","38.02621","Ibinat","75","72","1","0.22","0","10","10"
"DebrAbay","10.81197","38.36968","Enesie Sar Midir","62","75","0.97","1","0","0","0"
"DebreAliays","10.91651","38.4553","Enesie Sar Midir","46","75","0.89","1","0","0","0"
"Debrebirhan","13.92454","39.46886","Hawzien","0","34","0.22","0.11","100","33","133"
"Debrebrhan","13.69226667","39.4907","KinteAwelo","4","45","0.35","0.22","100","4","104"
"DebreGenet","10.91103","38.31261","Enesie Sar Midir","60","75","0.92","1","0","0","0"
"DebreGenetA","14.107","38.963","Adwa","60","58","0.97","0.14","0","42","42"
"DebreGenetK","13.6","39","KolaTembien","75","75","1","1","0","0","0"
"DebreGeorgis","10.99684","38.44727","Enesie Sar Midir","51","75","0.92","1","0","0","0"
"DebreKidusan","10.80685","38.2624","Enesie Sar Midir","63","75","0.95","1","0","0","0"
"Debremawie","10.87255","38.37385","Enesie Sar Midir","57","75","0.95","1","0","0","0"
"Debreselam","13.95408","39.33234","Hawzien","39","57","0.89","0.32","0","0","0"
"Debrinetseb","13.71583","38.78695","KolaTembien","75","75","1","1","0","0","0"
"Dekera","13.210427","39.11287167","Samre","40","75","0.84","1","0","0","0"
"DembezaAmbaLay","10.91141","38.37871","Enesie Sar Midir","57","75","0.95","1","0","0","0"
"Derit","11.09242","38.1371","Goncha Siso Enesie","75","75","1","1","0","0","0"
