"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","Wobo","Wobo","Wobo","Wobo","Wobo","Wobo","Wobo","Wobo"
"Region","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta","Shebel Berenta"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","5","24","0.19","58","55","0.05","62.17","0"
"1984-1977","0","65","0.86","0","75","1","0","0"
"1985-1978","100","2","0.03","0","75","1","100","0"
"1986-1979","0","32","0.51","0","75","1","0","0"
"1987-1980","0","38","0.62","0","75","1","0","0"
"1988-1981","0","32","0.49","0","75","1","0","0"
"1989-1982","0","28","0.35","0","75","1","0","0"
"1990-1983","36","18","0.11","0","75","1","35.76","0"
"1991-1984","0","36","0.59","0","75","1","0","1"
"1992-1985","19","21","0.14","56","55","0.08","75.44","0"
"1993-1986","0","50","0.78","0","75","1","0","0"
"1994-1987","0","57","0.81","0","75","1","0","1"
"1995-1988","0","28","0.38","0","75","1","0","0"
"1996-1989","0","75","1","0","75","1","0","0"
"1997-1990","0","73","0.95","41","60","0.11","41.47","0"
"1998-1991","0","50","0.76","0","75","1","0","0"
"1999-1992","0","33","0.54","0","75","1","0","0"
"2000-1993","0","30","0.43","0","75","1","0","0"
"2001-1994","0","75","1","0","75","1","0","0"
"2002-1995","0","29","0.41","0","75","1","0","0"
"2003-1996","0","39","0.65","0","75","1","0","0"
"2004-1997","6","24","0.16","10","72","0.14","15.89","0"
"2005-1998","58","13","0.08","0","75","1","58.06","0"
"2006-1999","0","31","0.46","0","75","1","0","1"
"2007-2000","0","44","0.68","0","75","1","0","0"
"2008-2001","0","66","0.89","0","75","1","0","0"
"2009-2002","0","25","0.27","0","75","1","0","0"
"2010-2003","0","35","0.57","3","74","0.16","2.57","1"
"2011-2004","0","28","0.3","0","75","1","0","0"
"2012-2005","0","25","0.27","0","75","1","0","0"
"2013-2006","0","28","0.32","0","75","1","0","0"
"2014-2007","0","25","0.27","0","75","1","0","0"
"2015-2008","0","50","0.73","71","50","0.03","70.75","0"
"2016-2009","0","48","0.7","0","75","1","0","0"
"2017-2010","100","4","0.05","0","75","1","100","0"
"2018-2011","0","70","0.92","0","75","1","0","0"
"2019-2012","0","64","0.84","0","75","1","0","0"
