"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.81","1","0.7","0.49","0.81","0.22","0.36","0.44"
"Abara","0.43","0.62","0.43","0.24","0.43","0.3","0.64","0.34"
"Abarwuha","0.68","1","0.62","0.05","0.68","0.03","0.27","0.5"
"Abaselima","0.46","0.62","0.35","0.38","0.46","0.03","0.64","0.34"
"Abina","0.78","0.86","0.92","0.59","0.78","0.05","0.36","0.44"
"AbrahaAtsbaha","0.22","0.41","0.3","0.05","0.22","0.05","0.64","0.56"
"Abrekuy","0.73","0.54","0.3","0.24","0.73","0.03","0.64","0.34"
"AdekeAla","0.3","0.27","0.11","0.05","0.3","0.03","0.45","0.53"
"Adekiney","0.59","0.43","0.27","0.05","0.59","0.03","0.64","0.75"
"AderSeg","0.81","1","0.7","0.3","0.81","0.14","0.36","0.44"
"Adibearj","0.54","0.51","0.76","0.51","0.54","0.19","0.45","0.69"
"AdiHa","0.24","0.14","0.41","0.27","0.24","0.05","0.73","0.44"
"AdiKisandid","0.19","0.43","0.24","0.08","0.19","0.19","0.64","0.56"
"Adisalem","0.57","0.62","0.38","0.14","0.57","0.62","0.55","0.41"
"AdisAlemS","0.3","0.27","0.08","0.08","0.3","0.03","0.36","0.53"
"AdisAlemW","0.35","0.51","0.32","0.08","0.35","0.03","0.73","0.72"
"Adiselam","0.76","1","1","0.35","0.76","0.03","0.64","0.59"
"Adishimbirkti","0.43","0.51","0.49","0.22","0.43","0.62","0.64","0.62"
"AdisKigni","0.49","0.68","0.62","0.57","0.49","0.05","0.45","0.38"
"Adiyikoro","0.54","0.46","0.65","0.49","0.54","0.08","0.64","0.72"
"Adizata","0.54","0.32","0.57","0.46","0.54","0.16","0.64","0.72"
"Adreb","0.62","1","1","0.22","0.62","0.05","0.64","0.59"
"AgazenMeda","0.51","1","0.51","0.08","0.51","0.05","0.36","0.5"
"Agazi","0.73","0.35","0.49","0.08","0.73","0.19","0.64","0.53"
"Agbe","0.24","0.38","0.49","0.27","0.24","0.03","0.64","0.44"
"Agela","0.57","1","1","0.22","0.57","0.03","0.09","0.47"
"Agid","0.51","1","1","0.19","0.51","0.08","0.09","0.44"
"AlemeTesfa","0.43","0.32","0.51","0.16","0.43",,"0.64","0.41"
"AmdiWeyane","0.3","0.41","0.08","0.08","0.3","0.03","0.36","0.53"
"Amedwuha","0.38","0.46","0.78","0.27","0.38","0.05","0.55","0.53"
