"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.22","1","1","1","0.22","0.27","0.64",
"Abara","0.08","1","0.08","0.03","0.08","0.08","0.18",
"Abarwuha","1","1","1","0.03","1","0.43","0.64",
"Abaselima","0.11","1","0.03","0.03","0.11","0.24","0.36",
"Abina","0.27","1","1","1","0.27","0.46","0.64",
"AbrahaAtsbaha","0.62","1","0.16","0.14","0.62","0.32","0.27",
"Abrekuy","0.03","1","1","0.03","0.03","0.73","0.09",
"AdekeAla","0.11","1","1","1","0.11","0.16","0.27",
"Adekiney","0.81","1","1","0.14","0.81","0.46","0.27",
"AderSeg","0.22","1","1","1","0.22","0.24","0.64",
"Adibearj","1","1","1","1","1","0.7","0.36",
"AdiHa","0.57","1","1","1","0.57","0.3","0.36",
"AdiKisandid","0.76","1","0.11","0.16","0.76","0.03","0.18",
"Adisalem","0.05","1","0.14","0.03","0.05","0.03","0.18",
"AdisAlemS","0.11","1","1","1","0.11","0.41","0.18",
"AdisAlemW","0.65","1","1","0.16","0.65","0.43","0.27",
"Adiselam","1","1","1","1","1","0.81","0.27",
"Adishimbirkti","0.05","1","0.08","0.08","0.05","0.24","0.27",
"AdisKigni","0.05","0.03","0.03","0.03","0.05","0.05","0.27",
"Adiyikoro","0.41","1","1","0.11","0.41","0.38","0.27",
"Adizata","0.41","1","1","0.08","0.41","0.51","0.18",
"Adreb","1","1","1","1","1","0.65","0.36",
"AgazenMeda","0.22","1","1","0.11","0.22","0.49","0.64",
"Agazi","0.84","1","1","0.11","0.84","0.32","0.18",
"Agbe","0.46","1","1","1","0.46","0.24","0.27",
"Agela","1","1","1","1","1","0.05","0.64",
"Agid","1","1","1","1","1","0.16","0.64",
"AlemeTesfa","0.03","1","1","0.03","0.03",,"0.27",
"AmdiWeyane","0.11","1","1","1","0.11","0.51","0.27",
"Amedwuha","0.11","1","1","0.16","0.11","0.43","0.18",
"Ameno","1","1","1","1","1","0.16","0.64",
"Amisetya","0.35","1","0.14","0.14","0.35","0.3","0.45",
"Angot","1","1","1","0.03","1","0.19","0.55",
"Anigot","1","1","1","1","1","0.14","0.55",
"Ansheb","0.08","1","0.05","0.03","0.08","0.03","0.18",
"AquaShumoch","1","1","1","1","1","0.16","0.64",
"Aquha","0.22","1","1","0.08","0.22","0.3","0.36",
"Arena","0.57","1","1","1","0.57","0.35","0.27",
"Asmena","0.14","0.03","0.11","0.05","0.14","0.89","0.36",
"Asta","1","1","1","1","1","0.05","0.64",
"Atakilti","1","1","1","1","1","0.27","0.36",
"AwetBikalsi","0.57","1","1","1","0.57","0.05","0.27",
"AwusaMeda","0.03","1","1","0.03","0.03","0.03","0.36",
"Ayba","0.08","1","0.32","0.08","0.08","0.27","0.45",
"Aynalem","0.62","1","1","0.3","0.62","0.14","0.36",
"Bala","0.05","0.03","0.03","0.03","0.05","0.14","0.27",
"Balarab","0.35","1","1","0.14","0.35","0.3","0.55",
"Bamba","0.05","1","1","1","0.05","0.11","0.27",
"BarkaAdiswha","0.27","0.05","0.3","0.11","0.27","0.03","0.36",
"Begasheka","0.16","1","1","1","0.16","0.08","0.27",
"Berlay","0.08","1","1","0.03","0.08","0.19","0.27",
"Betgebez","0.27","1","1","0.08","0.27","0.05","0.18",
"Bethans","0.14","1","1","0.11","0.14","0.86","0.36",
"BilbWuha","1","1","1","1","1","0.03","0.64",
"Birkutea","1","1","1","1","1","0.11","0.55",
"Boneya","0.11","1","0.08","0.03","0.11","0.05","0.36",
"Burkoche","0.14","1","1","0.08","0.14","0.3","0.36",
"Cheli","0.03","1","1","1","0.03","0.27","0.27",
"Darubekeda","0.05","1","0.08","0.05","0.05","0.11","0.18",
"Deberkerbye","1","1","1","1","1","0.62","0.27",
"DeberAbaJale","1","1","1","1","1","0.16","0.64",
"DebrAbay","0.11","1","0.08","0.03","0.11","0.08","0.09",
"DebreAliays","0.05","1","0.19","0.03","0.05","0.11","0.27",
"Debrebirhan","0.65","1","1","0.05","0.65","0.24","0.27",
"Debrebrhan","0.62","1","1","1","0.62","0.03","0.55",
"DebreGenet","0.08","1","1","0.03","0.08","0.35","0.27",
"DebreGenetA","0.24","1","1","0.05","0.24","0.38","0.36",
"DebreGenetK","0.27","1","1","1","0.27","0.11","0.27",
"DebreGeorgis","0.03","1","1","0.03","0.03","0.05","0.27",
"DebreKidusan","0.08","1","0.08","0.03","0.08","0.14","0.09",
"Debremawie","0.08","1","0.11","0.03","0.08","0.84","0.18",
"Debreselam","0.59","1","1","0.11","0.59","0.51","0.27",
"Debrinetseb","1","1","1","1","1","0.32","0.36",
"Dekera","0.03","1","1","1","0.03","0.43","0.27",
"DembezaAmbaLay","0.08","1","1","0.03","0.08","0.08","0.27",
"Derit","1","1","1","0.11","1","0.38","0.64",
"Derita","1","1","1","1","1","0.08","0.64",
"Dinkashena","0.05","1","0.11","0.05","0.05","0.08","0.18",
"Ebo","0.08","0.03","0.3","0.03","0.08","0.11","0.55",
"Edagaarbi","0.7","1","1","0.16","0.7","0.68","0.27",
"EmbaAhfrom","0.62","1","1","0.19","0.62","0.38","0.27",
"EmbachekoGunaguna","1","1","1","1","1","0.35","0.64",
"EndaBagerima","0.24","1","1","0.08","0.24","0.35","0.36",
"Endabano","0.46","1","1","1","0.46","0.57","0.45",
"Endachiwa","0.24","1","1","1","0.24","0.57","0.55",
"EndaFelasi","1","1","1","1","1","0.22","0.45",
"Endagahamus","0.41","1","1","0.54","0.41","0.32","0.36",
"Endamariam","0.68","1","1","0.08","0.68","0.46","0.18",
"Erba","0.03","0.03","0.08","0.03","0.03","0.11","0.45",
"Esiret","0.03","1","1","1","0.03","0.24","0.27",
"Estifanos","1","1","1","1","1","0.08","0.64",
"Fala","0.05","1","0.03","0.03","0.05","0.24","0.27",
"Felegehiwot","0.08","1","1","0.03","0.08","0.35","0.27",
"FelegeWayane","0.22","0.03","0.22","0.16","0.22","0.05","0.82",
"FikreAlem","0.24","0.05","0.14","1","0.24","0.16","0.18",
"Filatako","1","1","1","0.03","1","0.46","0.64",
