"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.16","1","1","1","0.16","0.54","0.73","0.81"
"Abara","0.27","1","1","1","0.27","0.73","0.64","0.72"
"Abarwuha","1","1","1","1","1","0.41","0.55","0.81"
"Abaselima","0.22","1","1","1","0.22","0.84","0.64","0.72"
"Abina","0.3","1","1","1","0.3","0.43","0.82","0.81"
"AbrahaAtsbaha","1","1","1","0.19","1","0.95","0.55","0.91"
"Abrekuy","0.16","1","1","1","0.16","0.57","0.55","0.72"
"AdekeAla","1","1","1","0.11","1","0.41","1","0.97"
"Adekiney","0.54","1","1","0.22","0.54","0.73","0.55","0.94"
"AderSeg","0.16","1","1","1","0.16","0.54","0.82","0.81"
"Adibearj","1","1","1","1","1","0.78","0.91","0.94"
"AdiHa","0.24","1","1","1","0.24","0.62","0.82","0.97"
"AdiKisandid","1","1","1","0.19","1","0.92","0.55","0.91"
"Adisalem","1","1","1","1","1","0.73","0.55","0.75"
"AdisAlemS","1","1","1","0.08","1","0.62","1","0.97"
"AdisAlemW","0.24","1","1","1","0.24","0.68","0.64","0.91"
"Adiselam","1","1","1","1","1","0.3","0.91","0.91"
"Adishimbirkti","0.51","1","1","0.3","0.51","0.76","0.64","0.88"
"AdisKigni","0.57","1","0.43","0.24","0.57","0.51","0.64","0.91"
"Adiyikoro","0.19","1","1","1","0.19","0.84","0.82","0.91"
"Adizata","0.19","1","1","1","0.19","0.89","0.82","0.91"
"Adreb","1","1","1","1","1","0.57","0.91","0.91"
"AgazenMeda","0.27","1","1","1","0.27","0.65","0.55","0.81"
"Agazi","0.57","1","1","0.49","0.57","0.76","0.27","0.88"
"Agbe","0.27","1","1","1","0.27","0.46","0.64","0.97"
"Agela","1","1","1","1","1","0.27","0.36","0.78"
"Agid","1","1","1","1","1","0.05","0.36","0.84"
"AlemeTesfa","0.35","1","1","0.32","0.35",,"0.45","0.75"
"AmdiWeyane","1","1","1","1","1","0.54","1","0.97"
"Amedwuha","0.51","1","1","1","0.51","0.86","0.55","0.94"
"Ameno","0.16","1","1","1","0.16","0.08","0.45","0.78"
"Amisetya","0.41","1","1","1","0.41","0.62","0.73","0.84"
"Angot","1","1","1","1","1","0.11","0.64","0.81"
"Anigot","1","1","1","1","1","0.86","0.36","0.78"
"Ansheb","0.27","1","1","1","0.27","0.97","0.64","0.62"
"AquaShumoch","0.24","1","1","1","0.24","0.32","0.82","0.78"
"Aquha","0.51","1","1","0.24","0.51","0.81","0.73","0.84"
"Arena","0.35","1","1","1","0.35","0.81","0.73","0.97"
"Asmena","0.54","1","1","0.46","0.54","0.86","0.09","0.88"
"Asta","0.16","1","1","1","0.16","0.03","0.36","0.78"
"Atakilti","0.16","1","1","1","0.16","0.65","0.91","0.97"
"AwetBikalsi","0.24","1","1","1","0.24","0.51","0.82","0.97"
"AwusaMeda","0.35","1","1","1","0.35","0.7","0.55","0.75"
"Ayba","0.65","1","1","0.24","0.65","0.62","0.64","0.94"
"Aynalem","1","1","1","0.24","1","0.81","0.64","0.91"
"Bala","0.57","1","0.43","0.19","0.57","0.73","0.64","0.91"
"Balarab","0.41","1","1","0.14","0.41","0.54","0.82","0.84"
"Bamba","1","1","1","1","1","0.35","0.91","0.97"
"BarkaAdiswha","1","1","1","1","1","0.68","0.64","0.91"
"Begasheka","0.14","1","1","1","0.14","0.32","0.82","0.97"
"Berlay","1","1","1","1","1","0.46","0.64","0.75"
"Betgebez","0.46","1","1","1","0.46","0.95","0.82","0.88"
"Bethans","0.08","1","1","1","0.08","0.84","0.82","0.94"
"BilbWuha","1","1","1","1","1","0.08","0.27","0.84"
"Birkutea","1","1","1","1","1","0.57","0.64","0.78"
"Boneya","0.22","1","1","1","0.22","0.84","0.64","0.72"
"Burkoche","0.41","1","1","0.24","0.41","0.76","0.73","0.84"
"Cheli","1","1","1","1","1","0.78","0.91","0.97"
"Darubekeda","0.49","1","1","1","0.49","0.95","0.55","0.88"
"Deberkerbye","1","1","1","1","1","0.14","0.91","0.88"
"DeberAbaJale","0.19","1","1","1","0.19","0.41","0.73","0.78"
"DebrAbay","1","1","1","1","1","0.51","0.55","0.75"
"DebreAliays","1","1","1","1","1","0.76","0.45","0.75"
"Debrebirhan","1","1","1","0.24","1","0.92","0.55","0.91"
"Debrebrhan","1","1","1","0.16","1","0.89","0.73","0.97"
"DebreGenet","1","1","1","1","1","0.32","0.64","0.75"
"DebreGenetA","0.19","1","1","1","0.19","0.81","0.82","0.94"
"DebreGenetK","0.16","1","1","1","0.16","0.32","0.73","0.97"
"DebreGeorgis","0.35","1","1","0.68","0.35","0.84","0.55","0.75"
"DebreKidusan","1","1","1","1","1","0.38","0.55","0.75"
"Debremawie","1","1","1","1","1","0.35","0.64","0.75"
"Debreselam","0.3","1","1","0.3","0.3","0.84","0.64","0.91"
"Debrinetseb","0.11","1","1","1","0.11","0.38","0.91","0.97"
"Dekera","1","1","1","1","1","0.54","1","0.94"
"DembezaAmbaLay","1","1","1","1","1","0.62","0.45","0.75"
"Derit","1","1","1","1","1","0.54","0.55","0.81"
"Derita","0.16","1","1","1","0.16","0.05","0.36","0.78"
"Dinkashena","0.43","1","1","1","0.43","0.97","0.55","1"
