"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","AmdiWeyane","AmdiWeyane","AmdiWeyane","AmdiWeyane","AmdiWeyane","AmdiWeyane","AmdiWeyane","AmdiWeyane"
"Region","Samre","Samre","Samre","Samre","Samre","Samre","Samre","Samre"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","0","28","0.68","70","36","0.03","70.31","0"
"1984-1977","11","9","0.24","11","51","0.19","22.23","0"
"1985-1978","89","5","0.08","0","61","0.3","89.42","0"
"1986-1979","0","43","0.95","0","75","1","0","0"
"1987-1980","0","42","0.92","8","52","0.24","8.45","0"
"1988-1981","100","4","0.03","0","75","1","100","0"
"1989-1982","0","46","0.97","39","44","0.05","38.61","0"
"1990-1983","83","6","0.11","10","52","0.22","92.53","0"
"1991-1984","0","30","0.81","0","75","1","0","0"
"1992-1985","31","8","0.19","16","50","0.16","46.68","0"
"1993-1986","0","27","0.59","0","75","1","0","0"
"1994-1987","0","29","0.7","0","75","1","0","0"
"1995-1988","0","17","0.41","0","67","0.38","0","0"
"1996-1989","0","64","1","0","75","1","0","0"
"1997-1990","0","25","0.51","0","75","1","0","0"
"1998-1991","0","14","0.35","0","75","1","0","0"
"1999-1992","0","25","0.57","0","75","1","0","0"
"2000-1993","0","28","0.62","0","75","1","0","0"
"2001-1994","0","30","0.73","16","50","0.16","16","0"
"2002-1995","99","5","0.05","35","45","0.08","134.23","0"
"2003-1996","0","30","0.78","0","61","0.35","0","0"
"2004-1997","0","10","0.27","0","68","0.43","0","0"
"2005-1998","0","12","0.32","0","75","1","0","1"
"2006-1999","0","25","0.57","0","75","1","0","0"
"2007-2000","0","15","0.38","0","75","1","0","0"
"2008-2001","0","21","0.49","0","73","0.54","0","0"
"2009-2002","0","12","0.3","0","75","1","0","0"
"2010-2003","0","40","0.86","0","75","1","0","0"
"2011-2004","0","30","0.76","0","58","0.27","0","0"
"2012-2005","22","8","0.22","0","74","0.57","21.88","1"
"2013-2006","0","18","0.43","0","69","0.46","0","0"
"2014-2007","75","6","0.14","0","67","0.41","74.71","1"
"2015-2008","55","7","0.16","33","46","0.11","87.96","1"
"2016-2009","0","28","0.65","0","75","1","0","1"
"2017-2010","0","20","0.46","0","61","0.32","0","0"
"2018-2011","0","36","0.84","0","69","0.49","0","0"
"2019-2012","0","41","0.89","0","72","0.51","0","0"
