"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"Data","Pay","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","AdjRain","Rank","MIXEDVEGg","Rank","SWI-15","Rank","MIXEDET","Rank"
"Timing","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late","Late"
"Source","ARC_Index","ARC_Index","ARC_Index","CHIRPDK","CHIRPDK","TAMSAT3","TAMSAT3","ENACTSDK","ENACTSDK","ARC","ARC","MIXEDVEGg","MIXEDVEGg","SWI-15","SWI-15","MIXEDET","MIXEDET"
"1983-1976","29","54","0.16","75","1","75","1","75","1","53.7256574885621","0.16","0.3406188953878","0.76",,,"14.0488335160001","0.03"
"1984-1977","19","58","0.19","75","1","75","1","75","1","57.620662","0.19","0.278477912760666","0.03",,,"115.809307446119","0.97"
"1985-1978","0","75","1","75","1","75","1","75","1","75","1","0.328486108501569","0.68",,,"101.404444619159","0.81"
"1986-1979","0","70","0.35","75","1","75","1","75","1","70.2959890441177","0.35","0.333329652940783","0.73",,,"102.409036208788","0.88"
"1987-1980","29","53","0.14","75","1","68.7","0.03","73","0.08","53.3157672","0.14","0.297947596750238","0.16",,,"69.897763333238","0.31"
"1988-1981","0","75","1","75","1","75","1","75","1","75","1","0.34146058098613","0.78",,,"87.6311908524923","0.56"
"1989-1982","0","75","1","75","1","75","1","75","1","75","1","0.330471161241573","0.7",,,"83.5690982164057","0.47"
"1990-1983","0","70","0.3","75","1","75","1","75","1","69.701057","0.3","0.347336429648972","0.86",,,"92.1230839953558","0.59"
"1991-1984","0","75","1","75","1","75","1","75","1","75","1","0.325278182142656","0.59",,,"46.2478693496178","0.19"
"1992-1985","82","31","0.05","75","1","69.8","0.05","66","0.05","30.784152","0.05","0.343255113560868","0.81",,,"48.430975761667","0.22"
"1993-1986","37","50","0.11","75","1","75","1","75","1","50","0.11","0.343715611138617","0.84",,,"78.4272021749291","0.41"
"1994-1987","0","75","1","75","1","75","1","75","1","75","1","0.37012515214552","0.97",,,"139.776282400624","1"
"1995-1988","0","75","1","75","1","75","1","75","1","75","1","0.303204033340893","0.32",,,"80.2661277973602","0.44"
"1996-1989","0","75","1","75","1","75","1","75","1","75","1","0.293278671180842","0.14",,,"78.3878616168157","0.38"
"1997-1990","0","75","1","75","1","75","1","75","1","75","1","0.2988845424312","0.22",,,"33.9629454828274","0.16"
"1998-1991","0","75","1","75","1","75","1","75","1","75","1","0.314098242232834","0.46",,,"53.9951445824944","0.25"
"1999-1992","0","75","1","75","1","75","1","75","1","75","1","0.315654501525949","0.49",,,"32.6173151115494","0.12"
"2000-1993","0","75","1","75","1","75","1","75","1","75","1","0.3586873","0.95",,,"77.6","0.34"
"2001-1994","0","70","0.32","75","1","75","1","75","1","69.949463","0.32","0.3027714","0.3",,,"27.4","0.09"
"2002-1995","0","75","1","75","1","75","1","75","1","75","1","0.3263426","0.65",,,"17.9","0.06"
"2003-1996","0","75","1","75","1","75","1","75","1","75","1","0.3493298","0.89",,,"84.4","0.53"
"2004-1997","12","61","0.22","75","1","75","1","75","1","60.70758","0.22","0.3526644","0.92",,,"56.7","0.28"
"2005-1998","0","75","1","75","1","75","1","75","1","75","1","0.2999256","0.24",,,"102.9","0.94"
"2006-1999","85","29","0.03","75","1","75","1","75","1","29.302049","0.03","0.2986847","0.19",,,"93.3","0.66"
"2007-2000","0","75","1","75","1","75","1","75","1","75","1","0.3005104","0.27","22.71774","0.36","102.3","0.84"
"2008-2001","0","75","1","75","1","75","1","75","1","75","1","0.2867067","0.05","19.53226","0.18","101","0.78"
"2009-2002","0","75","1","75","1","75","1","75","1","75","1","0.3871788","1","23.51613","0.55","84.3","0.5"
"2010-2003","0","75","1","75","1","75","1","75","1","75","1","0.2882162","0.08","24.83064","0.64","98.2","0.75"
"2011-2004","0","69","0.27","75","1","75","1","75","1","68.960579","0.27","0.2912636","0.11","23.24194","0.45","94.3","0.72"
"2012-2005","4","64","0.24","75","1","75","1","75","1","64.396093","0.24","0.3137143","0.43","19.37903","0.09","102.9","0.94"
"2013-2006","0","75","1","75","1","75","1","75","1","75","1","0.3185211","0.51","32.09678","0.91","93.8","0.69"
"2014-2007","0","75","1","75","1","75","1","75","1","75","1","0.3120765","0.41","29.93549","0.73","92.9","0.62"
"2015-2008","38","50","0.08","75","1","75","1","54","0.03","49.791266","0.08","0.3040431","0.35","22.04032","0.27",,
"2016-2009","0","75","1","75","1","75","1","75","1","75","1","0.321888","0.54","30.53226","0.82",,
"2017-2010","0","75","1","75","1","75","1","75","1","75","1","0.3220224","0.57","32.32258","1",,
"2018-2011","0","75","1","75","1","75","1","75","1","75","1","0.3061745","0.38",,,,
"2019-2012","0","75","1","75","1","75","1","75","1","75","1","0.3260669","0.62",,,,
