"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"24","Agazi","SaesiTsaedaemba","Early","26","0","0","25","2","0","1","0","9","0","26","0","0","26","19","25","0","15","0","4","14","2","7","4","7","2","11","0","25","7","3","0","11","20","0","8","7"
"25","Agbe","TanquaAbergele","Early","30","7","5","26","58","15","28","8","39","21","34","32","25","54","50","29","24","27","6","5","16","25","9","26","13","14","9","56","29","16","3","2","25","46","33","42","60"
"26","Agela","Libo Kemkem","Early","27","50","39","39","75","64","68","50","30","38","60","75","60","75","74","59","38","43","74","50","43","20","40","71","55","75","54","35","75","51","45","30","50","50","35","75","72"
"27","Agid","Libo Kemkem","Early","69","75","49","52","75","65","71","50","39","40","59","59","72","71","75","66","39","43","75","50","59","28","44","75","72","70","64","41","75","50","50","57","66","50","68","75","75"
"28","AlemeTesfa","Enesie Sar Midir","Early","8","68","0","50","11","18","2","19","25","12","21","24","31","29","42","50","29","9","19","36","12","11","12","0","17","30","18","35","28","22","3","0","19","56","1","63","51"
"29","AmdiWeyane","Samre","Early","28","9","5","43","42","4","46","6","30","8","27","29","17","64","25","14","25","28","30","5","30","10","12","25","15","21","12","40","30","8","18","6","7","28","20","36","41"
"30","Amedwuha","Emba-Alaje","Early","25","0","0","19","6","6","1","0","39","0","8","0","3","26","20","0","1","14","19","0","9","5","0","0","7","9","0","0","0","6","0","0","0","25","0","4","4"
"31","Ameno","Libo Kemkem","Early","31","50","29","41","75","71","35","50","32","0","43","67","37","69","75","48","35","30","72","50","31","17","31","43","59","64","53","20","66","36","37","28","50","36","30","62","74"
"32","Amisetya","Ibinat","Early","37","38","7","25","27","32","18","11","33","0","10","33","6","48","56","0","25","21","23","24","6","18","25","0","25","38","20","4","5","6","13","0","25","19","6","40","35"
"33","Angot","Goncha Siso Enesie","Early","13","68","26","50","24","22","2","31","25","30","37","34","31","42","65","60","50","34","42","35","34","25","24","28","28","66","37","21","43","10","17","34","32","74","11","61","54"
"34","Anigot","Libo Kemkem","Early","27","50","39","39","75","64","68","50","30","38","60","75","60","75","74","59","38","43","74","50","43","20","40","71","55","75","54","35","75","51","45","30","50","50","35","75","72"
"35","Ansheb","Shebel Berenta","Early","9","75","2","50","35","33","22","29","46","15","46","25","25","50","57","21","43","32","49","35","31","25","19","17","40","47","50","27","49","23","21","0","36","59","4","50","45"
"36","AquaShumoch","Ibinat","Early","14","58","28","27","57","52","15","25","34","15","26","44","27","66","59","42","38","31","50","50","25","27","26","12","28","56","52","31","60","36","14","41","31","34","25","51","74"
"37","Aquha","Ibinat","Early","11","38","7","25","12","24","2","13","33","0","15","39","12","39","62","0","25","11","17","25","6","13","21","0","25","35","31","5","0","12","25","0","46","21","6","36","34"
"38","Arena","Werieleke","Early","29","5","1","25","48","6","3","11","8","0","26","25","0","21","42","40","0","27","0","2","13","13","21","25","4","15","8","8","50","30","19","0","12","38","18","17","42"
"39","Asmena","SaesiTsaedaemba","Early","26","0","0","22","2","4","4","0","0","0","26","0","0","11","8","25","2","16","7","4","20","2","7","4","6","0","0","2","25","25","6","0","0","11","0","3","0"
"40","Asta","Libo Kemkem","Early","17","50","39","41","56","75","55","50","31","5","48","67","39","70","75","54","38","35","72","50","33","20","32","48","61","67","58","41","74","45","36","29","50","39","34","65","66"
