"","EarlyAdjRain","LateAdjRain","EarlyRank","LateRank","EarlyPay","LatePay","SumPay"
"Mezbr","42","44","0.92","0.03","0","62","62"
"MichelDebre","75","75","1","1","0","0","0"
"Miraf","55","75","0.81","1","0","0","0"
"Misema","75","75","1","1","0","0","0"
"Mitad","70","75","0.76","1","0","0","0"
"MitinaYimach","51","75","0.92","1","0","0","0"
"Mozen","54","75","0.81","1","0","0","0"
"Mozutey","0","27","0.19","0.08","100","63","163"
"Mtsaiwerki","75","75","1","1","0","0","0"
"Nagash","0","27","0.22","0.14","100","43","143"
"Nebarhadinet","54","75","0.97","1","0","0","0"
"Nefasit","75","75","1","1","0","0","0"
"Negedebrhan","54","75","0.97","1","0","0","0"
"Niquara","58","67","1","0.41","0","0","0"
"Qoraro","33","55","0.81","0.3","0","0","0"
"RubaFelege","0","25","0.19","0.11","100","29","129"
"Santa gelebeda","50","65","0.92","0.38","0","0","0"
"SaratYerawoch","44","75","0.81","1","0","0","0"
"Sefo","47","44","1","0.14","0","28","28"
"Segena","44","75","0.81","1","0","0","0"
"Seka","75","75","1","1","0","0","0"
"Selamaya","74","66","1","0.27","0","0","0"
"SelamBekalsi","9","66","0.81","0.92","0","0","0"
"Selamber","46","75","0.89","1","0","0","0"
"SelamgieAmbarie","61","75","0.92","1","0","0","0"
"SelamH","13","51","0.65","0.32","0","0","0"
"SelamW","49","70","0.84","0.32","0","0","0"
"Selelkula","55","75","0.81","1","0","0","0"
"SelenWuha","9","66","0.81","0.92","0","0","0"
"Seloda","63","65","0.95","0.19","0","9","9"
"Sendada","0","31","0.32","0.19","100","21","121"
"Serawudi","75","72","1","0.22","0","10","10"
"Seret","4","34","0.51","0.16","100","22","122"
"Sero","12","31","0.59","0.03","0","66","66"
"Shamo","75","75","1","1","0","0","0"
"ShehochTehara","72","73","0.78","0.11","0","7","7"
"Shekatekli","55","75","0.92","1","0","0","0"
"Shunge","74","66","1","0.27","0","0","0"
"Simret","12","27","0.65","0.05","0","52","52"
"SimretS","5","41","0.76","0.22","100","3","103"
"SimretT","54","75","0.73","1","0","0","0"
"Sinkata","0","31","0.32","0.19","100","21","121"
"Siye","54","75","0.86","1","0","0","0"
