"","Lat","Lon","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET","Ave"
"AbaBikila","12.28212","38.09279","1","0","0.111111111111111","0.111111111111111","1","0.222222222222222","0","0.444444444444444","0.26984126984127"
"Abara","10.47808","38.45123","1","0","0.333333333333333","0.111111111111111","1","0.444444444444444","0.111111111111111","0.444444444444444","0.349206349206349"
"Abarwuha","11.02268","38.15232","1","0","0","0.333333333333333","1","0.111111111111111","0","0.222222222222222","0.238095238095238"
"Abaselima","10.36874","38.45637","1","0","0.333333333333333","0.222222222222222","1","0.666666666666667","0","0.444444444444444","0.380952380952381"
"Abina","12.28058","38.21639","1","0","0.222222222222222","0.333333333333333","1","0.555555555555556","0","0.555555555555556","0.380952380952381"
"AbrahaAtsbaha","13.837765","39.511604","1","0","0.444444444444444","0.333333333333333","1","0.555555555555556","0","0.555555555555556","0.412698412698413"
"Abrekuy","10.26471","38.35797","1","0","0","0.111111111111111","1","0.333333333333333","0.111111111111111","0.444444444444444","0.285714285714286"
"AdekeAla","13.348441","39.236951","1","0","0.111111111111111","0.444444444444444","1","0.555555555555556","0","0.555555555555556","0.380952380952381"
"Adekiney","14.27692","39.30789","1","0","0.666666666666667","0.444444444444444","1","0.444444444444444","0","0.444444444444444","0.428571428571429"
"AderSeg","12.29665","38.14919","1","0","0.111111111111111","0.111111111111111","1","0.333333333333333","0","0.444444444444444","0.285714285714286"
"Adibearj","14.17552","38.54545","1","0","0","0.166666666666667","1","0.166666666666667","0","0.5","0.261904761904762"
"AdiHa","13.733","39.087","1","0","0.111111111111111","0.111111111111111","1","0.111111111111111","0","0.333333333333333","0.238095238095238"
"AdiKisandid","13.82423333","39.61081667","1","0","0.444444444444444","0.444444444444444","1","0.444444444444444","0","0.555555555555556","0.412698412698413"
"Adisalem","10.78602","38.4665","1","0","0.666666666666667","0.555555555555556","1","0.444444444444444","0.111111111111111","0.222222222222222","0.428571428571429"
"AdisAlemS","13.308802","39.229","1","0","0","0.444444444444444","1","0.444444444444444","0.111111111111111","0.555555555555556","0.365079365079365"
"AdisAlemW","14.1","39.2","1","0","0.444444444444444","0.333333333333333","1","0.333333333333333","0.111111111111111","0.555555555555556","0.396825396825397"
"Adiselam","13.892691","38.625008","1","0","0","0","1","0","0","1","0.285714285714286"
