"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","0.57","0.03","0.43","0.59","0.57","0.76","0.91","0.12"
"Abara","0.95","0.05","0.76","0.73","0.95","0.76","0.82","0.16"
"Abarwuha","0.14","0.03","0.35","0.73","0.14","0.24","0.73","0.09"
"Abaselima","0.86","0.05","0.7","0.65","0.86","0.65","0.82","0.16"
"Abina","0.62","0.03","0.49","0.62","0.62","0.65","0.91","0.12"
"AbrahaAtsbaha","0.27","0.03","0.32","0.73","0.27","0.92","0.73","0.25"
"Abrekuy","0.57","0.03","0.7","0.59","0.57","0.7","0.82","0.16"
"AdekeAla","0.43","0.03","0.3","0.54","0.43","0.46","0.36","0.12"
"Adekiney","0.24","0.03","0.49","0.92","0.24","0.35","0.45","0.16"
"AderSeg","0.57","0.03","0.46","0.59","0.57","0.89","0.91","0.12"
"Adibearj","0.11","0.03","0.19","0.46","0.11","0.43","0.09","0.12"
"AdiHa","0.22","0.03","0.32","0.62","0.22","0.35","0.45","0.12"
"AdiKisandid","0.27","0.03","0.16","0.84","0.27","0.89","0.73","0.25"
"Adisalem","0.11","0.05","0.59","0.41","0.11","0.46","0.73","0.19"
"AdisAlemS","0.43","0.03","0.27","0.43","0.43","0.84","0.45","0.12"
"AdisAlemW","0.43","0.49","0.46","0.76","0.43","0.76","0.55","0.16"
"Adiselam","0.32","0.14","0.19","0.27","0.32","0.76","0.27","0.16"
"Adishimbirkti","0.43","0.03","0.19","0.46","0.43","0.76","0.73","0.16"
"AdisKigni","0.49","0.03","0.22","0.57","0.49","0.08","0.73","0.19"
"Adiyikoro","0.3","0.03","0.32","0.65","0.3","0.84","0.27","0.16"
"Adizata","0.3","0.03","0.3","0.68","0.3","0.7","0.18","0.16"
"Adreb","0.35","0.03","0.22","0.49","0.35","0.7","0.27","0.16"
"AgazenMeda","0.35","0.03","0.41","0.81","0.35","0.3","0.73","0.09"
