"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.32",,"0.22"
"Abara","0.14","1","0.05","1","0.14","0.03",,"0.97"
"Abarwuha","0.19","1","1","1","0.19","0.35",,"0.88"
"Abaselima","0.05","1","0.08","1","0.05","0.03",,"0.97"
"Abina","0.19","1","1","1","0.19","0.3",,"0.22"
"AbrahaAtsbaha","0.08","1","1","1","0.08","0.03",,"0.09"
"Abrekuy","0.08","1","1","1","0.08","0.05",,"0.97"
"AdekeAla","0.19","1","1","1","0.19","0.03",,"0.16"
"Adekiney","0.03","1","1","1","0.03","0.38",,"0.06"
"AderSeg","1","1","1","1","1","0.32",,"0.22"
"Adibearj","1","1","1","1","1","0.49",,"0.22"
"AdiHa","0.08","1","1","1","0.08","0.22",,"0.28"
"AdiKisandid","0.11","1","1","1","0.11","0.05",,"0.09"
"Adisalem","0.32","1","1","1","0.32","0.05",,"0.97"
"AdisAlemS","0.19","1","1","1","0.19","0.03",,"0.16"
"AdisAlemW","0.57","1","1","1","0.57","0.16",,"0.28"
"Adiselam","1","1","1","1","1","0.19",,"0.03"
"Adishimbirkti","0.03","1","0.05","0.05","0.03","0.27",,"0.31"
"AdisKigni","0.05","0.3","0.05","0.11","0.05","0.08",,"0.5"
"Adiyikoro","0.43","1","1","1","0.43","0.05",,"0.28"
"Adizata","0.43","1","1","1","0.43","0.08",,"0.28"
"Adreb","1","1","1","1","1","0.32",,"0.03"
"AgazenMeda","0.19","1","1","0.46","0.19","0.05",,"0.88"
"Agazi","0.38","1","0.16","0.49","0.38","0.24",,"0.09"
"Agbe","0.03","1","1","1","0.03","0.05",,"0.28"
"Agela","1","1","1","1","1","0.19",,"0.19"
"Agid","1","1","1","1","1","0.35",,"0.09"
"AlemeTesfa","0.19","1","1","0.49","0.19","0.04",,"0.97"
"AmdiWeyane","0.19","1","1","1","0.19","0.03",,"0.16"
"Amedwuha","0.03","1","0.05","0.16","0.03","0.41",,"0.5"
"Ameno","0.19","1","1","1","0.19","0.46",,"0.19"
"Amisetya","0.22","1","1","1","0.22","0.03",,"0.16"
"Angot","0.19","1","1","1","0.19","0.51",,"0.88"
"Anigot","1","1","1","1","1","0.27",,"0.19"
"Ansheb","0.11","1","1","1","0.11","0.05",,"0.94"
"AquaShumoch","0.16","1","1","1","0.16","0.54",,"0.31"
"Aquha","0.3","1","1","1","0.3","0.05",,"0.16"
"Arena","0.19","1","1","1","0.19","0.11",,"0.12"
"Asmena","0.08","1","0.57","1","0.08","0.08",,"0.09"
"Asta","1","1","1","1","1","0.59",,"0.19"
"Atakilti","0.14","1","1","1","0.14","0.19",,"0.12"
"AwetBikalsi","0.08","1","1","1","0.08","0.22",,"0.28"
"AwusaMeda","0.19","1","1","1","0.19","0.05",,"0.97"
"Ayba","0.03","1","0.03","0.03","0.03","0.95",,"0.31"
"Aynalem","0.08","1","0.24","1","0.08","0.05",,"0.09"
"Bala","0.05","0.3","0.05","0.11","0.05","0.08",,"0.5"
"Balarab","0.22","1","1","1","0.22","0.16",,"0.16"
"Bamba","0.19","1","1","1","0.19","0.03",,"0.16"
"BarkaAdiswha","0.22","1","1","1","0.22","0.16",,"0.09"
"Begasheka","0.08","1","1","1","0.08","0.14",,"0.12"
"Berlay","0.22","1","1","1","0.22","0.08",,"0.97"
"Betgebez","0.16","1","1","1","0.16","0.11",,"0.09"
"Bethans","0.38","1","1","1","0.38","0.03",,"0.03"
"BilbWuha","1","1","1","1","1","0.54",,"0.06"
"Birkutea","1","1","1","1","1","0.35",,"0.19"
