"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"AbaBikila","1","1","1","1","1","0.57","0.27","0.78"
"Abara","1","1","1","1","1","0.3","0.09","0.75"
"Abarwuha","0.22","1","1","1","0.22","0.65","0.36","0.78"
"Abaselima","1","1","1","1","1","0.32","0.09","0.75"
"Abina","1","1","1","1","1","0.73","0.36","0.78"
"AbrahaAtsbaha","1","1","1","1","1","0.97","0.73","0.44"
"Abrekuy","1","1","1","1","1","0.24","0.18","0.75"
"AdekeAla","0.27","1","1","1","0.27","0.84","0.55","0.53"
"Adekiney","0.3","1","1","0.35","0.3","0.86","0.82","0.34"
"AderSeg","1","1","1","1","1","0.7","0.36","0.78"
"Adibearj","1","1","1","1","1","0.65","0.45","0.41"
"AdiHa","0.59","1","1","1","0.59","0.46","0.73","0.16"
"AdiKisandid","0.7","1","1","1","0.7","1","0.73","0.44"
"Adisalem","0.19","1","1","1","0.19","0.81","0.45","0.72"
"AdisAlemS","0.27","1","1","1","0.27","0.84","0.55","0.53"
"AdisAlemW","0.46","1","1","1","0.46","0.81","0.82","0.34"
"Adiselam","1","1","1","1","1","0.68","0.55","0.38"
"Adishimbirkti","0.62","1","1","1","0.62","0.86","0.18","0.75"
"AdisKigni","0.57","1","0.38","0.27","0.57","0.7","0.18","0.72"
"Adiyikoro","0.38","1","1","1","0.38","0.7","0.55","0.34"
"Adizata","0.38","1","1","1","0.38","0.76","0.55","0.34"
"Adreb","1","1","1","1","1","0.51","0.45","0.38"
"AgazenMeda","0.24","1","1","1","0.24","0.32","0.45","0.78"
"Agazi","0.76","1","1","1","0.76","1","0.91","0.28"
"Agbe","1","1","1","1","1","0.78","0.82","0.16"
"Agela","1","1","1","1","1","0.41","0.55","0.69"
"Agid","1","1","1","1","1","0.11","0.73","0.75"
"AlemeTesfa","0.32","1","1","1","0.32",,"0.64","0.72"
"AmdiWeyane","0.27","1","1","1","0.27","0.68","0.45","0.53"
"Amedwuha","0.76","1","1","1","0.76","0.92","0.64","0.47"
"Ameno","1","1","1","1","1","0.22","0.55","0.69"
"Amisetya","1","1","1","1","1","0.51","0.36","0.72"
"Angot","0.22","1","1","1","0.22","0.24","0.36","0.78"
"Anigot","1","1","1","1","1","0.3","0.64","0.69"
"Ansheb","1","1","1","0.22","1","0.41","0.09","0.88"
"AquaShumoch","1","1","1","1","1","0.11","0.36","0.34"
"Aquha","1","1","1","1","1","0.54","0.45","0.72"
"Arena","0.49","1","1","1","0.49","0.95","0.82","0.44"
"Asmena","0.41","1","0.51","1","0.41","0.73","0.45","0.28"
"Asta","1","1","1","1","1","0.11","0.55","0.69"
"Atakilti","1","1","1","1","1","0.51","0.82","0.34"
"AwetBikalsi","0.59","1","1","1","0.59","0.59","0.73","0.16"
"AwusaMeda","0.32","1","1","1","0.32","0.78","0.64","0.72"
"Ayba","0.92","1","1","1","0.92","0.89","0.55","0.72"
"Aynalem","1","1","1","1","1","0.97","0.55","0.44"
"Bala","0.57","1","0.41","0.27","0.57","0.62","0.18","0.72"
"Balarab","1","1","1","1","1","0.35","0.36","0.72"
"Bamba","1","1","1","1","1","0.7","0.55","0.53"
"BarkaAdiswha","0.38","1","1","1","0.38","0.89","0.27","0.44"
"Begasheka","1","1","1","1","1","0.68","0.73","0.34"
"Berlay","0.35","1","1","1","0.35","0.54","0.55","0.72"
"Betgebez","0.14","1","1","1","0.14","0.73","0.55","0.25"
"Bethans","0.22","1","1","1","0.22","0.43","0.45","0.34"
"BilbWuha","1","1","1","1","1","0.05","0.55","0.75"
"Birkutea","1","1","1","1","1","0.08","0.36","0.69"
"Boneya","1","1","1","1","1","0.3","0.09","0.75"
"Burkoche","1","1","1","1","1","0.54","0.45","0.72"
"Cheli","1","1","1","1","1","0.92","0.45","0.53"
"Darubekeda","0.62","1","1","1","0.62","0.7","0.27","0.75"
"Deberkerbye","1","1","1","1","1","0.22","0.64","0.38"
"DeberAbaJale","1","1","1","1","1","0.35","0.36","0.34"
"DebrAbay","0.32","1","1","1","0.32","0.3","0.36","0.72"
"DebreAliays","0.32","1","1","1","0.32","0.86","0.64","0.72"
"Debrebirhan","1","1","1","1","1","0.89","0.73","0.28"
"Debrebrhan","0.57","1","1","1","0.57","0.86","0.64","0.34"
"DebreGenet","0.27","1","1","1","0.27","0.19","0.45","0.72"
"DebreGenetA","1","1","1","1","1","0.65","0.55","0.34"
"DebreGenetK","1","1","1","1","1","0.73","0.82","0.34"
"DebreGeorgis","0.32","1","1","1","0.32","0.76","0.64","0.72"
"DebreKidusan","0.38","1","1","1","0.38","0.49","0.36","0.72"
"Debremawie","0.35","1","1","1","0.35","0.41","0.45","0.72"
"Debreselam","0.51","1","1","1","0.51","0.81","0.82","0.28"
"Debrinetseb","1","1","1","1","1","0.62","0.82","0.34"
"Dekera","0.19","1","1","1","0.19","0.78","0.45","0.31"
"DembezaAmbaLay","0.35","1","1","1","0.35","0.7","0.64","0.72"
"Derit","0.19","1","1","1","0.19","0.27","0.45","0.78"
"Derita","1","1","1","1","1","0.14","0.55","0.69"
"Dinkashena","0.51","1","1","1","0.51","0.54","0.36","0.72"
