"","V1","V2","V3","V4","V5","V6","V7","V8"
"Name","SimretS","SimretS","SimretS","SimretS","SimretS","SimretS","SimretS","SimretS"
"Region","Endamekoni","Endamekoni","Endamekoni","Endamekoni","Endamekoni","Endamekoni","Endamekoni","Endamekoni"
"Data","Pay","AdjRain","Rank","Pay","AdjRain","Rank","PaySum","Bad"
"Timing","Early","Early","Early","Late","Late","Late","All","All"
"Source","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","ARC_Index","Team"
"1983-1976","100","3","0.73","18","35","0.16","117.96","0"
"1984-1977","100","0","0.54","100","0","0.03","200","0"
"1985-1978","100","0","0.49","0","55","0.78","100","0"
"1986-1979","100","3","0.68","9","39","0.19","108.79","0"
"1987-1980","100","1","0.59","80","12","0.08","179.99","0"
"1988-1981","100","0","0.49","0","50","0.62","100","0"
"1989-1982","100","1","0.57","0","62","0.89","100","0"
"1990-1983","100","0","0.49","0","46","0.3","100","0"
"1991-1984","0","13","0.92","0","51","0.68","0","1"
"1992-1985","100","0","0.49","33","30","0.14","132.87","0"
"1993-1986","100","0","0.51","0","46","0.32","100","0"
"1994-1987","100","0","0.49","0","50","0.62","100","1"
"1995-1988","100","3","0.7","0","52","0.7","100","0"
"1996-1989","0","25","1","0","43","0.27","0","0"
"1997-1990","0","24","0.97","0","50","0.62","0","1"
"1998-1991","100","0","0.49","0","70","0.97","100","0"
"1999-1992","100","1","0.62","0","60","0.86","100","0"
"2000-1993","100","2","0.65","0","63","0.92","100","0"
"2001-1994","0","6","0.81","0","50","0.62","0","1"
"2002-1995","100","0","0.49","0","57","0.81","100","0"
"2003-1996","0","9","0.89","0","46","0.35","0","0"
"2004-1997","100","5","0.78","1","42","0.24","100.7","1"
"2005-1998","100","0","0.49","0","49","0.38","100","0"
"2006-1999","100","0","0.49","0","50","0.62","100","0"
"2007-2000","0","6","0.84","0","75","1","0","0"
"2008-2001","0","7","0.86","0","57","0.84","0","0"
"2009-2002","100","0","0.49","0","51","0.65","100","0"
"2010-2003","100","0","0.49","0","50","0.62","100","0"
"2011-2004","100","0","0.49","0","54","0.76","100","0"
"2012-2005","100","0","0.49","0","50","0.62","100","0"
"2013-2006","100","0","0.49","0","50","0.62","100","0"
"2014-2007","100","0","0.49","46","25","0.11","145.95","0"
"2015-2008","100","0","0.49","94","7","0.05","193.95","0"
"2016-2009","100","0","0.49","0","50","0.62","100","0"
"2017-2010","100","0","0.49","0","53","0.73","100","0"
"2018-2011","0","20","0.95","0","67","0.95","0","0"
"2019-2012","100","5","0.76","3","41","0.22","103.42","0"
